"","asexual_iRBC_log","RBC_log","transmssion_investment"
"1",0,6,7.41324421524932e-08
"2",0,6.00200400801603,1.14894411452662e-08
"3",0,6.00400801603206,1.44092964945994e-09
"4",0,6.0060120240481,1.42760312673274e-10
"5",0,6.00801603206413,1.08787447583618e-11
"6",0,6.01002004008016,6.18909323052543e-13
"7",0,6.01202404809619,2.54307141115599e-14
"8",0,6.01402805611222,7.27361608144514e-16
"9",0,6.01603206412826,1.38984429375088e-17
"10",0,6.01803607214429,1.69492914656863e-19
"11",0,6.02004008016032,1.25373731844081e-21
"12",0,6.02204408817635,5.31535359440769e-24
"13",0,6.02404809619238,1.21268672785982e-26
"14",0,6.02605210420842,1.38797628935312e-29
"15",0,6.02805611222445,7.37081951600785e-33
"16",0,6.03006012024048,1.66495570781083e-36
"17",0,6.03206412825651,1.45222511553769e-40
"18",0,6.03406813627254,4.39197097560618e-45
"19",0,6.03607214428858,4.08558798516045e-50
"20",0,6.03807615230461,1.02312091029282e-55
"21",0,6.04008016032064,5.94644301385825e-62
"22",0,6.04208416833667,6.80089035847221e-69
"23",0,6.0440881763527,1.27378825556091e-76
"24",0,6.04609218436874,3.18503693025798e-85
"25",0,6.04809619238477,8.4701424365336e-95
"26",0,6.0501002004008,1.86032790015718e-105
"27",0,6.05210420841683,2.54694465859611e-117
"28",0,6.05410821643287,1.58946343278434e-130
"29",0,6.0561122244489,3.19209068617652e-145
"30",0,6.05811623246493,1.4005522873035e-161
"31",0,6.06012024048096,8.72653374946535e-180
"32",0,6.062124248497,4.7821497269204e-200
"33",0,6.06412825651303,1.35275639501603e-222
"34",0,6.06613226452906,1.09208292354008e-247
"35",0,6.06813627254509,1.30169058829804e-275
"36",0,6.07014028056112,1.10074451601371e-306
"37",0,6.07214428857715,0
"38",0,6.07414829659319,0
"39",0,6.07615230460922,0
"40",0,6.07815631262525,0
"41",0,6.08016032064128,0
"42",0,6.08216432865731,0
"43",0,6.08416833667335,0
"44",0,6.08617234468938,0
"45",0,6.08817635270541,0
"46",0,6.09018036072144,0
"47",0,6.09218436873747,0
"48",0,6.09418837675351,0
"49",0,6.09619238476954,0
"50",0,6.09819639278557,0
"51",0,6.1002004008016,0
"52",0,6.10220440881764,0
"53",0,6.10420841683367,0
"54",0,6.1062124248497,0
"55",0,6.10821643286573,0
"56",0,6.11022044088176,0
"57",0,6.1122244488978,0
"58",0,6.11422845691383,0
"59",0,6.11623246492986,0
"60",0,6.11823647294589,0
"61",0,6.12024048096192,0
"62",0,6.12224448897796,0
"63",0,6.12424849699399,0
"64",0,6.12625250501002,0
"65",0,6.12825651302605,0
"66",0,6.13026052104208,0
"67",0,6.13226452905812,0
"68",0,6.13426853707415,0
"69",0,6.13627254509018,0
"70",0,6.13827655310621,0
"71",0,6.14028056112224,0
"72",0,6.14228456913828,0
"73",0,6.14428857715431,0
"74",0,6.14629258517034,0
"75",0,6.14829659318637,0
"76",0,6.1503006012024,0
"77",0,6.15230460921844,0
"78",0,6.15430861723447,0
"79",0,6.1563126252505,0
"80",0,6.15831663326653,0
"81",0,6.16032064128257,0
"82",0,6.1623246492986,0
"83",0,6.16432865731463,0
"84",0,6.16633266533066,0
"85",0,6.16833667334669,0
"86",0,6.17034068136273,0
"87",0,6.17234468937876,0
"88",0,6.17434869739479,0
"89",0,6.17635270541082,0
"90",0,6.17835671342685,0
"91",0,6.18036072144289,0
"92",0,6.18236472945892,0
"93",0,6.18436873747495,0
"94",0,6.18637274549098,0
"95",0,6.18837675350701,0
"96",0,6.19038076152305,0
"97",0,6.19238476953908,0
"98",0,6.19438877755511,0
"99",0,6.19639278557114,0
"100",0,6.19839679358717,0
"101",0,6.20040080160321,0
"102",0,6.20240480961924,0
"103",0,6.20440881763527,0
"104",0,6.2064128256513,0
"105",0,6.20841683366733,0
"106",0,6.21042084168337,0
"107",0,6.2124248496994,0
"108",0,6.21442885771543,0
"109",0,6.21643286573146,0
"110",0,6.2184368737475,0
"111",0,6.22044088176353,0
"112",0,6.22244488977956,0
"113",0,6.22444889779559,0
"114",0,6.22645290581162,0
"115",0,6.22845691382765,0
"116",0,6.23046092184369,0
"117",0,6.23246492985972,0
"118",0,6.23446893787575,0
"119",0,6.23647294589178,0
"120",0,6.23847695390782,0
"121",0,6.24048096192385,0
"122",0,6.24248496993988,0
"123",0,6.24448897795591,0
"124",0,6.24649298597194,0
"125",0,6.24849699398798,0
"126",0,6.25050100200401,0
"127",0,6.25250501002004,0
"128",0,6.25450901803607,0
"129",0,6.2565130260521,0
"130",0,6.25851703406814,0
"131",0,6.26052104208417,0
"132",0,6.2625250501002,0
"133",0,6.26452905811623,0
"134",0,6.26653306613226,0
"135",0,6.2685370741483,0
"136",0,6.27054108216433,0
"137",0,6.27254509018036,0
"138",0,6.27454909819639,0
"139",0,6.27655310621242,0
"140",0,6.27855711422846,0
"141",0,6.28056112224449,0
"142",0,6.28256513026052,0
"143",0,6.28456913827655,0
"144",0,6.28657314629258,0
"145",0,6.28857715430862,0
"146",0,6.29058116232465,0
"147",0,6.29258517034068,0
"148",0,6.29458917835671,0
"149",0,6.29659318637275,0
"150",0,6.29859719438878,0
"151",0,6.30060120240481,0
"152",0,6.30260521042084,0
"153",0,6.30460921843687,0
"154",0,6.30661322645291,0
"155",0,6.30861723446894,0
"156",0,6.31062124248497,0
"157",0,6.312625250501,0
"158",0,6.31462925851703,0
"159",0,6.31663326653307,0
"160",0,6.3186372745491,0
"161",0,6.32064128256513,0
"162",0,6.32264529058116,0
"163",0,6.32464929859719,0
"164",0,6.32665330661323,0
"165",0,6.32865731462926,0
"166",0,6.33066132264529,0
"167",0,6.33266533066132,0
"168",0,6.33466933867735,0
"169",0,6.33667334669339,0
"170",0,6.33867735470942,0
"171",0,6.34068136272545,0
"172",0,6.34268537074148,0
"173",0,6.34468937875751,0
"174",0,6.34669338677355,0
"175",0,6.34869739478958,0
"176",0,6.35070140280561,0
"177",0,6.35270541082164,0
"178",0,6.35470941883768,0
"179",0,6.35671342685371,0
"180",0,6.35871743486974,0
"181",0,6.36072144288577,0
"182",0,6.3627254509018,0
"183",0,6.36472945891784,0
"184",0,6.36673346693387,0
"185",0,6.3687374749499,0
"186",0,6.37074148296593,0
"187",0,6.37274549098196,0
"188",0,6.374749498998,0
"189",0,6.37675350701403,0
"190",0,6.37875751503006,0
"191",0,6.38076152304609,0
"192",0,6.38276553106212,0
"193",0,6.38476953907816,0
"194",0,6.38677354709419,0
"195",0,6.38877755511022,0
"196",0,6.39078156312625,0
"197",0,6.39278557114228,0
"198",0,6.39478957915832,0
"199",0,6.39679358717435,0
"200",0,6.39879759519038,0
"201",0,6.40080160320641,0
"202",0,6.40280561122244,0
"203",0,6.40480961923848,0
"204",0,6.40681362725451,0
"205",0,6.40881763527054,0
"206",0,6.41082164328657,0
"207",0,6.4128256513026,0
"208",0,6.41482965931864,0
"209",0,6.41683366733467,0
"210",0,6.4188376753507,0
"211",0,6.42084168336673,0
"212",0,6.42284569138277,0
"213",0,6.4248496993988,0
"214",0,6.42685370741483,0
"215",0,6.42885771543086,0
"216",0,6.43086172344689,0
"217",0,6.43286573146293,0
"218",0,6.43486973947896,0
"219",0,6.43687374749499,0
"220",0,6.43887775551102,0
"221",0,6.44088176352705,0
"222",0,6.44288577154309,0
"223",0,6.44488977955912,0
"224",0,6.44689378757515,0
"225",0,6.44889779559118,0
"226",0,6.45090180360721,0
"227",0,6.45290581162325,0
"228",0,6.45490981963928,0
"229",0,6.45691382765531,0
"230",0,6.45891783567134,0
"231",0,6.46092184368737,0
"232",0,6.46292585170341,0
"233",0,6.46492985971944,0
"234",0,6.46693386773547,0
"235",0,6.4689378757515,0
"236",0,6.47094188376754,0
"237",0,6.47294589178357,0
"238",0,6.4749498997996,0
"239",0,6.47695390781563,0
"240",0,6.47895791583166,0
"241",0,6.4809619238477,0
"242",0,6.48296593186373,0
"243",0,6.48496993987976,0
"244",0,6.48697394789579,0
"245",0,6.48897795591182,0
"246",0,6.49098196392786,0
"247",0,6.49298597194389,0
"248",0,6.49498997995992,0
"249",0,6.49699398797595,0
"250",0,6.49899799599198,0
"251",0,6.50100200400802,0
"252",0,6.50300601202405,0
"253",0,6.50501002004008,0
"254",0,6.50701402805611,0
"255",0,6.50901803607214,0
"256",0,6.51102204408818,0
"257",0,6.51302605210421,0
"258",0,6.51503006012024,0
"259",0,6.51703406813627,0
"260",0,6.5190380761523,0
"261",0,6.52104208416834,0
"262",0,6.52304609218437,0
"263",0,6.5250501002004,0
"264",0,6.52705410821643,0
"265",0,6.52905811623246,0
"266",0,6.5310621242485,0
"267",0,6.53306613226453,0
"268",0,6.53507014028056,0
"269",0,6.53707414829659,0
"270",0,6.53907815631263,0
"271",0,6.54108216432866,0
"272",0,6.54308617234469,0
"273",0,6.54509018036072,0
"274",0,6.54709418837675,0
"275",0,6.54909819639279,0
"276",0,6.55110220440882,0
"277",0,6.55310621242485,0
"278",0,6.55511022044088,0
"279",0,6.55711422845691,0
"280",0,6.55911823647295,0
"281",0,6.56112224448898,0
"282",0,6.56312625250501,0
"283",0,6.56513026052104,0
"284",0,6.56713426853707,0
"285",0,6.56913827655311,0
"286",0,6.57114228456914,0
"287",0,6.57314629258517,0
"288",0,6.5751503006012,0
"289",0,6.57715430861723,0
"290",0,6.57915831663327,0
"291",0,6.5811623246493,0
"292",0,6.58316633266533,0
"293",0,6.58517034068136,0
"294",0,6.5871743486974,0
"295",0,6.58917835671343,0
"296",0,6.59118236472946,0
"297",0,6.59318637274549,0
"298",0,6.59519038076152,0
"299",0,6.59719438877756,0
"300",0,6.59919839679359,0
"301",0,6.60120240480962,0
"302",0,6.60320641282565,0
"303",0,6.60521042084168,0
"304",0,6.60721442885772,0
"305",0,6.60921843687375,0
"306",0,6.61122244488978,0
"307",0,6.61322645290581,0
"308",0,6.61523046092184,0
"309",0,6.61723446893788,0
"310",0,6.61923847695391,0
"311",0,6.62124248496994,0
"312",0,6.62324649298597,0
"313",0,6.625250501002,0
"314",0,6.62725450901804,0
"315",0,6.62925851703407,0
"316",0,6.6312625250501,0
"317",0,6.63326653306613,0
"318",0,6.63527054108216,0
"319",0,6.6372745490982,0
"320",0,6.63927855711423,0
"321",0,6.64128256513026,0
"322",0,6.64328657314629,0
"323",0,6.64529058116232,0
"324",0,6.64729458917836,0
"325",0,6.64929859719439,0
"326",0,6.65130260521042,0
