"label","fitness_optimized","fitness_randomized"
"Gametocyte log (G log)",9.561373,3.18250855182672e-98
"Gametocyte log (G log)",9.561373,0.00439655554145961
"Gametocyte log (G log)",9.561373,0.00450912232488313
"Gametocyte log (G log)",9.561373,2.24149516858988e-90
"Gametocyte log (G log)",9.561373,0.131211911936657
"Gametocyte log (G log)",9.561373,2.74165692931525
"Gametocyte log (G log)",9.561373,0.252642370135629
"Gametocyte log (G log)",9.561373,0.135194276679469
"Gametocyte log (G log)",9.561373,2.44486486825777e-35
"Gametocyte log (G log)",9.561373,0.00439739919272689
"Gametocyte log (G log)",9.561373,2.17753574563405e-20
"Gametocyte log (G log)",9.561373,2.82623590404332
"Gametocyte log (G log)",9.561373,5.67710561331788e-74
"Gametocyte log (G log)",9.561373,0.000536035429778007
"Gametocyte log (G log)",9.561373,0.00444280138742934
"Gametocyte log (G log)",9.561373,1.13205539799247
"Gametocyte log (G log)",9.561373,3.58654831848783e-11
"Gametocyte log (G log)",9.561373,0.00473880865381818
"Gametocyte log (G log)",9.561373,4.13311000520778
"Gametocyte log (G log)",9.561373,0.00483597158538154
"Gametocyte log (G log)",9.561373,0.00441417741535481
"Gametocyte log (G log)",9.561373,0.00439556352007995
"Gametocyte log (G log)",9.561373,1.465719973165e-09
"Gametocyte log (G log)",9.561373,4.05279026664441e-07
"Gametocyte log (G log)",9.561373,1.33646037251961e-92
"Gametocyte log (G log)",9.561373,1.73558396229955e-53
"Gametocyte log (G log)",9.561373,0.00441401509062846
"Gametocyte log (G log)",9.561373,7.26281375693296e-23
"Gametocyte log (G log)",9.561373,2.00938252228957e-57
"Gametocyte log (G log)",9.561373,0.0236935338279214
"Gametocyte log (G log)",9.561373,2.79832397603435
"Gametocyte log (G log)",9.561373,2.9708459889709
"Gametocyte log (G log)",9.561373,0.00440641255213886
"Gametocyte log (G log)",9.561373,0.124250783033479
"Gametocyte log (G log)",9.561373,0.0164708732334603
"Gametocyte log (G log)",9.561373,6.54018298853649e-12
"Gametocyte log (G log)",9.561373,0.00505220829068832
"Gametocyte log (G log)",9.561373,0.00439817034359803
"Gametocyte log (G log)",9.561373,0.00521880813634517
"Gametocyte log (G log)",9.561373,0.00805475068974123
"Gametocyte log (G log)",9.561373,0.00444299438586372
"Gametocyte log (G log)",9.561373,1.47351447726214e-07
"Gametocyte log (G log)",9.561373,0.370265516894007
"Gametocyte log (G log)",9.561373,0.0253373423794952
"Gametocyte log (G log)",9.561373,7.5815435704093e-08
"Gametocyte log (G log)",9.561373,0.00440439291140271
"Gametocyte log (G log)",9.561373,0.00442194149487371
"Gametocyte log (G log)",9.561373,0.324801207826781
"Gametocyte log (G log)",9.561373,0.00441242967773697
"Gametocyte log (G log)",9.561373,0.00442123030726919
"Gametocyte log (G log)",9.561373,7.92639920819027e-24
"Gametocyte log (G log)",9.561373,1.51183213381505
"Gametocyte log (G log)",9.561373,0.300875787329694
"Gametocyte log (G log)",9.561373,1.53928879770076e-62
"Gametocyte log (G log)",9.561373,1.04271203851461e-18
"Gametocyte log (G log)",9.561373,0.0044532636206429
"Gametocyte log (G log)",9.561373,6.89448627484866e-15
"Gametocyte log (G log)",9.561373,1.64775774180308
"Gametocyte log (G log)",9.561373,0.00440446137333989
"Gametocyte log (G log)",9.561373,0.00473408926596262
"Gametocyte log (G log)",9.561373,0.00439727171495391
"Gametocyte log (G log)",9.561373,1.01642745980968e-17
"Gametocyte log (G log)",9.561373,0.317700494445093
"Gametocyte log (G log)",9.561373,1.80435143949922e-42
"Gametocyte log (G log)",9.561373,0.00439533818930658
"Gametocyte log (G log)",9.561373,1.34405665429469e-58
"Gametocyte log (G log)",9.561373,1.62761266939968e-07
"Gametocyte log (G log)",9.561373,0.00542476266873864
"Gametocyte log (G log)",9.561373,3.26981570232232
"Gametocyte log (G log)",9.561373,0.00447692186292073
"Gametocyte log (G log)",9.561373,0.120162814520676
"Gametocyte log (G log)",9.561373,0.00444610862750793
"Gametocyte log (G log)",9.561373,0.00606218031190645
"Gametocyte log (G log)",9.561373,8.52154292050285e-34
"Gametocyte log (G log)",9.561373,0.00627108004575115
"Gametocyte log (G log)",9.561373,7.68920508947111e-10
"Gametocyte log (G log)",9.561373,4.15688981549837e-10
"Gametocyte log (G log)",9.561373,0.0116782100467122
"Gametocyte log (G log)",9.561373,0.00443487651288529
"Gametocyte log (G log)",9.561373,7.31231895257141e-92
"Gametocyte log (G log)",9.561373,0.0184670826132382
"Gametocyte log (G log)",9.561373,0.0397031921274663
"Gametocyte log (G log)",9.561373,3.31154339976043
"Gametocyte log (G log)",9.561373,2.08227266457954
"Gametocyte log (G log)",9.561373,0.230261187063006
"Gametocyte log (G log)",9.561373,5.58852122847391e-09
"Gametocyte log (G log)",9.561373,0.0143965943916941
"Gametocyte log (G log)",9.561373,1.65359766787655
"Gametocyte log (G log)",9.561373,0.710358016731438
"Gametocyte log (G log)",9.561373,2.58592777281796
"Gametocyte log (G log)",9.561373,2.80888680909322
"Gametocyte log (G log)",9.561373,5.7168953639003e-07
"Gametocyte log (G log)",9.561373,3.60539693586713
"Gametocyte log (G log)",9.561373,0.0402100237073622
"Gametocyte log (G log)",9.561373,3.26382811782904e-38
"Gametocyte log (G log)",9.561373,1.00188782422803e-76
"Gametocyte log (G log)",9.561373,7.48058832903807e-37
"Gametocyte log (G log)",9.561373,0.00442993789156518
"Gametocyte log (G log)",9.561373,0.341349608208786
"Gametocyte log (G log)",9.561373,4.11679727904984e-93
"Gametocyte log (G log)",9.561373,2.54422968432138e-06
"Gametocyte log (G log)",9.561373,0.341202347710117
"Gametocyte log (G log)",9.561373,8.76082519185699e-46
"Gametocyte log (G log)",9.561373,1.74832825453436
"Gametocyte log (G log)",9.561373,0.00482337766415317
"Gametocyte log (G log)",9.561373,0.280089343327169
"Gametocyte log (G log)",9.561373,0.403717465251277
"Gametocyte log (G log)",9.561373,0.00441469827342733
"Gametocyte log (G log)",9.561373,5.14330177984265e-26
"Gametocyte log (G log)",9.561373,0.00690395992213799
"Gametocyte log (G log)",9.561373,0.00479964693936323
"Gametocyte log (G log)",9.561373,0.0158034243430233
"Gametocyte log (G log)",9.561373,1.88359560942334e-18
"Gametocyte log (G log)",9.561373,0.012574050315533
"Gametocyte log (G log)",9.561373,0.00441960262937685
"Gametocyte log (G log)",9.561373,0.00489817821403231
"Gametocyte log (G log)",9.561373,1.5487583374942e-68
"Gametocyte log (G log)",9.561373,5.51756905483732e-10
"Gametocyte log (G log)",9.561373,0.308324613635139
"Gametocyte log (G log)",9.561373,1.92181433802442
"Gametocyte log (G log)",9.561373,5.15078703023048e-12
"Gametocyte log (G log)",9.561373,3.17190823588421
"Gametocyte log (G log)",9.561373,0.00439683011176465
"Gametocyte log (G log)",9.561373,3.8561814860169
"Gametocyte log (G log)",9.561373,1.66618920717945e-46
"Gametocyte log (G log)",9.561373,0.00443053353373166
"Gametocyte log (G log)",9.561373,0.00542814801208795
"Gametocyte log (G log)",9.561373,1.32027195094792e-86
"Gametocyte log (G log)",9.561373,0.00478669634103787
"Gametocyte log (G log)",9.561373,0.00439738885830398
"Gametocyte log (G log)",9.561373,2.8927923831521e-09
