"label","iter","parameter","value"
"RBC replenishment (ρ)",259,"rho",0.20076005
"Burst size (β)",259,"burst",5.60020822
"Activation indis (ψn)",259,"iota_N1",21.8697019
"Activation targeted (ψw)",259,"iota_N2",1.4449366
"Half-life indis (ϕn)",259,"phi_N1",0.01782261
"Half-life targeted (ϕw)",259,"phi_N2",30.6881393
"RBC replenishment (ρ)",260,"rho",0.34020336
"Burst size (β)",260,"burst",4.00845876
"Activation indis (ψn)",260,"iota_N1",10.7121786
"Activation targeted (ψw)",260,"iota_N2",0.78732941
"Half-life indis (ϕn)",260,"phi_N1",0.0507306
"Half-life targeted (ϕw)",260,"phi_N2",10167.6065
"RBC replenishment (ρ)",261,"rho",0.25036514
"Burst size (β)",261,"burst",3.86853102
"Activation indis (ψn)",261,"iota_N1",27.8618772
"Activation targeted (ψw)",261,"iota_N2",0.81394226
"Half-life indis (ϕn)",261,"phi_N1",0.01816969
"Half-life targeted (ϕw)",261,"phi_N2",5903.0178
"RBC replenishment (ρ)",262,"rho",0.35097101
"Burst size (β)",262,"burst",4.7031521
"Activation indis (ψn)",262,"iota_N1",6.3311178
"Activation targeted (ψw)",262,"iota_N2",0.5616563
"Half-life indis (ϕn)",262,"phi_N1",0.04165044
"Half-life targeted (ϕw)",262,"phi_N2",12948.3539
"RBC replenishment (ρ)",263,"rho",0.18105715
"Burst size (β)",263,"burst",4.64734805
"Activation indis (ψn)",263,"iota_N1",34.2937567
"Activation targeted (ψw)",263,"iota_N2",2.21626033
"Half-life indis (ϕn)",263,"phi_N1",0.04944433
"Half-life targeted (ϕw)",263,"phi_N2",15973.5286
"RBC replenishment (ρ)",264,"rho",0.35909763
"Burst size (β)",264,"burst",6.17770481
"Activation indis (ψn)",264,"iota_N1",15.3589729
"Activation targeted (ψw)",264,"iota_N2",1.80795504
"Half-life indis (ϕn)",264,"phi_N1",0.06557691
"Half-life targeted (ϕw)",264,"phi_N2",11402.4841
"RBC replenishment (ρ)",265,"rho",0.30426227
"Burst size (β)",265,"burst",5.53679434
"Activation indis (ψn)",265,"iota_N1",14.507244
"Activation targeted (ψw)",265,"iota_N2",1.17547162
"Half-life indis (ϕn)",265,"phi_N1",0.0226823
"Half-life targeted (ϕw)",265,"phi_N2",3033.27008
"RBC replenishment (ρ)",266,"rho",0.31153083
"Burst size (β)",266,"burst",4.05428814
"Activation indis (ψn)",266,"iota_N1",10.0649356
"Activation targeted (ψw)",266,"iota_N2",0.78237743
"Half-life indis (ϕn)",266,"phi_N1",0.03204791
"Half-life targeted (ϕw)",266,"phi_N2",301.262965
"RBC replenishment (ρ)",267,"rho",0.30332994
"Burst size (β)",267,"burst",3.8953075
"Activation indis (ψn)",267,"iota_N1",9.59398437
"Activation targeted (ψw)",267,"iota_N2",0.78066234
"Half-life indis (ϕn)",267,"phi_N1",0.05547996
"Half-life targeted (ϕw)",267,"phi_N2",172.599088
"RBC replenishment (ρ)",268,"rho",0.33991256
"Burst size (β)",268,"burst",4.76554573
"Activation indis (ψn)",268,"iota_N1",9.19681808
"Activation targeted (ψw)",268,"iota_N2",0.5484422
"Half-life indis (ϕn)",268,"phi_N1",0.02350343
"Half-life targeted (ϕw)",268,"phi_N2",69.3358469
"RBC replenishment (ρ)",269,"rho",0.18815157
"Burst size (β)",269,"burst",4.56986215
"Activation indis (ψn)",269,"iota_N1",8.78155847
"Activation targeted (ψw)",269,"iota_N2",2.29721036
"Half-life indis (ϕn)",269,"phi_N1",0.20854721
"Half-life targeted (ϕw)",269,"phi_N2",105.960834
"RBC replenishment (ρ)",270,"rho",0.33320916
"Burst size (β)",270,"burst",6.11266443
"Activation indis (ψn)",270,"iota_N1",10.055815
"Activation targeted (ψw)",270,"iota_N2",2.11966463
"Half-life indis (ϕn)",270,"phi_N1",0.07647653
"Half-life targeted (ϕw)",270,"phi_N2",240.52871
"RBC replenishment (ρ)",271,"rho",0.33171848
"Burst size (β)",271,"burst",5.53101426
"Activation indis (ψn)",271,"iota_N1",8.35535114
"Activation targeted (ψw)",271,"iota_N2",1.1925682
"Half-life indis (ϕn)",271,"phi_N1",0.05597698
"Half-life targeted (ϕw)",271,"phi_N2",126.381607
"RBC replenishment (ρ)",272,"rho",0.35439202
"Burst size (β)",272,"burst",4.01683029
"Activation indis (ψn)",272,"iota_N1",5.7404158
"Activation targeted (ψw)",272,"iota_N2",0.79493601
"Half-life indis (ϕn)",272,"phi_N1",0.14979071
"Half-life targeted (ϕw)",272,"phi_N2",131.843716
"RBC replenishment (ρ)",273,"rho",0.25345077
"Burst size (β)",273,"burst",3.99821701
"Activation indis (ψn)",273,"iota_N1",2.93473361
"Activation targeted (ψw)",273,"iota_N2",0.91773315
"Half-life indis (ϕn)",273,"phi_N1",0.1360534
"Half-life targeted (ϕw)",273,"phi_N2",64.4373042
"RBC replenishment (ρ)",274,"rho",0.29022883
"Burst size (β)",274,"burst",4.6422331
"Activation indis (ψn)",274,"iota_N1",2.33761198
"Activation targeted (ψw)",274,"iota_N2",0.69024741
"Half-life indis (ϕn)",274,"phi_N1",0.15077499
"Half-life targeted (ϕw)",274,"phi_N2",106.677718
"RBC replenishment (ρ)",275,"rho",0.28388695
"Burst size (β)",275,"burst",4.68599574
"Activation indis (ψn)",275,"iota_N1",18.4432327
"Activation targeted (ψw)",275,"iota_N2",1.90397439
"Half-life indis (ϕn)",275,"phi_N1",0.13776206
"Half-life targeted (ϕw)",275,"phi_N2",1728.45238
"RBC replenishment (ρ)",276,"rho",0.40774818
"Burst size (β)",276,"burst",6.06456975
"Activation indis (ψn)",276,"iota_N1",10.2278036
"Activation targeted (ψw)",276,"iota_N2",1.90986558
"Half-life indis (ϕn)",276,"phi_N1",0.1683532
"Half-life targeted (ϕw)",276,"phi_N2",7427.30799
"RBC replenishment (ρ)",277,"rho",0.36650703
"Burst size (β)",277,"burst",5.50960791
"Activation indis (ψn)",277,"iota_N1",2.88841445
"Activation targeted (ψw)",277,"iota_N2",1.049176
"Half-life indis (ϕn)",277,"phi_N1",0.17227026
"Half-life targeted (ϕw)",277,"phi_N2",98.7230676
"RBC replenishment (ρ)",278,"rho",0.2929797
"Burst size (β)",278,"burst",3.89956246
"Activation indis (ψn)",278,"iota_N1",460.369588
"Activation targeted (ψw)",278,"iota_N2",0.98430504
"Half-life indis (ϕn)",278,"phi_N1",0.00219432
"Half-life targeted (ϕw)",278,"phi_N2",828.841511
"RBC replenishment (ρ)",279,"rho",0.35062514
"Burst size (β)",279,"burst",3.98005517
"Activation indis (ψn)",279,"iota_N1",138.865632
"Activation targeted (ψw)",279,"iota_N2",0.78401188
"Half-life indis (ϕn)",279,"phi_N1",0.00302881
"Half-life targeted (ϕw)",279,"phi_N2",109.646881
"RBC replenishment (ρ)",280,"rho",0.35600906
"Burst size (β)",280,"burst",4.72794042
"Activation indis (ψn)",280,"iota_N1",269.802995
"Activation targeted (ψw)",280,"iota_N2",0.44377636
"Half-life indis (ϕn)",280,"phi_N1",0.00183741
"Half-life targeted (ϕw)",280,"phi_N2",756.948913
"RBC replenishment (ρ)",281,"rho",0.19053332
"Burst size (β)",281,"burst",4.85484908
"Activation indis (ψn)",281,"iota_N1",515.530477
"Activation targeted (ψw)",281,"iota_N2",2.07309146
"Half-life indis (ϕn)",281,"phi_N1",0.0033692
"Half-life targeted (ϕw)",281,"phi_N2",868.963629
"RBC replenishment (ρ)",282,"rho",0.38685779
"Burst size (β)",282,"burst",6.11321031
"Activation indis (ψn)",282,"iota_N1",143.011973
"Activation targeted (ψw)",282,"iota_N2",1.71787653
"Half-life indis (ϕn)",282,"phi_N1",0.00523262
"Half-life targeted (ϕw)",282,"phi_N2",345.061624
"RBC replenishment (ρ)",283,"rho",0.29762381
"Burst size (β)",283,"burst",5.42823843
"Activation indis (ψn)",283,"iota_N1",247.227799
"Activation targeted (ψw)",283,"iota_N2",1.2183044
"Half-life indis (ϕn)",283,"phi_N1",0.00314036
"Half-life targeted (ϕw)",283,"phi_N2",333.555313
"RBC replenishment (ρ)",284,"rho",0.27046928
"Burst size (β)",284,"burst",3.97945822
"Activation indis (ψn)",284,"iota_N1",5.89040149
"Activation targeted (ψw)",284,"iota_N2",0.79375365
"Half-life indis (ϕn)",284,"phi_N1",0.13791154
"Half-life targeted (ϕw)",284,"phi_N2",1149.52527
"RBC replenishment (ρ)",285,"rho",0.34840789
"Burst size (β)",285,"burst",3.71179362
"Activation indis (ψn)",285,"iota_N1",15.3364366
"Activation targeted (ψw)",285,"iota_N2",0.93383996
"Half-life indis (ϕn)",285,"phi_N1",0.0830069
"Half-life targeted (ϕw)",285,"phi_N2",174.13449
"RBC replenishment (ρ)",286,"rho",0.33778782
"Burst size (β)",286,"burst",4.76149283
"Activation indis (ψn)",286,"iota_N1",7.88268972
"Activation targeted (ψw)",286,"iota_N2",0.62036479
"Half-life indis (ϕn)",286,"phi_N1",0.0158368
"Half-life targeted (ϕw)",286,"phi_N2",80.1834553
"RBC replenishment (ρ)",287,"rho",0.23953427
"Burst size (β)",287,"burst",4.48326115
"Activation indis (ψn)",287,"iota_N1",5.99734462
"Activation targeted (ψw)",287,"iota_N2",2.13695181
"Half-life indis (ϕn)",287,"phi_N1",0.56095834
"Half-life targeted (ϕw)",287,"phi_N2",9241.47131
"RBC replenishment (ρ)",288,"rho",0.38296326
"Burst size (β)",288,"burst",6.06093398
"Activation indis (ψn)",288,"iota_N1",4.77516853
"Activation targeted (ψw)",288,"iota_N2",1.73715233
"Half-life indis (ϕn)",288,"phi_N1",0.14043319
"Half-life targeted (ϕw)",288,"phi_N2",7617.58912
"RBC replenishment (ρ)",289,"rho",0.37603588
"Burst size (β)",289,"burst",5.55019905
"Activation indis (ψn)",289,"iota_N1",6.37548055
"Activation targeted (ψw)",289,"iota_N2",0.90469313
"Half-life indis (ϕn)",289,"phi_N1",0.05071314
"Half-life targeted (ϕw)",289,"phi_N2",391.686338
"RBC replenishment (ρ)",290,"rho",0.34880314
"Burst size (β)",290,"burst",4.01328652
"Activation indis (ψn)",290,"iota_N1",14.0455008
"Activation targeted (ψw)",290,"iota_N2",0.9299879
"Half-life indis (ϕn)",290,"phi_N1",0.05788746
"Half-life targeted (ϕw)",290,"phi_N2",1125.97123
"RBC replenishment (ρ)",291,"rho",0.29269108
"Burst size (β)",291,"burst",3.85586682
"Activation indis (ψn)",291,"iota_N1",16.4317128
"Activation targeted (ψw)",291,"iota_N2",0.50154197
"Half-life indis (ϕn)",291,"phi_N1",0.02176273
"Half-life targeted (ϕw)",291,"phi_N2",974.252827
"RBC replenishment (ρ)",292,"rho",0.36983572
"Burst size (β)",292,"burst",4.72059109
"Activation indis (ψn)",292,"iota_N1",15.1359498
"Activation targeted (ψw)",292,"iota_N2",0.42172845
"Half-life indis (ϕn)",292,"phi_N1",0.01928054
"Half-life targeted (ϕw)",292,"phi_N2",886.869538
"RBC replenishment (ρ)",293,"rho",0.1926189
"Burst size (β)",293,"burst",4.5192185
"Activation indis (ψn)",293,"iota_N1",16.661869
"Activation targeted (ψw)",293,"iota_N2",2.12712063
"Half-life indis (ϕn)",293,"phi_N1",0.11145897
"Half-life targeted (ϕw)",293,"phi_N2",829.634914
"RBC replenishment (ρ)",294,"rho",0.46685635
"Burst size (β)",294,"burst",5.9621659
"Activation indis (ψn)",294,"iota_N1",11.4992096
"Activation targeted (ψw)",294,"iota_N2",1.89599059
"Half-life indis (ϕn)",294,"phi_N1",0.07027105
"Half-life targeted (ϕw)",294,"phi_N2",2629.44376
"RBC replenishment (ρ)",295,"rho",0.27917767
"Burst size (β)",295,"burst",5.57931773
"Activation indis (ψn)",295,"iota_N1",16.1682304
"Activation targeted (ψw)",295,"iota_N2",0.85847572
"Half-life indis (ϕn)",295,"phi_N1",0.01647957
"Half-life targeted (ϕw)",295,"phi_N2",1371.37745
"RBC replenishment (ρ)",296,"rho",0.21718107
"Burst size (β)",296,"burst",4.03634932
"Activation indis (ψn)",296,"iota_N1",60.863204
"Activation targeted (ψw)",296,"iota_N2",0.9332074
"Half-life indis (ϕn)",296,"phi_N1",0.00884852
"Half-life targeted (ϕw)",296,"phi_N2",94.8553955
"RBC replenishment (ρ)",297,"rho",0.35996634
"Burst size (β)",297,"burst",3.95972607
"Activation indis (ψn)",297,"iota_N1",72.6108446
"Activation targeted (ψw)",297,"iota_N2",0.81990633
"Half-life indis (ϕn)",297,"phi_N1",0.00937932
"Half-life targeted (ϕw)",297,"phi_N2",314.626288
"RBC replenishment (ρ)",298,"rho",0.39308058
"Burst size (β)",298,"burst",4.852716
"Activation indis (ψn)",298,"iota_N1",65.5817846
"Activation targeted (ψw)",298,"iota_N2",0.4422649
"Half-life indis (ϕn)",298,"phi_N1",0.00510142
"Half-life targeted (ϕw)",298,"phi_N2",364.772305
"RBC replenishment (ρ)",299,"rho",0.28699644
"Burst size (β)",299,"burst",4.57570356
"Activation indis (ψn)",299,"iota_N1",110.619159
"Activation targeted (ψw)",299,"iota_N2",2.05192128
"Half-life indis (ϕn)",299,"phi_N1",0.02186002
"Half-life targeted (ϕw)",299,"phi_N2",370.416851
"RBC replenishment (ρ)",300,"rho",0.36789266
"Burst size (β)",300,"burst",6.00261191
"Activation indis (ψn)",300,"iota_N1",66.1529445
"Activation targeted (ψw)",300,"iota_N2",1.88847046
"Half-life indis (ϕn)",300,"phi_N1",0.01634086
"Half-life targeted (ϕw)",300,"phi_N2",122.711116
"RBC replenishment (ρ)",301,"rho",0.30865057
"Burst size (β)",301,"burst",5.53487306
"Activation indis (ψn)",301,"iota_N1",53.9161143
"Activation targeted (ψw)",301,"iota_N2",1.10353505
"Half-life indis (ϕn)",301,"phi_N1",0.0121277
"Half-life targeted (ϕw)",301,"phi_N2",62.8549542
"RBC replenishment (ρ)",302,"rho",0.19717749
"Burst size (β)",302,"burst",3.94352386
"Activation indis (ψn)",302,"iota_N1",11.3157889
"Activation targeted (ψw)",302,"iota_N2",0.77274881
"Half-life indis (ϕn)",302,"phi_N1",0.03795379
"Half-life targeted (ϕw)",302,"phi_N2",4337.91903
"RBC replenishment (ρ)",303,"rho",0.34670133
"Burst size (β)",303,"burst",3.95409046
"Activation indis (ψn)",303,"iota_N1",13.6606621
"Activation targeted (ψw)",303,"iota_N2",0.81520726
"Half-life indis (ϕn)",303,"phi_N1",0.04051421
"Half-life targeted (ϕw)",303,"phi_N2",1358.51324
"RBC replenishment (ρ)",304,"rho",0.34479687
"Burst size (β)",304,"burst",4.78522763
"Activation indis (ψn)",304,"iota_N1",7.00774555
"Activation targeted (ψw)",304,"iota_N2",0.38287874
"Half-life indis (ϕn)",304,"phi_N1",0.03963019
"Half-life targeted (ϕw)",304,"phi_N2",4606.52166
"RBC replenishment (ρ)",305,"rho",0.18651712
"Burst size (β)",305,"burst",4.59125076
"Activation indis (ψn)",305,"iota_N1",51.2140766
"Activation targeted (ψw)",305,"iota_N2",2.02448209
"Half-life indis (ϕn)",305,"phi_N1",0.03937045
"Half-life targeted (ϕw)",305,"phi_N2",6746.94007
"RBC replenishment (ρ)",306,"rho",0.433109
"Burst size (β)",306,"burst",6.05444724
"Activation indis (ψn)",306,"iota_N1",27.5737317
"Activation targeted (ψw)",306,"iota_N2",1.97375722
"Half-life indis (ϕn)",306,"phi_N1",0.04289905
"Half-life targeted (ϕw)",306,"phi_N2",138.830515
"RBC replenishment (ρ)",307,"rho",0.30152179
"Burst size (β)",307,"burst",5.52032241
"Activation indis (ψn)",307,"iota_N1",12.8710866
"Activation targeted (ψw)",307,"iota_N2",1.02411988
"Half-life indis (ϕn)",307,"phi_N1",0.04062134
"Half-life targeted (ϕw)",307,"phi_N2",16056.2747
"RBC replenishment (ρ)",308,"rho",0.35198541
"Burst size (β)",308,"burst",3.93742043
"Activation indis (ψn)",308,"iota_N1",27.7477126
"Activation targeted (ψw)",308,"iota_N2",0.72787925
"Half-life indis (ϕn)",308,"phi_N1",0.02766831
"Half-life targeted (ϕw)",308,"phi_N2",1005.74338
"RBC replenishment (ρ)",309,"rho",0.22386469
"Burst size (β)",309,"burst",3.88035124
"Activation indis (ψn)",309,"iota_N1",19.2835452
"Activation targeted (ψw)",309,"iota_N2",0.94995745
"Half-life indis (ϕn)",309,"phi_N1",0.01738484
"Half-life targeted (ϕw)",309,"phi_N2",10656.1482
"RBC replenishment (ρ)",310,"rho",0.36382179
"Burst size (β)",310,"burst",4.91949676
"Activation indis (ψn)",310,"iota_N1",21.1689269
"Activation targeted (ψw)",310,"iota_N2",0.48157543
"Half-life indis (ϕn)",310,"phi_N1",0.0115463
"Half-life targeted (ϕw)",310,"phi_N2",3719.78019
"RBC replenishment (ρ)",311,"rho",0.31361642
"Burst size (β)",311,"burst",4.45524569
"Activation indis (ψn)",311,"iota_N1",17.7073354
"Activation targeted (ψw)",311,"iota_N2",2.01932107
"Half-life indis (ϕn)",311,"phi_N1",0.22692333
"Half-life targeted (ϕw)",311,"phi_N2",1746.03046
"RBC replenishment (ρ)",312,"rho",0.39212891
"Burst size (β)",312,"burst",6.08975174
"Activation indis (ψn)",312,"iota_N1",20.4799659
"Activation targeted (ψw)",312,"iota_N2",1.91961233
"Half-life indis (ϕn)",312,"phi_N1",0.0356123
"Half-life targeted (ϕw)",312,"phi_N2",22258.523
"RBC replenishment (ρ)",313,"rho",0.37532756
"Burst size (β)",313,"burst",5.54517791
"Activation indis (ψn)",313,"iota_N1",24.9779299
"Activation targeted (ψw)",313,"iota_N2",0.87957857
"Half-life indis (ϕn)",313,"phi_N1",0.01526581
"Half-life targeted (ϕw)",313,"phi_N2",44836.58
"RBC replenishment (ρ)",314,"rho",0.31682153
"Burst size (β)",314,"burst",3.92362194
"Activation indis (ψn)",314,"iota_N1",13.7222897
"Activation targeted (ψw)",314,"iota_N2",0.79455402
"Half-life indis (ϕn)",314,"phi_N1",0.07385603
"Half-life targeted (ϕw)",314,"phi_N2",307.312616
"RBC replenishment (ρ)",315,"rho",0.42264013
"Burst size (β)",315,"burst",4.10708012
"Activation indis (ψn)",315,"iota_N1",12.9397132
"Activation targeted (ψw)",315,"iota_N2",0.69890994
"Half-life indis (ϕn)",315,"phi_N1",0.04035323
"Half-life targeted (ϕw)",315,"phi_N2",58.5164011
"RBC replenishment (ρ)",316,"rho",0.40866092
"Burst size (β)",316,"burst",4.90801026
"Activation indis (ψn)",316,"iota_N1",9.55928925
"Activation targeted (ψw)",316,"iota_N2",0.57453813
"Half-life indis (ϕn)",316,"phi_N1",0.01971989
"Half-life targeted (ϕw)",316,"phi_N2",28.4066416
"RBC replenishment (ρ)",317,"rho",0.18485352
"Burst size (β)",317,"burst",4.65070216
"Activation indis (ψn)",317,"iota_N1",31.770762
"Activation targeted (ψw)",317,"iota_N2",2.16286237
"Half-life indis (ϕn)",317,"phi_N1",0.05891206
"Half-life targeted (ϕw)",317,"phi_N2",54.1163932
"RBC replenishment (ρ)",318,"rho",0.3418172
"Burst size (β)",318,"burst",6.33646842
"Activation indis (ψn)",318,"iota_N1",37.083013
"Activation targeted (ψw)",318,"iota_N2",2.17639577
"Half-life indis (ϕn)",318,"phi_N1",0.03744456
"Half-life targeted (ϕw)",318,"phi_N2",65.4852206
"RBC replenishment (ρ)",319,"rho",0.30063716
"Burst size (β)",319,"burst",5.40021937
"Activation indis (ψn)",319,"iota_N1",29.3595202
"Activation targeted (ψw)",319,"iota_N2",0.956282
"Half-life indis (ϕn)",319,"phi_N1",0.02250802
"Half-life targeted (ϕw)",319,"phi_N2",125.338128
"RBC replenishment (ρ)",320,"rho",0.18405882
"Burst size (β)",320,"burst",4.00543688
"Activation indis (ψn)",320,"iota_N1",32.0931051
"Activation targeted (ψw)",320,"iota_N2",1.07524049
"Half-life indis (ϕn)",320,"phi_N1",0.01625102
"Half-life targeted (ϕw)",320,"phi_N2",1482.61275
"RBC replenishment (ρ)",321,"rho",0.34735135
"Burst size (β)",321,"burst",4.05365804
"Activation indis (ψn)",321,"iota_N1",43.8624364
"Activation targeted (ψw)",321,"iota_N2",0.75204093
"Half-life indis (ϕn)",321,"phi_N1",0.01189106
"Half-life targeted (ϕw)",321,"phi_N2",351.82612
"RBC replenishment (ρ)",322,"rho",0.31825989
"Burst size (β)",322,"burst",4.71444823
"Activation indis (ψn)",322,"iota_N1",42.5743032
"Activation targeted (ψw)",322,"iota_N2",0.46915752
"Half-life indis (ϕn)",322,"phi_N1",0.00672132
"Half-life targeted (ϕw)",322,"phi_N2",125.037012
"RBC replenishment (ρ)",323,"rho",0.23350331
"Burst size (β)",323,"burst",4.55343223
"Activation indis (ψn)",323,"iota_N1",46.6579077
"Activation targeted (ψw)",323,"iota_N2",2.14453792
"Half-life indis (ϕn)",323,"phi_N1",0.04337048
"Half-life targeted (ϕw)",323,"phi_N2",3605.85814
"RBC replenishment (ρ)",324,"rho",0.41018358
"Burst size (β)",324,"burst",6.08179211
"Activation indis (ψn)",324,"iota_N1",61.6369552
"Activation targeted (ψw)",324,"iota_N2",1.71761386
"Half-life indis (ϕn)",324,"phi_N1",0.01974999
"Half-life targeted (ϕw)",324,"phi_N2",1717.07929
"RBC replenishment (ρ)",325,"rho",0.36777229
"Burst size (β)",325,"burst",5.39423162
"Activation indis (ψn)",325,"iota_N1",57.3761535
"Activation targeted (ψw)",325,"iota_N2",1.28399233
"Half-life indis (ϕn)",325,"phi_N1",0.01592533
"Half-life targeted (ϕw)",325,"phi_N2",486.239513
"RBC replenishment (ρ)",326,"rho",0.32323996
"Burst size (β)",326,"burst",3.99360325
"Activation indis (ψn)",326,"iota_N1",5.18433636
"Activation targeted (ψw)",326,"iota_N2",0.84323199
"Half-life indis (ϕn)",326,"phi_N1",0.1386141
"Half-life targeted (ϕw)",326,"phi_N2",275.37387
"RBC replenishment (ρ)",327,"rho",0.42395113
"Burst size (β)",327,"burst",4.10709671
"Activation indis (ψn)",327,"iota_N1",17.6447321
"Activation targeted (ψw)",327,"iota_N2",0.67942326
"Half-life indis (ϕn)",327,"phi_N1",0.02836784
"Half-life targeted (ϕw)",327,"phi_N2",1004.76389
"RBC replenishment (ρ)",328,"rho",0.32294545
"Burst size (β)",328,"burst",4.8331209
"Activation indis (ψn)",328,"iota_N1",3.54352933
"Activation targeted (ψw)",328,"iota_N2",0.5133288
"Half-life indis (ϕn)",328,"phi_N1",0.0579814
"Half-life targeted (ϕw)",328,"phi_N2",243.444741
"RBC replenishment (ρ)",329,"rho",0.18394153
"Burst size (β)",329,"burst",4.6549795
"Activation indis (ψn)",329,"iota_N1",9.5185938
"Activation targeted (ψw)",329,"iota_N2",2.28751579
"Half-life indis (ϕn)",329,"phi_N1",0.21718911
"Half-life targeted (ϕw)",329,"phi_N2",841.157681
"RBC replenishment (ρ)",330,"rho",0.37689617
"Burst size (β)",330,"burst",6.19710231
"Activation indis (ψn)",330,"iota_N1",5.55900803
"Activation targeted (ψw)",330,"iota_N2",1.88564402
"Half-life indis (ϕn)",330,"phi_N1",0.15027773
"Half-life targeted (ϕw)",330,"phi_N2",601.391376
"RBC replenishment (ρ)",331,"rho",0.30176777
"Burst size (β)",331,"burst",5.41753602
"Activation indis (ψn)",331,"iota_N1",7.09792814
"Activation targeted (ψw)",331,"iota_N2",1.18781692
"Half-life indis (ϕn)",331,"phi_N1",0.08196132
"Half-life targeted (ϕw)",331,"phi_N2",640.491449
"RBC replenishment (ρ)",332,"rho",0.29478083
"Burst size (β)",332,"burst",4.05538407
"Activation indis (ψn)",332,"iota_N1",29.5072308
"Activation targeted (ψw)",332,"iota_N2",0.83313936
"Half-life indis (ϕn)",332,"phi_N1",0.02986499
"Half-life targeted (ϕw)",332,"phi_N2",1548.19881
"RBC replenishment (ρ)",333,"rho",0.34139477
"Burst size (β)",333,"burst",3.98714918
"Activation indis (ψn)",333,"iota_N1",25.1848836
"Activation targeted (ψw)",333,"iota_N2",0.99731845
"Half-life indis (ϕn)",333,"phi_N1",0.02708524
"Half-life targeted (ϕw)",333,"phi_N2",303.352008
"RBC replenishment (ρ)",334,"rho",0.36118245
"Burst size (β)",334,"burst",4.97125997
"Activation indis (ψn)",334,"iota_N1",9.19224573
"Activation targeted (ψw)",334,"iota_N2",0.47319831
"Half-life indis (ϕn)",334,"phi_N1",0.02632242
"Half-life targeted (ϕw)",334,"phi_N2",672.532627
"RBC replenishment (ρ)",335,"rho",0.22573905
"Burst size (β)",335,"burst",4.71834945
"Activation indis (ψn)",335,"iota_N1",62.928817
"Activation targeted (ψw)",335,"iota_N2",1.60177998
"Half-life indis (ϕn)",335,"phi_N1",0.02910723
"Half-life targeted (ϕw)",335,"phi_N2",4629.29037
"RBC replenishment (ρ)",336,"rho",0.52878922
"Burst size (β)",336,"burst",6.20463823
"Activation indis (ψn)",336,"iota_N1",28.3340455
"Activation targeted (ψw)",336,"iota_N2",1.68913373
"Half-life indis (ϕn)",336,"phi_N1",0.0339401
"Half-life targeted (ϕw)",336,"phi_N2",143.258519
"RBC replenishment (ρ)",337,"rho",0.3801956
"Burst size (β)",337,"burst",5.53294369
"Activation indis (ψn)",337,"iota_N1",15.9164469
"Activation targeted (ψw)",337,"iota_N2",0.96083232
"Half-life indis (ϕn)",337,"phi_N1",0.03650642
"Half-life targeted (ϕw)",337,"phi_N2",348.448862
"RBC replenishment (ρ)",338,"rho",0.38444751
"Burst size (β)",338,"burst",3.82910248
"Activation indis (ψn)",338,"iota_N1",16.8930495
"Activation targeted (ψw)",338,"iota_N2",0.81097048
"Half-life indis (ϕn)",338,"phi_N1",0.05752574
"Half-life targeted (ϕw)",338,"phi_N2",222.379117
"RBC replenishment (ρ)",339,"rho",0.30562659
"Burst size (β)",339,"burst",4.02586316
"Activation indis (ψn)",339,"iota_N1",13.8249143
"Activation targeted (ψw)",339,"iota_N2",0.72745577
"Half-life indis (ϕn)",339,"phi_N1",0.06336827
"Half-life targeted (ϕw)",339,"phi_N2",161.538366
"RBC replenishment (ρ)",340,"rho",0.39078376
"Burst size (β)",340,"burst",4.7665782
"Activation indis (ψn)",340,"iota_N1",4.21056641
"Activation targeted (ψw)",340,"iota_N2",0.41008828
"Half-life indis (ϕn)",340,"phi_N1",0.05483206
"Half-life targeted (ϕw)",340,"phi_N2",164.738519
"RBC replenishment (ρ)",341,"rho",0.15619126
"Burst size (β)",341,"burst",4.53198795
"Activation indis (ψn)",341,"iota_N1",28.9158917
"Activation targeted (ψw)",341,"iota_N2",2.26691544
"Half-life indis (ϕn)",341,"phi_N1",0.0695544
"Half-life targeted (ϕw)",341,"phi_N2",1160.93056
"RBC replenishment (ρ)",342,"rho",0.42028052
"Burst size (β)",342,"burst",6.12879792
"Activation indis (ψn)",342,"iota_N1",12.6959542
"Activation targeted (ψw)",342,"iota_N2",1.58256337
"Half-life indis (ϕn)",342,"phi_N1",0.05517182
"Half-life targeted (ϕw)",342,"phi_N2",300.320543
"RBC replenishment (ρ)",343,"rho",0.31524001
"Burst size (β)",343,"burst",5.39226668
"Activation indis (ψn)",343,"iota_N1",20.091015
"Activation targeted (ψw)",343,"iota_N2",1.06323316
"Half-life indis (ϕn)",343,"phi_N1",0.05537749
"Half-life targeted (ϕw)",343,"phi_N2",3611.60495
"RBC replenishment (ρ)",344,"rho",0.26475562
"Burst size (β)",344,"burst",4.02106043
"Activation indis (ψn)",344,"iota_N1",6.58170781
"Activation targeted (ψw)",344,"iota_N2",0.77384071
"Half-life indis (ϕn)",344,"phi_N1",0.07277741
"Half-life targeted (ϕw)",344,"phi_N2",964.581801
"RBC replenishment (ρ)",345,"rho",0.28459162
"Burst size (β)",345,"burst",3.84063276
"Activation indis (ψn)",345,"iota_N1",4.41884134
"Activation targeted (ψw)",345,"iota_N2",0.84397488
"Half-life indis (ϕn)",345,"phi_N1",0.14709495
"Half-life targeted (ϕw)",345,"phi_N2",601.235802
"RBC replenishment (ρ)",346,"rho",0.38920568
