"label","iter","parameter","value"
"Half-life targeted (ϕw)",20,"phi_N2",335.872263
"RBC replenishment (ρ)",21,"rho",0.45105014
"Burst size (β)",21,"burst",3.98146722
"Activation indis (ψn)",21,"iota_N1",20.7788483
"Activation targeted (ψw)",21,"iota_N2",0.82059535
"Half-life indis (ϕn)",21,"phi_N1",0.03222346
"Half-life targeted (ϕw)",21,"phi_N2",684.785941
"RBC replenishment (ρ)",22,"rho",0.30662743
"Burst size (β)",22,"burst",4.59434939
"Activation indis (ψn)",22,"iota_N1",13.985168
"Activation targeted (ψw)",22,"iota_N2",0.49108425
"Half-life indis (ϕn)",22,"phi_N1",0.02425707
"Half-life targeted (ϕw)",22,"phi_N2",1726.04041
"RBC replenishment (ρ)",23,"rho",0.35642064
"Burst size (β)",23,"burst",4.5178789
"Activation indis (ψn)",23,"iota_N1",122.477259
"Activation targeted (ψw)",23,"iota_N2",1.81112605
"Half-life indis (ϕn)",23,"phi_N1",0.02896833
"Half-life targeted (ϕw)",23,"phi_N2",390.376833
"RBC replenishment (ρ)",24,"rho",0.55540904
"Burst size (β)",24,"burst",5.88213474
"Activation indis (ψn)",24,"iota_N1",35.583306
"Activation targeted (ψw)",24,"iota_N2",1.77822473
"Half-life indis (ϕn)",24,"phi_N1",0.03262709
"Half-life targeted (ϕw)",24,"phi_N2",219.45284
"RBC replenishment (ρ)",25,"rho",0.49844966
"Burst size (β)",25,"burst",5.67428815
"Activation indis (ψn)",25,"iota_N1",24.4753687
"Activation targeted (ψw)",25,"iota_N2",0.80063498
"Half-life indis (ϕn)",25,"phi_N1",0.03286216
"Half-life targeted (ϕw)",25,"phi_N2",1010.49885
"RBC replenishment (ρ)",26,"rho",0.28604079
"Burst size (β)",26,"burst",4.0468652
"Activation indis (ψn)",26,"iota_N1",9.68523762
"Activation targeted (ψw)",26,"iota_N2",0.79834676
"Half-life indis (ϕn)",26,"phi_N1",0.07139845
"Half-life targeted (ϕw)",26,"phi_N2",972.215955
"RBC replenishment (ρ)",27,"rho",0.3713071
"Burst size (β)",27,"burst",4.06363352
"Activation indis (ψn)",27,"iota_N1",15.6749645
"Activation targeted (ψw)",27,"iota_N2",0.77905986
"Half-life indis (ϕn)",27,"phi_N1",0.03486508
"Half-life targeted (ϕw)",27,"phi_N2",1065.34852
"RBC replenishment (ρ)",28,"rho",0.33421368
"Burst size (β)",28,"burst",4.77617139
"Activation indis (ψn)",28,"iota_N1",10.052886
"Activation targeted (ψw)",28,"iota_N2",0.49459365
"Half-life indis (ϕn)",28,"phi_N1",0.02028395
"Half-life targeted (ϕw)",28,"phi_N2",918.466768
"RBC replenishment (ρ)",29,"rho",0.40912076
"Burst size (β)",29,"burst",4.58223203
"Activation indis (ψn)",29,"iota_N1",13.2391891
"Activation targeted (ψw)",29,"iota_N2",1.79078855
"Half-life indis (ϕn)",29,"phi_N1",0.3001994
"Half-life targeted (ϕw)",29,"phi_N2",62206.8195
"RBC replenishment (ρ)",30,"rho",0.31054484
"Burst size (β)",30,"burst",6.00309769
"Activation indis (ψn)",30,"iota_N1",8.37549191
"Activation targeted (ψw)",30,"iota_N2",1.67711406
"Half-life indis (ϕn)",30,"phi_N1",0.06470292
"Half-life targeted (ϕw)",30,"phi_N2",1282.23883
"RBC replenishment (ρ)",31,"rho",0.32732047
"Burst size (β)",31,"burst",5.50100882
"Activation indis (ψn)",31,"iota_N1",15.7653061
"Activation targeted (ψw)",31,"iota_N2",1.17853101
"Half-life indis (ϕn)",31,"phi_N1",0.02539706
"Half-life targeted (ϕw)",31,"phi_N2",5580.26203
"RBC replenishment (ρ)",32,"rho",0.30085477
"Burst size (β)",32,"burst",4.01813643
"Activation indis (ψn)",32,"iota_N1",8.68581631
"Activation targeted (ψw)",32,"iota_N2",0.81750839
"Half-life indis (ϕn)",32,"phi_N1",0.06272644
"Half-life targeted (ϕw)",32,"phi_N2",188.377901
"RBC replenishment (ρ)",33,"rho",0.40091675
"Burst size (β)",33,"burst",4.00902201
"Activation indis (ψn)",33,"iota_N1",13.4090824
"Activation targeted (ψw)",33,"iota_N2",0.84667361
"Half-life indis (ϕn)",33,"phi_N1",0.0434291
"Half-life targeted (ϕw)",33,"phi_N2",198.27365
"RBC replenishment (ρ)",34,"rho",0.36165653
"Burst size (β)",34,"burst",4.7950789
"Activation indis (ψn)",34,"iota_N1",4.24364983
"Activation targeted (ψw)",34,"iota_N2",0.57680637
"Half-life indis (ϕn)",34,"phi_N1",0.07575613
"Half-life targeted (ϕw)",34,"phi_N2",206.760678
"RBC replenishment (ρ)",35,"rho",0.31057776
"Burst size (β)",35,"burst",4.65054183
"Activation indis (ψn)",35,"iota_N1",37.7865822
"Activation targeted (ψw)",35,"iota_N2",1.71338088
"Half-life indis (ϕn)",35,"phi_N1",0.08780165
"Half-life targeted (ϕw)",35,"phi_N2",1359.38516
"RBC replenishment (ρ)",36,"rho",0.60879709
"Burst size (β)",36,"burst",6.04331829
"Activation indis (ψn)",36,"iota_N1",37.3057996
"Activation targeted (ψw)",36,"iota_N2",2.08543806
"Half-life indis (ϕn)",36,"phi_N1",0.03994433
"Half-life targeted (ϕw)",36,"phi_N2",362.379867
"RBC replenishment (ρ)",37,"rho",0.41128164
"Burst size (β)",37,"burst",5.57944645
"Activation indis (ψn)",37,"iota_N1",11.0674997
"Activation targeted (ψw)",37,"iota_N2",0.86759225
"Half-life indis (ϕn)",37,"phi_N1",0.08096825
"Half-life targeted (ϕw)",37,"phi_N2",284.996434
"RBC replenishment (ρ)",38,"rho",0.40946312
"Burst size (β)",38,"burst",3.9962671
"Activation indis (ψn)",38,"iota_N1",4.73587263
"Activation targeted (ψw)",38,"iota_N2",0.73853059
"Half-life indis (ϕn)",38,"phi_N1",0.17640674
"Half-life targeted (ϕw)",38,"phi_N2",1052.00905
"RBC replenishment (ρ)",39,"rho",0.26731475
"Burst size (β)",39,"burst",3.97913022
"Activation indis (ψn)",39,"iota_N1",16.4770938
"Activation targeted (ψw)",39,"iota_N2",0.82054037
"Half-life indis (ϕn)",39,"phi_N1",0.02620153
"Half-life targeted (ϕw)",39,"phi_N2",997.029716
"RBC replenishment (ρ)",40,"rho",0.34346
"Burst size (β)",40,"burst",4.64551106
"Activation indis (ψn)",40,"iota_N1",4.99307909
"Activation targeted (ψw)",40,"iota_N2",0.48156289
"Half-life indis (ϕn)",40,"phi_N1",0.047151
"Half-life targeted (ϕw)",40,"phi_N2",3573.13058
"RBC replenishment (ρ)",41,"rho",0.21734962
"Burst size (β)",41,"burst",4.61959123
"Activation indis (ψn)",41,"iota_N1",23.7013947
"Activation targeted (ψw)",41,"iota_N2",2.01393037
"Half-life indis (ϕn)",41,"phi_N1",0.14440592
"Half-life targeted (ϕw)",41,"phi_N2",1072.75535
"RBC replenishment (ρ)",42,"rho",0.30488806
"Burst size (β)",42,"burst",6.0151643
"Activation indis (ψn)",42,"iota_N1",10.424627
"Activation targeted (ψw)",42,"iota_N2",2.2188518
"Half-life indis (ϕn)",42,"phi_N1",0.09077127
"Half-life targeted (ϕw)",42,"phi_N2",1539.89039
"RBC replenishment (ρ)",43,"rho",0.28336518
"Burst size (β)",43,"burst",5.54303179
"Activation indis (ψn)",43,"iota_N1",7.00623756
"Activation targeted (ψw)",43,"iota_N2",1.02710473
"Half-life indis (ϕn)",43,"phi_N1",0.05960943
"Half-life targeted (ϕw)",43,"phi_N2",306.419521
"RBC replenishment (ρ)",44,"rho",0.22175107
"Burst size (β)",44,"burst",4.08296069
"Activation indis (ψn)",44,"iota_N1",35.3044262
"Activation targeted (ψw)",44,"iota_N2",0.87886863
"Half-life indis (ϕn)",44,"phi_N1",0.01022206
"Half-life targeted (ϕw)",44,"phi_N2",1959.99363
"RBC replenishment (ρ)",45,"rho",0.28965634
"Burst size (β)",45,"burst",3.85883144
"Activation indis (ψn)",45,"iota_N1",39.3163319
"Activation targeted (ψw)",45,"iota_N2",0.72654761
"Half-life indis (ϕn)",45,"phi_N1",0.01154613
"Half-life targeted (ϕw)",45,"phi_N2",281.307805
"RBC replenishment (ρ)",46,"rho",0.42882493
"Burst size (β)",46,"burst",4.81045359
"Activation indis (ψn)",46,"iota_N1",24.8326771
"Activation targeted (ψw)",46,"iota_N2",0.54754292
"Half-life indis (ϕn)",46,"phi_N1",0.01188511
"Half-life targeted (ϕw)",46,"phi_N2",1208.02976
"RBC replenishment (ρ)",47,"rho",0.1828014
"Burst size (β)",47,"burst",4.618446
"Activation indis (ψn)",47,"iota_N1",66.2039063
"Activation targeted (ψw)",47,"iota_N2",1.92263211
"Half-life indis (ϕn)",47,"phi_N1",0.03801
"Half-life targeted (ϕw)",47,"phi_N2",33083.2118
"RBC replenishment (ρ)",48,"rho",0.45461511
"Burst size (β)",48,"burst",6.11210943
"Activation indis (ψn)",48,"iota_N1",40.3575844
"Activation targeted (ψw)",48,"iota_N2",1.84070977
"Half-life indis (ϕn)",48,"phi_N1",0.03308028
"Half-life targeted (ϕw)",48,"phi_N2",12146.814
"RBC replenishment (ρ)",49,"rho",0.31803085
"Burst size (β)",49,"burst",5.65418578
"Activation indis (ψn)",49,"iota_N1",49.8215813
"Activation targeted (ψw)",49,"iota_N2",1.0756629
"Half-life indis (ϕn)",49,"phi_N1",0.01601819
"Half-life targeted (ϕw)",49,"phi_N2",5148.35039
"RBC replenishment (ρ)",50,"rho",0.26370631
"Burst size (β)",50,"burst",3.89914799
"Activation indis (ψn)",50,"iota_N1",7.63888323
"Activation targeted (ψw)",50,"iota_N2",0.74239277
"Half-life indis (ϕn)",50,"phi_N1",0.09586232
"Half-life targeted (ϕw)",50,"phi_N2",195.564636
"RBC replenishment (ρ)",51,"rho",0.27968424
"Burst size (β)",51,"burst",3.96050225
"Activation indis (ψn)",51,"iota_N1",8.10506692
"Activation targeted (ψw)",51,"iota_N2",0.90481894
"Half-life indis (ϕn)",51,"phi_N1",0.02834292
"Half-life targeted (ϕw)",51,"phi_N2",153.24186
"RBC replenishment (ρ)",52,"rho",0.25813562
"Burst size (β)",52,"burst",4.71677196
"Activation indis (ψn)",52,"iota_N1",10.4362143
"Activation targeted (ψw)",52,"iota_N2",0.53542348
"Half-life indis (ϕn)",52,"phi_N1",0.03855524
"Half-life targeted (ϕw)",52,"phi_N2",180.507611
"RBC replenishment (ρ)",53,"rho",0.22138235
"Burst size (β)",53,"burst",4.64363094
"Activation indis (ψn)",53,"iota_N1",21.1222469
"Activation targeted (ψw)",53,"iota_N2",2.3901298
"Half-life indis (ϕn)",53,"phi_N1",0.0943903
"Half-life targeted (ϕw)",53,"phi_N2",119.996197
"RBC replenishment (ρ)",54,"rho",0.43508118
"Burst size (β)",54,"burst",6.38055076
"Activation indis (ψn)",54,"iota_N1",14.59179
"Activation targeted (ψw)",54,"iota_N2",1.64824052
"Half-life indis (ϕn)",54,"phi_N1",0.08771553
"Half-life targeted (ϕw)",54,"phi_N2",111.342108
"RBC replenishment (ρ)",55,"rho",0.30850241
"Burst size (β)",55,"burst",5.59301462
"Activation indis (ψn)",55,"iota_N1",8.45932371
"Activation targeted (ψw)",55,"iota_N2",1.1968327
"Half-life indis (ϕn)",55,"phi_N1",0.11060957
"Half-life targeted (ϕw)",55,"phi_N2",185.836276
"RBC replenishment (ρ)",56,"rho",0.2608722
"Burst size (β)",56,"burst",4.17049606
"Activation indis (ψn)",56,"iota_N1",6.1182811
"Activation targeted (ψw)",56,"iota_N2",0.95646667
"Half-life indis (ϕn)",56,"phi_N1",0.07955531
"Half-life targeted (ϕw)",56,"phi_N2",1657.43835
"RBC replenishment (ρ)",57,"rho",0.29337658
"Burst size (β)",57,"burst",3.92570037
"Activation indis (ψn)",57,"iota_N1",12.7494584
"Activation targeted (ψw)",57,"iota_N2",0.68378413
"Half-life indis (ϕn)",57,"phi_N1",0.03888775
"Half-life targeted (ϕw)",57,"phi_N2",676.177749
"RBC replenishment (ρ)",58,"rho",0.32106039
"Burst size (β)",58,"burst",4.77447466
"Activation indis (ψn)",58,"iota_N1",21.3229498
"Activation targeted (ψw)",58,"iota_N2",0.47348867
"Half-life indis (ϕn)",58,"phi_N1",0.01429184
"Half-life targeted (ϕw)",58,"phi_N2",1997.88965
"RBC replenishment (ρ)",59,"rho",0.21811822
"Burst size (β)",59,"burst",4.79325064
"Activation indis (ψn)",59,"iota_N1",28.4225725
"Activation targeted (ψw)",59,"iota_N2",2.10413405
"Half-life indis (ϕn)",59,"phi_N1",0.07263984
"Half-life targeted (ϕw)",59,"phi_N2",2144.85307
"RBC replenishment (ρ)",60,"rho",0.40182782
"Burst size (β)",60,"burst",6.30689862
"Activation indis (ψn)",60,"iota_N1",19.9506488
"Activation targeted (ψw)",60,"iota_N2",1.61860295
"Half-life indis (ϕn)",60,"phi_N1",0.0382151
"Half-life targeted (ϕw)",60,"phi_N2",1644.46246
"RBC replenishment (ρ)",61,"rho",0.24939739
"Burst size (β)",61,"burst",5.57346819
"Activation indis (ψn)",61,"iota_N1",16.7017044
"Activation targeted (ψw)",61,"iota_N2",1.18554795
"Half-life indis (ϕn)",61,"phi_N1",0.03037486
"Half-life targeted (ϕw)",61,"phi_N2",1725.72251
"RBC replenishment (ρ)",62,"rho",0.35643206
"Burst size (β)",62,"burst",4.06083012
"Activation indis (ψn)",62,"iota_N1",17.0177289
"Activation targeted (ψw)",62,"iota_N2",0.83611979
"Half-life indis (ϕn)",62,"phi_N1",0.05437647
"Half-life targeted (ϕw)",62,"phi_N2",147.937053
"RBC replenishment (ρ)",63,"rho",0.30598278
"Burst size (β)",63,"burst",3.93109547
"Activation indis (ψn)",63,"iota_N1",15.6676692
"Activation targeted (ψw)",63,"iota_N2",0.92255256
"Half-life indis (ϕn)",63,"phi_N1",0.03178641
"Half-life targeted (ϕw)",63,"phi_N2",227.748603
"RBC replenishment (ρ)",64,"rho",0.36134949
"Burst size (β)",64,"burst",4.75255282
"Activation indis (ψn)",64,"iota_N1",15.5524191
"Activation targeted (ψw)",64,"iota_N2",0.52519252
"Half-life indis (ϕn)",64,"phi_N1",0.01821533
"Half-life targeted (ϕw)",64,"phi_N2",73.552139
"RBC replenishment (ρ)",65,"rho",0.28252889
"Burst size (β)",65,"burst",4.7379066
"Activation indis (ψn)",65,"iota_N1",15.0387359
"Activation targeted (ψw)",65,"iota_N2",2.2863089
