"","id_1","id_2","tau_cum1","tau_cum2","fitness_difference"
"1","G-i_log","G-i_log",2.20941350114316,2.20941350114315,8.88178419700125e-15
"2","G-i_none","G-i_log",1.70834052321977,2.30626678187114,-0.597926258651371
"3","G-i_none","G-i_none",1.57854460107541,1.57854460107541,4.44089209850063e-16
"4","G1+G2_none","G-i_log",1.78672449524707,2.55352714467629,-0.766802649429227
"5","G1+G2_none","G-i_none",2.0248212177517,2.01358981848336,0.0112313992683415
"6","G1+G2_none","G1+G2_none",2.31601985432359,2.31601985432359,0
"7","I-i_log","G-i_log",2.18263733708442,2.35470346128168,-0.172066124197261
"8","I-i_log","G-i_none",2.28510135113265,1.7900029928394,0.495098358293251
"9","I-i_log","G1+G2_none",2.55763501131289,1.91477495035816,0.642860060954724
"10","I-i_log","I-i_log",2.28541579472553,2.28541579472553,0
"11","I-i_none","G-i_log",2.0396054208225,2.31654415683971,-0.276938736017204
"12","I-i_none","G-i_none",2.13991413595982,1.77469348351393,0.36522065244589
"13","I-i_none","G1+G2_none",2.37097522050768,2.01791448066814,0.353060739839544
"14","I-i_none","I-i_log",2.17588826910329,2.28438481631522,-0.108496547211924
"15","I-i_none","I-i_none",2.11682091515885,2.11682091515884,3.5527136788005e-15
"16","I-i+Ig-i_log","G-i_log",2.15612017651896,2.25409318365904,-0.097973007140078
"17","I-i+Ig-i_log","G-i_none",2.18717879264518,1.68943177101149,0.497747021633685
"18","I-i+Ig-i_log","G1+G2_none",2.53168316240741,1.83063658080024,0.701046581607172
"19","I-i+Ig-i_log","I-i_log",2.26434517360413,2.19713298110706,0.0672121924970708
"20","I-i+Ig-i_log","I-i_none",2.25461264375255,2.08340616565492,0.171206478097627
"21","I-i+Ig-i_log","I-i+Ig-i_log",2.16188323452517,2.16188323452517,0
"22","I-i+Ig-i_none","G-i_log",1.92624590514033,2.22228724869931,-0.296041343558977
"23","I-i+Ig-i_none","G-i_none",1.90560607033085,1.63015664230797,0.275449428022881
"24","I-i+Ig-i_none","G1+G2_none",2.24733022261845,1.88500516006768,0.36232506255077
"25","I-i+Ig-i_none","I-i_log",2.06122447088913,2.20473024960625,-0.143505778717117
"26","I-i+Ig-i_none","I-i_none",1.99153544019949,2.02171073003245,-0.0301752898329621
"27","I-i+Ig-i_none","I-i+Ig-i_log",1.95580855378516,2.15818541455481,-0.20237686076965
"28","I-i+Ig-i_none","I-i+Ig-i_none",1.85245051154688,1.85245051154688,2.22044604925031e-16
"29","I1+I2_log","G-i_log",2.16365036397587,2.35308608259604,-0.18943571862017
"30","I1+I2_log","G-i_none",2.15855116110995,1.75163890099582,0.406912260114134
"31","I1+I2_log","G1+G2_none",2.49792566931825,1.86855467414725,0.629370995170991
"32","I1+I2_log","I-i_log",2.30099657273198,2.29937904453941,0.00161752819256966
"33","I1+I2_log","I-i_none",2.29543423703986,2.19200389753327,0.103430339506591
"34","I1+I2_log","I-i+Ig-i_log",2.1890982644231,2.26327924364286,-0.0741809792197561
"35","I1+I2_log","I-i+Ig-i_none",2.18870967774431,2.06556931274779,0.123140364996514
"36","I1+I2_log","I1+I2_log",2.30576362939948,2.30576362939948,0
"37","I1+I2_none","G-i_log",1.83384770565528,2.75601266866339,-0.922164963008113
"38","I1+I2_none","G-i_none",1.89608572446346,2.047143054613,-0.151057330149543
