"id_1","id_2","fitness_diff","cue_1","cue_2","log_1","log_2","id_1_alt","id_2_alt"
"Ig-i_log","Ig-i_log","2.39808173319034e-14","Ig","Ig","log10","log10","Ig log10","Ig log10"
"Ig-i_none","Ig-i_log","-0.663529819195029","Ig","Ig","","log10","Ig ","Ig log10"
"R_log","Ig-i_log","-0.112158547587927","R","Ig","log10","log10","R log10","Ig log10"
"R_none","Ig-i_log","-0.0791912768606928","R","Ig","","log10","R ","Ig log10"
"sum_log","Ig-i_log","-0.0749679999894295","sum","Ig","log10","log10","sum log10","Ig log10"
"sum_none","Ig-i_log","-0.199769681846088","sum","Ig","","log10","sum ","Ig log10"
"Ig-i_none","Ig-i_none","-2.22044604925031e-16","Ig","Ig","","","Ig ","Ig "
"R_log","Ig-i_none","0.49968146006242","R","Ig","log10","","R log10","Ig "
"R_none","Ig-i_none","0.542206947928137","R","Ig","","","R ","Ig "
"sum_log","Ig-i_none","0.600503745311789","sum","Ig","log10","","sum log10","Ig "
"sum_none","Ig-i_none","0.43501195118172","sum","Ig","","","sum ","Ig "
"R_log","R_log","0","R","R","log10","log10","R log10","R log10"
"R_none","R_log","0.0255402203981481","R","R","","log10","R ","R log10"
"sum_log","R_log","0.0351696103082975","sum","R","log10","log10","sum log10","R log10"
"sum_none","R_log","-0.0816518565044453","sum","R","","log10","sum ","R log10"
"R_none","R_none","3.99680288865056e-15","R","R","","","R ","R "
"sum_log","R_none","-0.00357474179797945","sum","R","log10","","sum log10","R "
"sum_none","R_none","-0.116457533092411","sum","R","","","sum ","R "
"sum_log","sum_log","-4.44089209850063e-16","sum","sum","log10","log10","sum log10","sum log10"
"sum_none","sum_log","-0.121452894968486","sum","sum","","log10","sum ","sum log10"
"sum_none","sum_none","4.44089209850063e-16","sum","sum","","","sum ","sum "
