model,algorithm,limit,immunity,time_range,df,cue_1,cue_2,cue_range_1,cue_range_2,log_cue_1,log_cue_2,gamete_immune,solver,par_1,par_2,par_3,par_4
lag,L-BFGS-B,0.01,tsukushi,20,3,I1+I2,I1+I2,6*10^6,6*10^6,log,log,TRUE,vode,332.4361,-428.8672,-302.7355,-341.7225
lag,L-BFGS-B,0.01,tsukushi,20,3,R,R,8.89^10^6,6*10^6,log10,log10,TRUE,vode,222.0953,824.482,-286.8107,-220.5057
