"X","mut_id","res_id","fitness","mut_var1","mut_var2","mut_var3","mut_var4","res_var1","res_var2","res_var3","res_var4","mut_var1_opt","mut_var2_opt","mut_var3_opt","mut_var4_opt"
1,"G-i_none","R_log",-0.375672351072746,1.353023,-165.8444,60.96032,-7.602019,-1708.033,2029.536,1652.683,1716.579,1.28787989503931,-77.1011044326971,-1.41858903291575,0.481582540804
1,"G-i_none","R_none",-0.414306972243341,1.353023,-165.8444,60.96032,-7.602019,-85.83515,132.203,63.44411,95.46252,1.31190929087726,-84.0590878421661,-1.5260173209506,0.486327143588679
1,"G-i_none","sum_log",-0.467932152274431,1.353023,-165.8444,60.96032,-7.602019,366.9224,-475.8806,-333.6755,-376.6502,1.27976077989009,-79.4546166317872,63.6534888978101,-7.04110770773792
1,"G-i_none","sum_none",-0.231620498792939,1.353023,-165.8444,60.96032,-7.602019,1.832057,-16.921,61.96135,1.122217,1.28631039403314,-79.6874524303755,-1.46860468435272,0.469369123209832
1,"G1+G2_none","G-i_log",-0.635740643434834,1,-20.67279,324.78499,-4999.96816,1.76218,-4.329083,2.546559,-6.721427,1.13036808904078,-32.9424142621171,432.277149229312,-4997.15403205171
1,"G1+G2_none","G-i_none",0.0790974917088778,1,-20.67279,324.78499,-4999.96816,1.353023,-165.8444,60.96032,-7.602019,1.11341165171235,-32.6273865416876,448.827803748519,-5000.25366784556
1,"G1+G2_none","I-i_log",-0.483157033428557,1,-20.67279,324.78499,-4999.96816,296.297,-407.8744,-253.256,-312.6993,1.1153523721916,-35.4470035426751,462.813103946237,-4998.77386926592
1,"G1+G2_none","I-i_none",-0.0348507199107897,1,-20.67279,324.78499,-4999.96816,1.958208,-69.747557,1519.003656,-253.527388,0.739962934690889,-27.3204931207348,423.035498769047,-4993.72181818505
1,"G1+G2_none","I-i+Ig-i_log",-0.547243731352155,1,-20.67279,324.78499,-4999.96816,303.4573,-419.5405,-257.9821,-320.6268,1.09474795934108,-32.3702455341216,440.081176650476,-4994.24655771061
1,"G1+G2_none","I-i+Ig-i_none",-0.247197203554027,1,-20.67279,324.78499,-4999.96816,1.738925,-32.23447,294.1821,16.1966,1.13974848988284,-34.724997682207,444.215481694616,-4999.43371642024
1,"G1+G2_none","I1+I2_log",-0.460777240322882,1,-20.67279,324.78499,-4999.96816,356.4903,-465.0749,-322.0964,-367.33,1.09342040370637,-37.0752286960344,478.282650305517,-4994.67924435599
1,"G1+G2_none","I1+I2_none",0.586482071930515,1,-20.67279,324.78499,-4999.96816,0.9999997,-9.1495804,-71.9937848,4998.243879,1.31171971102551,-25.492561897899,358.170991950782,-4998.68330535113
1,"G1+G2_none","Ig-i_log",-0.622154973033228,1,-20.67279,324.78499,-4999.96816,2.188023,-5.185792,3.701277,-8.106463,1.12178520388659,-34.0295424137869,440.138171497241,-4985.25038415612
1,"G1+G2_none","Ig-i_none",0.227983137264624,1,-20.67279,324.78499,-4999.96816,1.178482,-108.3889,2.022846,0.4681743,1.15572001159695,-35.5721884891534,498.441013483056,-4997.99550664212
1,"G1+G2_none","Ig1+Ig2_none",0.327595932730463,1,-20.67279,324.78499,-4999.96816,1,-31.28019,341.47294,-4999.99774,1.43678246079116,-41.7882827043782,323.85871768706,-4999.99287083664
1,"G1+G2_none","R_log",-0.404448923120952,1,-20.67279,324.78499,-4999.96816,-1708.033,2029.536,1652.683,1716.579,1.13927609095329,-36.2001628675365,462.769348697365,-4996.77788366192
1,"G1+G2_none","R_none",-0.504379540299549,1,-20.67279,324.78499,-4999.96816,-85.83515,132.203,63.44411,95.46252,1.17126261326283,-38.8061602522809,324.375674149062,-4999.96744675034
1,"G1+G2_none","sum_log",-0.570138211813692,1,-20.67279,324.78499,-4999.96816,366.9224,-475.8806,-333.6755,-376.6502,1.09467928379784,-34.781690033346,460.223760238762,-4998.76095397135
1,"G1+G2_none","sum_none",-0.285003625178229,1,-20.67279,324.78499,-4999.96816,1.832057,-16.921,61.96135,1.122217,1.36938802613918,-142.188399931902,-19.3126633616795,-1.28559463808119
1,"I-i_log","G-i_log",-0.165320944132977,296.297,-407.8744,-253.256,-312.6993,1.76218,-4.329083,2.546559,-6.721427,330.523775317055,-458.449608472341,-279.586976786363,-350.616774218154
