"id_1","id_2","fitness_diff","cue_1","cue_2","log_1","log_2","id_1_alt","id_2_alt"
"I1+I2_none","I-i_none","-0.507034493647991","I1+I2","I","","","I1+I2 ","I "
"Ig-i_log","I-i_none","-0.0258151160691367","Ig","I","log10","","Ig log10","I "
"Ig-i_none","I-i_none","-0.353588362456671","Ig","I","","","Ig ","I "
"Ig1+Ig2_none","I-i_none","-0.565311204878235","Ig1+Ig2","I","","","Ig1+Ig2 ","I "
"R_log","I-i_none","0.15035549283355","R","I","log10","","R log10","I "
"R_none","I-i_none","0.173420541545325","R","I","","","R ","I "
"sum_log","I-i_none","0.161571426442717","sum","I","log10","","sum log10","I "
"sum_none","I-i_none","0.0448901130796693","sum","I","","","sum ","I "
"I1+I2_log","I1+I2_log","4.44089209850063e-16","I1+I2","I1+I2","log10","log10","I1+I2 log10","I1+I2 log10"
"I1+I2_none","I1+I2_log","-0.737525829180636","I1+I2","I1+I2","","log10","I1+I2 ","I1+I2 log10"
"Ig-i_log","I1+I2_log","0.165128438405155","Ig","I1+I2","log10","log10","Ig log10","I1+I2 log10"
"Ig-i_none","I1+I2_log","-0.498442764781601","Ig","I1+I2","","log10","Ig ","I1+I2 log10"
"Ig1+Ig2_none","I1+I2_log","-0.65503252043736","Ig1+Ig2","I1+I2","","log10","Ig1+Ig2 ","I1+I2 log10"
"R_log","I1+I2_log","0.0723467816720591","R","I1+I2","log10","log10","R log10","I1+I2 log10"
"R_none","I1+I2_log","0.0992746867729921","R","I1+I2","","log10","R ","I1+I2 log10"
"sum_log","I1+I2_log","0.0719440215010256","sum","I1+I2","log10","log10","sum log10","I1+I2 log10"
"sum_none","I1+I2_log","-0.0421361918062084","sum","I1+I2","","log10","sum ","I1+I2 log10"
"I1+I2_none","I1+I2_none","0","I1+I2","I1+I2","","","I1+I2 ","I1+I2 "
"Ig-i_log","I1+I2_none","-0.668429905467616","Ig","I1+I2","log10","","Ig log10","I1+I2 "
"Ig-i_none","I1+I2_none","0.145476285108536","Ig","I1+I2","","","Ig ","I1+I2 "
"Ig1+Ig2_none","I1+I2_none","0.047330069268249","Ig1+Ig2","I1+I2","","","Ig1+Ig2 ","I1+I2 "
"R_log","I1+I2_none","0.736240473409816","R","I1+I2","log10","","R log10","I1+I2 "
"R_none","I1+I2_none","0.771588034192238","R","I1+I2","","","R ","I1+I2 "
"sum_log","I1+I2_none","0.795524335164884","sum","I1+I2","log10","","sum log10","I1+I2 "
"sum_none","I1+I2_none","0.641588225101309","sum","I1+I2","","","sum ","I1+I2 "
"Ig-i_log","Ig-i_log","2.88657986402541e-14","Ig","Ig","log10","log10","Ig log10","Ig log10"
"Ig-i_none","Ig-i_log","-0.663529723182273","Ig","Ig","","log10","Ig ","Ig log10"
"Ig1+Ig2_none","Ig-i_log","-0.763640161220272","Ig1+Ig2","Ig","","log10","Ig1+Ig2 ","Ig log10"
"R_log","Ig-i_log","-0.112158525343193","R","Ig","log10","log10","R log10","Ig log10"
"R_none","Ig-i_log","-0.0791911910898921","R","Ig","","log10","R ","Ig log10"
"sum_log","Ig-i_log","-0.0749677715586659","sum","Ig","log10","log10","sum log10","Ig log10"
"sum_none","Ig-i_log","-0.199769631656742","sum","Ig","","log10","sum ","Ig log10"
"Ig-i_none","Ig-i_none","-2.22044604925031e-16","Ig","Ig","","","Ig ","Ig "
"Ig1+Ig2_none","Ig-i_none","-0.0420484100918146","Ig1+Ig2","Ig","","","Ig1+Ig2 ","Ig "
"R_log","Ig-i_none","0.49968146006242","R","Ig","log10","","R log10","Ig "
"R_none","Ig-i_none","0.542206947928137","R","Ig","","","R ","Ig "
"sum_log","Ig-i_none","0.600504251037792","sum","Ig","log10","","sum log10","Ig "
"sum_none","Ig-i_none","0.43501195118172","sum","Ig","","","sum ","Ig "
"Ig1+Ig2_none","Ig1+Ig2_none","-8.88178419700125e-16","Ig1+Ig2","Ig1+Ig2","","","Ig1+Ig2 ","Ig1+Ig2 "
"R_log","Ig1+Ig2_none","0.64547126647542","R","Ig1+Ig2","log10","","R log10","Ig1+Ig2 "
"R_none","Ig1+Ig2_none","0.697812303882067","R","Ig1+Ig2","","","R ","Ig1+Ig2 "
"sum_log","Ig1+Ig2_none","0.720425486094919","sum","Ig1+Ig2","log10","","sum log10","Ig1+Ig2 "
"sum_none","Ig1+Ig2_none","0.583462664680463","sum","Ig1+Ig2","","","sum ","Ig1+Ig2 "
"R_log","R_log","0","R","R","log10","log10","R log10","R log10"
"R_none","R_log","0.0255402203981481","R","R","","log10","R ","R log10"
"sum_log","R_log","0.0351698022055418","sum","R","log10","log10","sum log10","R log10"
"sum_none","R_log","-0.0816518565044453","sum","R","","log10","sum ","R log10"
"R_none","R_none","3.99680288865056e-15","R","R","","","R ","R "
"sum_log","R_none","-0.00357462571603673","sum","R","log10","","sum log10","R "
"sum_none","R_none","-0.116457533092411","sum","R","","","sum ","R "
"sum_log","sum_log","0","sum","sum","log10","log10","sum log10","sum log10"
"sum_none","sum_log","-0.121453096528727","sum","sum","","log10","sum ","sum log10"
"sum_none","sum_none","4.44089209850063e-16","sum","sum","","","sum ","sum "
