"","X","id","id_b","label","label_b","fitness","par1","par2","par3","par4","par5","par6","par7","par8","par9"
"1",1,"G_log","I_log","G log","I log",9.66651804443257,-2.80545457883157,3.6676691281147,-8.82052315835365,-4.76862330124401,-1.42375431125805,12.891471921864,-1.24756871787489,4.17231341796399,-9.45810011851136
"2",1,"G_log","I_none","G log","I",9.52503437248649,1.56128664712804,0.334038298613519,1.46051034356963,-2.40799930043714,0.81139496102251,-0.474052795639634,-1.26308861053226,3.05652173402361,-0.841689462585476
"3",1,"G_log","I+Ig_log","G log","I+Ig log",9.61877321276131,-1.23318531687197,2.42727807611924,-1.70994721783453,0.00935595483495777,-2.04797799206393,4.51258896047873,0.356617509554736,2.0032813080269,-1.53074439614116
"4",1,"G_log","I+Ig_none","G log","I+Ig",9.53347363370582,1.35180430571033,-0.340271178527769,0.577436844937134,-2.25968922433193,0.617313584720007,-0.166345577582829,-1.18121283528095,1.65455207185712,-0.377408009049222
"5",1,"G_log","Ig_log","G log","Ig log",9.6573216954234,-1.31229469695705,2.09429976550648,-1.68986419231464,-4.91911711251949,-3.48457117769937,5.1586155384373,1.52710613175228,0.558741866934804,0.344393572278748
"6",1,"G_log","Ig_none","G log","Ig",9.54799627148894,4.82276510221048,0.191594479474908,2.52727044316854,-5.45698186954172,5.22980216774675,-1.40908164023051,-5.08273343328693,5.24400633374371,-3.05374481536741
"7",1,"G_log","R_log","G log","R log",9.51691647110328,-0.210969893560822,0.758594118302449,1.23403482698716,0.599441106855288,0.417496433602445,-0.735099154305318,0.545184798137887,0.122645563031628,1.04055917323314
"8",1,"G_log","R_none","G log","R",9.64289737835445,1.82753371216909,-4.39031267878731,1.10123882957903,-9.26632296800771,8.27039302203873,-8.15100883271988,0.367535064560751,-9.34164596155067,5.19718498127211
"9",1,"G_none","I_log","G","I log",9.6087172002242,5.74776062068866,-7.27626203804595,0.525506410842481,-3.20563252940241,-16.8157418956468,-10.0124688200172,0.167898495351216,-3.52902629249719,-2.88048659130004
"10",1,"G_none","I_none","G","I",8.56674175706198,13.6957886336132,-40.1259828018335,4.768249851741,-8.05473050394622,28.4073896362646,-8.64398369787229,16.9523104022046,-14.9771976625213,-5.63364415807614
"11",1,"G_none","I+Ig_log","G","I+Ig log",9.62500642491311,5.10301884772448,-6.25631827277699,-1.30481475211369,-1.01123360658316,-14.913217704347,-6.47212904737609,0.986128680138652,-2.18584459080681,-1.9613792760728
"12",1,"G_none","I+Ig_none","G","I+Ig",8.53090283375121,8.84709768297089,-19.2458047954389,4.130025893756,-6.65893844573517,17.3567592756943,-8.86147009160288,5.84756225848904,-5.73125693922586,-3.81710474820424
"13",1,"G_none","Ig_log","G","Ig log",9.63612407512031,-1.07256108846014,0.0505109963550744,2.21315457271284,1.61621401271478,-5.02407152607256,8.77512338160211,0.609868131931675,2.24600774212794,0.464853965701592
"14",1,"G_none","Ig_none","G","Ig",8.42875132150836,12.6699454941375,-23.89495079678,6.76719983291489,-8.72417508228689,23.2868125018351,-8.76366240238597,11.7802399426992,-2.63052530611169,-6.07878549123131
"15",1,"G_none","R_log","G","R log",8.4497895037899,-0.274441875274185,-9.07619448818359,1.79029355170676,-4.01067774633098,6.56607453094839,-1.48089144258718,1.49221244699525,-5.06327132261596,-5.73816924505715
"16",1,"G_none","R_none","G","R",8.48325185726191,-0.35981966683613,-3.13110048935714,2.07247919605853,-2.45548545981338,2.85380447932868,-1.65657830797093,1.49110199064508,-3.65594109679913,-0.708783033043464
"17",1,"I+Ig_log","I_log","I+Ig log","I log",9.62904505915096,2.4305040011909,6.71166907701056,0.187771304280271,7.64778898744809,-2.66194354978664,-5.73299040966418,-0.423993744722053,0.558251231732168,0.528269824253498
"18",1,"I+Ig_log","I_none","I+Ig log","I",9.60091321886416,5.21135091137327,-1.16210060946535,1.11056980610386,-5.97934417946403,-10.6649008359931,-1.20206845451155,-2.8126640356242,-0.586341200712158,-2.915266670962
"19",1,"I+Ig_log","Ig_log","I+Ig log","Ig log",9.62370522064796,0.0499324494666671,1.02993789467057,0.471074531531485,1.92012518304752,-1.25606932809605,0.524961198823569,0.210192206510639,0.00848134075384276,0.82295131455474
"20",1,"I+Ig_log","Ig_none","I+Ig log","Ig",9.61937935977341,5.78654174402587,-1.4355908654679,1.15201678105627,-6.49901637764786,-10.5684168835937,-1.48582483083343,-3.56422168293954,0.018417550081168,-3.32761570629807
"21",1,"I+Ig_none","I_log","I+Ig","I log",9.57316820096038,6.50234131208819,-7.28503602940859,-3.70567540932428,-1.86348838870157,-10.1639860458984,-0.666049170357292,1.20097002001452,-1.99293417211337,-3.80315098399762
"22",1,"I+Ig_none","I_none","I+Ig","I",8.45737376850206,25.7397198664254,-98.2535876179419,43.6996585195854,0.463859105501801,45.4709450124999,-3.73778249923606,-17.0850220615391,-14.0271396238059,4.41485275376444
"23",1,"I+Ig_none","Ig_log","I+Ig","Ig log",9.61014690747586,0.620721826860414,-1.65053062581136,0.73538899095443,0.294765474846659,-1.17847648804147,0.203955781087283,0.581325106278336,0.298789115615044,0.0453989301277796
"24",1,"I+Ig_none","Ig_none","I+Ig","Ig",8.64518688717778,161.169032568849,-86.6974933078104,75.5324646053171,-147.704457920089,261.355718025701,-108.961315385691,24.0680750513137,-115.881094653731,-32.4486166483488
"25",1,"Ig_log","I_log","Ig log","I log",9.62549432946674,0.072480483153692,1.91918084375877,0.246183468344588,0.953653276628249,-1.23785913976728,-0.0122205864074463,0.35414165305954,0.965876557988584,0.71688568371659
"26",1,"Ig_log","I_none","Ig log","I",9.60883294085106,0.620511483848871,0.309313010104229,0.56889524324156,-1.6653097071935,-1.1848307636489,0.311626919841586,0.844481349523608,0.173940043259299,0.0696766882390536
"27",1,"Ig_none","I_log","Ig","I log",9.65255951312609,16.2666978648794,-15.7815440436614,-17.3867006177357,-9.80802002862482,9.53917025847026,-1.55709653955455,6.59383575175406,-14.8466529728818,-12.7326922467568
"28",1,"Ig_none","I_none","Ig","I",8.41733339072177,5.18149158285384,-65.072473683009,14.8960433865283,19.92521643152,15.929672027713,-4.30432916903242,1.63603815059126,-14.6385419699846,-0.413085483255905
