,X,id,id_b,label,label_b,fitness,par1,par2,par3,par4,par5,par6,par7,par8,par9
1,1,G_log,I_log,G log,I log,9.622092627,-1.985503343,2.246844631,-5.315224147,-4.794467092,-3.055816817,10.05317122,0.842792278,2.673912145,-7.369426932
2,1,G_log,I+Ig_log,G log,I+Ig log,9.630225224,5.079803163,-6.37587962,-0.389694196,14.81133729,-15.8766897,-4.477523761,17.14262134,-5.806349719,-5.928236941
3,1,G_log,Ig_log,G log,Ig log,9.645545332,0.096550527,-0.828868399,2.809072394,2.069827651,-2.711947717,2.866095713,2.120804485,-2.043434134,2.623559669
4,1,G_log,R_log,G log,R log,9.637573424,4.996152915,-16.58351216,-1.566557314,-19.80497877,12.82807037,-9.910351035,12.95135774,-21.75300206,0.192967984
5,1,I+Ig_log,I_log,I+Ig log,I log,9.636695093,4.524389124,14.75055846,16.10624429,-5.095638363,-15.10107988,-7.375652163,-1.304630203,-1.5029925,-6.21641711
6,1,I+Ig_log,Ig_log,I+Ig log,Ig log,9.642838805,0.58949693,-1.588573166,2.03205501,0.279388883,-4.547874625,-0.959880268,2.104784186,-1.506025149,1.136733882
7,1,Ig_log,I_log,Ig log,I log,9.643250338,0.347887152,0.66947903,1.676833635,-1.902545261,-4.039513466,-0.797128685,1.759538911,-0.096959076,0.555641807
8,1,R_log,I_log,R log,I log,9.880781047,6.875066649,1.746121145,0.678992033,25.27235333,-29.39793239,-15.10449299,43.5303092,-7.664658261,11.64534955
9,1,R_log,I+Ig_log,R log,I+Ig log,9.760316973,4.989028642,-2.595164917,-1.947046705,22.95579382,-22.22700485,-8.262189885,35.45725508,-5.473194991,1.314611866
10,1,R_log,Ig_log,R log,Ig log,9.655237,-6.889859,-10.052097,-6.6479,6.032022,-9.350612,20.779112,9.113192,7.429304,5.322353
