"","id","cue","log","beta","fitness","par1","par2","par3","par4","par5","par6","par7","par8","par9","default"
"1","R_log+I_log","R log & I log","log10",3.98,7.194575275,0.627473136,20.7491033,-1.320547092,36.17444993,-42.16498126,14.43058812,79.98899541,4.581233893,16.46850204,FALSE
"2","R_log+I_log","R log & I log","log10",4.7,8.58703391,5.343124286,10.91519704,0.941080217,23.627155,-2.325500213,-16.11279858,43.52407049,-3.628318936,13.77489703,FALSE
"3","R_log+I_log","R log & I log","log10",5.53,9.679118938,7.680304167,8.336069312,-7.33899399,18.61300418,-9.280834216,-24.11993571,50.68908528,-7.31184814,14.02888848,TRUE
"4","R_log+I_log","R log & I log","log10",6.08,10.21757116,5.378440453,11.21441283,1.402476515,23.39291601,-3.325519945,-17.65084285,41.0357171,-4.678048157,17.81456439,FALSE
