"","day","mouse","RBC","asex","gam","dose","strain","study","study_strain","id"
"783",7,6,4850000,1021725.9,17093.6,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS164"
"784",7,7,6290000,1393587.7,4115.1,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS174"
"785",7,8,7140000,1530054.2,3900.3,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS184"
"786",7,9,7150000,513815.5,2183.8,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS194"
"787",7,10,6140000,2212727.1,2858.8,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS1104"
"788",7,11,7820000,361028.9,687.1,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1114"
"789",7,12,6310000,1141467.7,914.7,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1124"
"790",7,13,6500000,1672900.2,2968.9,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1134"
"791",7,14,8130000,1239753.6,1065.8,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1144"
"792",7,15,6440000,1069426.4,669,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1154"
"793",7,16,9580000,794861.1,1026.2,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1164"
"794",7,19,7310000,364936.9,5681.8,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1194"
"795",7,20,9120000,1531015.1,1835.2,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1204"
"796",7,21,7900000,1860023.8,3259.6,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1214"
"797",7,22,6070000,1747831.2,3458.8,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1224"
"798",7,23,6510000,1009613.7,3905.4,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1234"
"799",7,24,7190000,37030.9,115.7,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1244"
"800",7,25,4920000,2862535.9,654.1,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1254"
"801",7,26,8630000,217775.5,180.6,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1264"
"802",7,27,7960000,828537.6,190.1,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1274"
"803",7,28,7270000,527981.5,460.6,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1284"
"804",7,29,6280000,344902.2,169.4,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1294"
"805",7,30,6260000,668522.7,212.1,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1304"
"806",8,1,3160000,1111595.6,41.4,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ114"
"807",8,2,5980000,2457723.1,30.8,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ124"
"808",8,3,3920000,2371165,20.6,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ134"
"809",8,4,5260000,1604251.9,22.8,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ144"
"810",8,5,4610000,2527703.9,18.3,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ154"
"811",8,6,3720000,3149570.6,22.5,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS164"
"812",8,7,4e+06,2635646.1,31.1,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS174"
"813",8,8,4920000,5352754.9,57.6,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS184"
"814",8,9,4600000,2871579,51.6,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS194"
"815",8,10,3350000,3901902.8,36.3,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS1104"
"816",8,11,5100000,2175892.7,15.9,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1114"
"817",8,12,4310000,1937234,35.8,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1124"
"818",8,13,3790000,1910368.1,41.9,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1134"
"819",8,14,6400000,3186999,85.4,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1144"
"820",8,15,4060000,2566992.6,13.2,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1154"
"821",8,16,9660000,3263186.8,183.8,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1164"
"822",8,19,5250000,4606557.5,529.7,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1194"
"823",8,20,8190000,4491503.2,874.6,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1204"
"824",8,21,5750000,2534874.4,115.1,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1214"
"825",8,22,4540000,2272581.8,34.3,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1224"
"826",8,23,5340000,3374421,1281.8,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1234"
"827",8,24,7200000,162129,199.3,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1244"
"828",8,25,3750000,2643632.6,91.8,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1254"
"829",8,26,7600000,868069.2,15.5,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1264"
"830",8,27,6570000,1459624.1,52.9,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1274"
"831",8,28,5730000,1471955,25.3,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1284"
"832",8,29,6820000,902600.8,85.1,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1294"
"833",8,30,5860000,1205081.4,29.1,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1304"
"834",9,1,2830000,2082927.7,1.4,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ114"
"835",9,2,3710000,881172.91,7.69,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ124"
"836",9,3,2090000,2992066.4,18.3,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ134"
"837",9,4,2870000,460428.67,7.63,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ144"
"838",9,5,3050000,2284401.19,7.71,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ154"
"839",9,6,2670000,2528902.63,8.97,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS164"
"840",9,7,2940000,1509491.1,1.9,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS174"
"841",9,8,2790000,2934663,57.6,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS184"
"842",9,9,3030000,2128969.3,32.1,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS194"
"843",9,10,2260000,3299200.3,11.6,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS1104"
"844",9,11,2970000,1610507.9,14.1,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1114"
"845",9,12,2890000,1367883.81,2.79,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1124"
"846",9,13,2450000,2041749.2,36,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1134"
"847",9,14,3480000,2850458.75,4.35,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1144"
"848",9,15,2350000,2006231.26,5.14,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1154"
"849",9,16,4380000,1786522.4,149.8,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1164"
"850",9,19,2390000,1968365.7,21.6,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1194"
"851",9,20,3730000,3983011.9,35.6,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1204"
"852",9,21,3310000,1801676.4,30.2,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1214"
"853",9,22,2700000,1240732.6,12.2,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1224"
"854",9,23,4200000,2265986.2,146.1,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1234"
"855",9,24,7060000,765286.4,264.4,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1244"
"856",9,25,2410000,1369440.28,9.22,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1254"
"857",9,26,6120000,566238.5,79.9,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1264"
"858",9,27,3930000,742987.9,166.6,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1274"
"859",9,28,5020000,791984.7,118.9,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1284"
"860",9,29,5870000,821963.5,157.3,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1294"
"861",9,30,3580000,743923.1,115,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1304"
"862",10,1,3610000,863870.9,298.3,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ114"
"863",10,2,3120000,563299.8,149.3,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ124"
"864",10,3,1610000,657939.4,475.6,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ134"
"865",10,4,3290000,801685.3,393,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ144"
"866",10,5,2500000,1691914.5,385.5,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ154"
"867",10,6,2110000,1345691.1,6170.6,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS164"
"868",10,7,4200000,502958.5,904.5,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS174"
"869",10,8,2980000,815931,4941,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS184"
"870",10,9,4230000,613581.4,6674.7,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS194"
"871",10,10,2290000,810186.4,2960,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS1104"
"872",10,11,3010000,441236.9,463.1,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1114"
"873",10,12,3610000,530730.5,552,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1124"
"874",10,13,3030000,1530418.7,242.9,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1134"
"875",10,14,3120000,857127.2,219.4,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1144"
"876",10,15,2920000,1178838.5,363.5,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1154"
"877",10,16,2400000,507002,279.2,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1164"
"878",10,19,1720000,1575993.3,455.8,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1194"
"879",10,20,3240000,2474495.1,1165.2,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1204"
"880",10,21,2780000,579351.2,340.5,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1214"
"881",10,22,2540000,1153582.1,816.3,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1224"
"882",10,23,2790000,2562587.9,4745.2,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1234"
"883",10,24,6100000,2422115.9,5763,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1244"
"884",10,25,3050000,906986.7,3524.4,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1254"
"885",10,26,4660000,380008.4,93.7,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1264"
"886",10,27,3590000,543437,160.1,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1274"
"887",10,28,4200000,491131.8,154.6,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1284"
"888",10,29,4380000,383851.6,293,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1294"
"889",10,30,3330000,618365.2,155.4,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1304"
"890",11,1,4140000,190262.9,686.7,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ114"
"891",11,2,3360000,56767.5,406.5,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ124"
"892",11,3,2590000,311132,986.2,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ134"
"893",11,4,4840000,126490.9,3899.3,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ144"
"894",11,5,2900000,1131221.7,1044,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ154"
"895",11,6,3390000,1777439.8,8174.3,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS164"
"896",11,7,5410000,128910.8,3754.3,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS174"
"897",11,8,4270000,752034.4,46353.6,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS184"
"898",11,9,4240000,207573.3,27301.9,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS194"
"899",11,10,2820000,814185.8,17480.2,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS1104"
"900",11,11,4770000,232966.7,3687.8,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1114"
"901",11,12,4570000,216739.5,14440.2,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1124"
"902",11,13,3280000,669345.2,14281.1,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1134"
"903",11,14,3480000,388819.9,3391.3,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1144"
"904",11,15,3680000,441754.4,9682,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1154"
"905",11,16,2810000,646966.4,223.4,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1164"
"906",11,19,2840000,672430.8,2515.1,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1194"
"907",11,20,3720000,1536906.7,4697.4,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1204"
"908",11,21,2880000,558002.7,442.5,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1214"
"909",11,22,3240000,806709,4089.8,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1224"
"910",11,23,2730000,1306710.1,3478.2,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1234"
"911",11,24,4540000,2381412,58148.5,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1244"
"912",11,25,3730000,979400.8,49590.1,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1254"
"913",11,26,4430000,276622.8,487.3,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1264"
"914",11,27,5100000,406682.8,3224.4,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1274"
"915",11,28,4020000,256796.1,443.3,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1284"
"916",11,29,4020000,318902.1,1106.7,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1294"
"917",11,30,3780000,455653.9,2610.7,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1304"
"918",12,1,5400000,166712.2,3208.3,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ114"
"919",12,2,3730000,15434.6,277.9,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ124"
"920",12,3,3360000,98889.6,958.7,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ134"
"921",12,4,6160000,16904.1,1901.2,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ144"
"922",12,5,3440000,343955.1,1446.8,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ154"
"923",12,6,3860000,554278.8,39342.2,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS164"
"924",12,7,4580000,34543,2385.4,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS174"
"925",12,8,4710000,377125.7,39204.2,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS184"
"926",12,9,5040000,50264.6,7659.3,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS194"
"927",12,10,4740000,482718.2,10388.4,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS1104"
"928",12,11,5620000,67364.9,14769.6,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1114"
"929",12,12,4570000,88501.7,20199.7,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1124"
"930",12,13,4510000,902549.2,32055.7,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1134"
"931",12,14,5700000,113061.2,2920.8,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1144"
"932",12,15,4760000,77496.8,10647.5,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1154"
"933",12,16,3800000,274715.8,983.3,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1164"
"934",12,19,4020000,498138.5,11969.2,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1194"
"935",12,20,5e+06,302547.2,6181.7,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1204"
"936",12,21,4e+06,198299.3,2279.6,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1214"
"937",12,22,4100000,401521.1,19470.3,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1224"
"938",12,23,3570000,730312,23020.3,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1234"
"939",12,24,3600000,2378256.1,17375.2,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1244"
"940",12,25,4220000,433306.4,49518.8,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1254"
"941",12,26,4540000,93415.2,467.6,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1264"
"942",12,27,5010000,122711.2,2486,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1274"
"943",12,28,4210000,48947.1,863.6,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1284"
"944",12,29,4540000,74057.8,1219.8,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1294"
"945",12,30,4440000,88104.5,1295.8,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1304"
"946",13,1,6270000,20034.3,660,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ114"
"947",13,2,3440000,477.6,23.4,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ124"
"948",13,3,4100000,47483.8,574.9,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ134"
"949",13,4,6630000,201.4,91.7,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ144"
"950",13,5,3960000,129150.1,103.9,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ154"
"951",13,6,4240000,67046.5,2441.5,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS164"
"952",13,7,5280000,1597.4,291.3,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS174"
"953",13,8,5650000,48598.4,5773.9,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS184"
"954",13,9,6470000,1357.4,626.5,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS194"
"955",13,10,5460000,180463.5,2316,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS1104"
"956",13,11,5980000,10533.7,2718.5,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1114"
"957",13,12,6090000,10165.2,1634.3,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1124"
"958",13,13,4690000,389906.1,11979,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1134"
"959",13,14,5890000,16798.6,2175.8,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1144"
"960",13,15,6030000,14339.8,915,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1154"
"961",13,16,5110000,105877.1,2052.9,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1164"
"962",13,19,4420000,675367.7,14677.3,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1194"
"963",13,20,5560000,106309.6,2891.5,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1204"
"964",13,21,5520000,40878.1,3144.3,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1214"
"965",13,22,4850000,186066,12899.7,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1224"
"966",13,23,3930000,262490.1,11417.8,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1234"
"967",13,24,3070000,1781757.4,17304.2,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1244"
"968",13,25,3900000,477957.3,11999.6,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1254"
"969",13,26,4460000,120674.8,1357.6,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1264"
"970",13,27,5590000,80704.5,2910.8,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1274"
"971",13,28,4970000,28261,1095.1,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1284"
"972",13,29,5100000,75435.8,1775.6,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1294"
"973",13,30,4230000,71033.7,2217.8,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1304"
"974",14,1,6180000,9167.98,3.42,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ114"
"975",14,2,5100000,0,0.628,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ124"
"976",14,3,4920000,38157.2,316.9,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ134"
"977",14,4,5750000,0,3.49,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ144"
"978",14,5,5150000,21858.5,188.3,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ154"
"979",14,6,5280000,37747.4,831.4,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS164"
"980",14,7,6350000,899.2,108.8,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS174"
"981",14,8,6470000,208.7,107.5,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS184"
"982",14,9,5300000,10345.8,1864.9,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS194"
"983",14,10,4520000,96653.6,1570.3,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS1104"
"984",14,11,5740000,3006.4,664.6,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1114"
"985",14,12,5700000,2421.8,751.4,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1124"
"986",14,13,5510000,170293,8080,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1134"
"987",14,14,4410000,1609,805.6,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1144"
"988",14,15,3970000,4258.9,538.7,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1154"
"989",14,16,5670000,68816.5,4899.4,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1164"
"990",14,19,3950000,579665.7,22784.8,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1194"
"991",14,20,5050000,39380.4,3785.4,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1204"
"992",14,21,5760000,34674.2,3589.3,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1214"
"993",14,22,5350000,179687.6,9897.8,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1224"
"994",14,23,4510000,71797.3,2965.5,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1234"
"995",14,24,2970000,682252.4,37888.5,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1244"
"996",14,25,3750000,169616.8,17162.7,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1254"
"997",14,26,4660000,63773,2347.8,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1264"
"998",14,27,6010000,71039.3,10949.3,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1274"
"999",14,28,5080000,47455.7,2762.8,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1284"
"1000",14,29,5270000,10942.5,1166.5,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1294"
"1001",14,30,4740000,22694.7,699.6,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1304"
"1002",15,1,5710000,6507.9,74,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ114"
"1003",15,2,3980000,0,0,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ124"
"1004",15,3,4610000,25170.4,296.3,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ134"
"1005",15,4,4920000,0,0,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ144"
"1006",15,5,5040000,10838.7,197.6,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ154"
"1007",15,6,5880000,16358.2,1198.9,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS164"
"1008",15,7,4910000,1003.9,43.6,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS174"
"1009",15,8,5420000,2584.6,524.3,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS184"
"1010",15,9,5340000,49.8,47.8,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS194"
"1011",15,10,5460000,37715.8,1354.5,1e+06,"AS","amna_2011","AS_amna_2011","amna_2011AS1104"
"1012",15,11,5590000,11947.3,444.4,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1114"
"1013",15,12,5790000,2308.8,317.3,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1124"
"1014",15,13,4360000,35516.8,10616.8,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1134"
"1015",15,14,5370000,88.7,215.6,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1144"
"1016",15,15,5580000,1357.1,386.9,1e+06,"ER","amna_2011","ER_amna_2011","amna_2011ER1154"
"1017",15,16,4930000,104585.1,5170.4,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1164"
"1018",15,19,4320000,166527.9,34459.7,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1194"
"1019",15,20,5920000,3591.2,1541.3,1e+06,"CR","amna_2011","CR_amna_2011","amna_2011CR1204"
"1020",15,21,5370000,31456.9,1757.9,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1214"
"1021",15,22,5610000,128909.5,3301.1,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1224"
"1022",15,23,4570000,11848.3,1128.6,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1234"
"1023",15,24,3850000,328308.5,18414.5,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1244"
"1024",15,25,3860000,49312,6604.6,1e+06,"CW","amna_2011","CW_amna_2011","amna_2011CW1254"
"1025",15,26,5390000,13894.526,0.874,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1264"
"1026",15,27,5590000,18670,425.5,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1274"
"1027",15,28,4920000,1240.6,115.6,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1284"
"1028",15,29,4750000,16036.2,361.3,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1294"
"1029",15,30,4250000,5128.1,43.8,1e+06,"DK","amna_2011","DK_amna_2011","amna_2011DK1304"
"1030",16,1,6840000,4019.2,0,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ114"
"1031",16,2,5150000,0,0,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ124"
"1032",16,3,4220000,21670.8,280.6,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ134"
"1033",16,4,3840000,0,0,1e+06,"AJ","amna_2011","AJ_amna_2011","amna_2011AJ144"
