"","X","id","id_b","label","label_b","fitness","par1","par2","par3","par4","par5","par6","par7","par8","par9"
"1","par1","G_log","I_log","G log","I log",6.0506243419833,-5.10415346674956,114.146010305882,-668.526028680439,415.65853258153,151.442599180718,458.961675393515,945.771421029059,75.9031493274323,176.629215553985
"2","par1","G_log","I_none","G log","I",8.6526382028305,1.49679804186583,-48.9991759928435,-476.82344350177,-1.16800355735081,-138.87329935279,454.60111579903,1.00566272613849,149.689631671531,125.547339657564
"3","par1","G_log","I+Ig_log","G log","I+Ig log",5.3345427005066,0.869998881891488,125.887826170828,-550.445140350531,481.049826945459,121.633618368112,419.704964410512,126.603649825148,-93.8926463964838,193.083996233811
"4","par1","G_log","I+Ig_none","G log","I+Ig",4.32770124378565,-8.14765861063565,-21.8197372015755,-57.6857973962985,210.489744349048,1.24371777135928,-318.606880665145,368.732020900602,428.486604268956,-124.97501791219
"5","par1","G_log","Ig_log","G log","Ig log",5.94334996228492,9.9158190991529,47.3808059771741,260.192491944557,167.857006593501,-11.3413101255486,90.547222479166,108.780520198427,-0.691261146203944,-1.98933425704868
"6","par1","G_log","Ig_none","G log","Ig",5.13608956257794,-7.09363628827577,-49.0475376379412,-75.235950300896,11.7873488706268,32.2298586509192,459.989424570462,57.7666523995655,-283.744213708684,-204.958333262722
"7","par1","G_log","R_log","G log","R log",4.00872175539873,-2.0327959656662,-3.065744865145,-13.2157656736617,215.077605512194,139.315973565785,290.538017281564,-554.342129076233,354.059029702966,227.907774854854
"8","par1","G_log","R_none","G log","R",4.22307606988421,15.1963762907531,-12.6618564330847,-17.327073453049,837.870859781147,-14.4840209914785,90.4460342024642,954.265210446893,-6.34029776548281,-158.072546395653
"9","par1","G_none","I_log","G","I log",1.88459422283006,9.43791165690464,186.562505462047,-216.392608027648,937.928890996157,226.851050107433,239.708535179737,-986.921337740494,168.453830317551,17.5911694109257
"10","par1","G_none","I_none","G","I",8.00256094052578,18.1363595922739,-162.181876100836,-636.444962501714,26.5313018155983,68.2199618017975,-148.64160425732,254.281141567419,216.526744685826,-193.987447603681
"11","par1","G_none","I+Ig_log","G","I+Ig log",9.60554388536725,-5.74565200389646,3.89031289776454,7.88876033754245,187.416614582491,-46.7257677638693,45.6162848071473,982.998036933075,-240.451612024584,242.625454566576
"12","par1","G_none","I+Ig_none","G","I+Ig",8.66207275362545,-8.23181077918216,134.683327032225,973.095419437467,-4.68630766216876,-30.1640299744805,312.205416027922,-94.1253740843582,-499.18209130808,247.844205682868
"13","par1","G_none","Ig_log","G","Ig log",5.09329684438838,8.9745929517913,30.920852768259,-78.4333434693848,-219.572749864252,2.90074217971948,-278.317431147727,-431.88025311581,-137.080178469245,238.286978363159
"14","par1","G_none","Ig_none","G","Ig",4.91715986115467,-9.37874694213484,110.898797536195,998.679809681938,634.701389165031,-249.960906947712,499.731287544644,-954.112660461187,499.840349522842,-27.2625548814247
"15","par1","G_none","R_log","G","R log",8.63786176591957,-9.98092566867975,13.5935553180718,25.6148461285333,-235.46562770202,-249.666309260062,-60.5376690199241,995.227616353955,127.965832216148,-249.941969904651
"16","par1","G_none","R_none","G","R",8.77577891514701,-9.9934561749416,10.6110305944228,19.2912029471852,-298.411677234457,-153.899977228158,19.7252268135144,998.061274367997,-36.541616830334,249.962093618654
"17","par1","I+Ig_log","I_log","I+Ig log","I log",5.4103089562598,-3.18232964417096,357.443853679337,962.01224749247,-322.452901154605,174.554998240604,44.8943790961291,-938.71437745146,-133.110649635622,160.789423011226
"18","par1","I+Ig_log","I_none","I+Ig log","I",6.00888214019014,1.35318075325423,238.06197904515,789.656618273055,4.62526372204203,1.76706330061684,-405.167117589546,-27.1775147863847,198.733575750231,194.590387295419
"19","par1","I+Ig_log","Ig_log","I+Ig log","Ig log",5.92750392593682,-6.17414426792298,-213.587098041314,-296.191040901256,59.6123907535829,224.871082921038,-97.8621358169405,-592.216853748387,-169.246969038157,179.525890730739
"20","par1","I+Ig_log","Ig_none","I+Ig log","Ig",9.64415815364848,3.94193316206861,502.600873873464,-318.004757864265,-4.25306472927187,53.9959306500126,-491.580076855363,-7.11842082351401,-50.570424385297,-246.42425656903
"21","par1","I+Ig_none","I_log","I+Ig","I log",9.6289855343424,-10.933204741579,10.1240739121881,2.88428128620556,-995.02574118756,14.270494177607,-31.7361829808481,603.030430844965,499.940015221993,250.414172273098
"22","par1","I+Ig_none","I_none","I+Ig","I",8.81783871599155,9.51100346577616,85.2495216335932,978.256200414671,163.062374858902,249.996786354197,-499.942758192922,999.306037616068,-499.993289646045,-109.962727606726
"23","par1","I+Ig_none","Ig_log","I+Ig","Ig log",4.9912237775392,7.12524192545341,271.834653474653,-302.120305076964,-165.711561314239,-64.5194297696644,-242.743938234376,-893.537714814605,224.28037564103,4.81588161156491
"24","par1","I+Ig_none","Ig_none","I+Ig","Ig",8.71056654757116,9.53229897081064,-90.8889994453415,-400.639432638931,138.736776166332,249.946444544604,-499.853378407139,996.602665936174,-499.99657101805,-247.29656838173
"25","par1","Ig_log","I_log","Ig log","I log",6.21368763572262,-9.45561923519018,64.6802612810399,-575.554420189291,-333.46586627357,243.094269501014,-246.0142119336,-319.512592926279,-122.2536847241,5.95201724496852
"26","par1","Ig_log","I_none","Ig log","I",4.88392588067706,6.67819195675541,165.194417521248,895.242537572155,42.0531238033892,54.371647497036,-264.009647273251,-105.109100606783,163.617249419573,-67.6646731775986
