id,rho,burst,iota_N1,iota_N2,phi_N1,phi_N2
103,0.33529636,5.50230557,9.30045474,0.83978033,0.02855062,1723.87015
104,0.27831889,4.00766374,72.2928961,0.61373734,0.01013634,1126.51839
105,0.31860833,3.8959339,19.6155548,0.89958797,0.02686993,954.247102
106,0.41454464,4.74500144,16.8506203,0.45971568,0.02126932,1400.03002
107,0.22091839,4.61416494,55.785489,1.93780668,0.02662913,613.885381
108,0.36561873,6.11236638,25.137837,1.57968083,0.01948042,1045.72699
109,0.26356188,5.68396991,31.3072652,1.09209889,0.01802771,470.269937
110,0.20156023,3.97858547,16.1635184,0.84238275,0.02886098,590.881672
111,0.29507315,3.87648287,11.0203844,0.843016,0.04565773,1268.81276
112,0.40439209,4.75361573,13.5772129,0.463003,0.03009114,801.833174
113,0.23627116,4.6588494,36.9257968,1.60545191,0.05813428,2657.93654
114,0.37831127,6.18943316,77.458783,2.13140421,0.01530849,3603.33202
115,0.2528322,5.51186505,22.1154143,1.08980585,0.02801729,2141.85916
116,0.34151209,4.13842735,4.24883079,0.76391759,0.11818829,5674.94462
117,0.39061809,4.03952823,2.90154546,0.71929042,0.16313903,2210.94821
118,0.38363924,4.74535415,3.88056647,0.42363202,0.07555589,13935.2338
119,0.17416477,4.59919006,15.9622606,2.28500287,0.1468705,52872.3732
120,0.46949607,6.04707971,7.63216254,2.2536975,0.15243868,4291.56125
121,0.26533243,5.66990868,3.50911804,1.06717423,0.08529601,9166.36896
122,0.37104493,4.05068151,4.98601375,0.68476063,0.13830881,327.495957
123,0.31423548,3.95308233,5.17021694,0.89875044,0.14222214,735.199291
124,0.41592167,4.87140638,2.56907256,0.49019563,0.11324845,241.51916
125,0.25378089,4.6777788,12.0607132,1.82080983,0.1557504,1878.66223
126,0.44463821,6.11212349,6.03488344,1.70943531,0.17695819,376.85196
127,0.27736369,5.50556462,2.05038315,0.94577007,0.17784027,538.280013
128,0.35855118,4.18789,45.5603046,0.69564048,0.015661,249.199823
129,0.22746922,3.94705126,36.9962819,0.8064047,0.01176229,86.018302
130,0.34326278,4.80308742,31.1922922,0.45996731,0.01170284,900.528619
131,0.51709695,4.68597378,57.610435,2.14230072,0.09763432,273.444418
132,0.34618312,6.26302687,61.4808241,1.85630057,0.01859779,516.139548
133,0.28602575,5.49535257,10.7570252,0.99479196,0.02832023,1785.08526
134,0.34662081,3.96315919,37.5343281,0.7638392,0.03307196,386.81877
135,0.39690935,3.99566905,15.4199524,0.75651428,0.07761857,354.417989
136,0.36128954,4.71583863,3.23956307,0.42810633,0.09305996,4131.48321
137,0.25789977,4.61989083,42.218219,1.75520382,0.06607976,1654.92929
138,0.37834919,5.83075124,12.8422917,2.29368577,0.0760907,1323.94767
139,0.27245773,5.50756889,7.81878802,1.05753934,0.04912593,467.27341
140,0.32795045,4.01690261,3.31912478,0.76508292,0.33171273,221.233717
141,0.38760871,3.92927158,3.690773,0.69932947,0.11346861,130.096792
142,0.35928179,4.74982969,2.84050578,0.46209232,0.10980295,56.1755404
143,0.1589226,4.61167078,3.73648697,1.94624829,0.4536625,297.548061
144,0.36443113,6.03879933,4.46827663,2.22786623,0.27746652,93.4772983
145,0.27505335,5.45305425,4.9015855,1.0312015,0.07900667,612.952359
146,0.19243934,3.99360296,8.69273755,0.71040912,0.04195795,5711.09172
147,0.28367615,3.9875755,8.77917798,0.67714877,0.05506799,2891.26083
148,0.32460879,4.71122866,7.05444056,0.53325454,0.06134053,4950.06629
149,0.20192789,4.70704163,8.3178598,2.22441299,0.2695553,5372.17865
150,0.46263544,6.06049566,11.8623812,1.90703537,0.07814795,1982.09938
151,0.34207425,5.55368887,13.2795409,0.93611787,0.02243619,1775.4716
152,0.41125685,4.06743615,12.444822,0.8542188,0.11060363,362.289944
153,0.18497537,3.96529533,12.7099043,1.035463,0.03008786,354.327132
154,0.39481209,4.81610896,25.3428391,0.52249177,0.00882106,693.841792
155,0.18197645,4.6008007,26.8554741,2.41864465,0.09020103,462.291754
156,0.48442371,6.08735265,22.8272179,1.90013246,0.06198076,337.786382
157,0.23761509,5.52861937,17.4725993,1.25030783,0.01757042,1002.52648
158,0.29753799,4.02964072,12.6622853,0.82903181,0.06306102,1411.75794
159,0.27920739,3.96597757,3.49459522,1.05235143,0.11987139,10.1930277
160,0.33368663,4.77685227,2.21277534,0.69223745,0.1176689,7.65837401
161,0.29495164,4.76360005,39.5135641,1.91901984,0.08362851,80.79671
162,0.39438187,6.41132857,3.76100485,2.12803033,0.17271602,88.4946004
163,0.29121341,5.41512107,4.09137473,0.98311312,0.11407862,88.2080106
164,0.2584574,4.01927216,16.9078677,0.96975481,0.03702692,180.023116
165,0.37668471,4.00566496,17.1483759,0.68228288,0.02908125,583.541496
166,0.32453596,4.74580789,14.3894419,0.36685555,0.01355828,376.136877
167,0.26138063,4.55701025,20.7933895,1.85150972,0.12770158,411.366186
168,0.48613997,6.23136243,19.2930298,1.81731641,0.05614458,439.100621
169,0.2932175,5.60617329,12.8491074,1.2438544,0.04486868,367.617646
170,0.29033892,3.98621809,71.8696451,0.86632539,0.0101758,82.6181249
171,0.32933134,4.045251,28.3106159,0.77719711,0.01074833,94.7330177
172,0.41259362,4.58411157,20.3403778,0.53161915,0.01070388,53.6594782
173,0.15854053,4.59696236,145.889988,1.94585389,0.00877254,68.1200777
174,0.40900626,6.07348925,100.332687,1.81282343,0.00927695,401.871836
175,0.21932152,5.69129292,11.6771988,0.90728481,0.00998567,143.408257
176,0.30271561,3.9959038,13.9756079,0.69651397,0.05727875,230.216614
177,0.3846304,3.82703738,18.3222921,0.74159728,0.03579995,725.422763
178,0.33342176,4.77367044,9.15442176,0.54122677,0.04045264,1428.11847
179,0.26739846,4.66378218,40.4779671,2.3123256,0.06402287,1025.89343
180,0.38271708,5.96322672,17.5505449,2.20749573,0.07677388,3334.63959
181,0.42855533,5.59213647,5.57533556,0.75301863,0.05382529,1179.21215
182,0.24734857,4.13859013,15.1466546,0.79637284,0.02500073,105.059519
183,0.2837596,3.860701,13.745342,0.75876141,0.03984272,258.45942
184,0.36789397,4.80657605,16.9411567,0.59433205,0.01505698,48.6682881
185,0.29213977,4.72557946,16.6295108,1.61913113,0.13871139,518.164907
186,0.41281603,6.03280858,15.8163112,2.03858488,0.06760747,1419.94967
187,0.25784214,5.40866902,16.5628589,1.1894571,0.05559867,229.041363
188,0.18133808,3.89245332,23.6695891,0.8842982,0.03585604,244.70474
189,0.40854295,4.04218172,11.3090452,0.67190926,0.03851621,122.213747
190,0.33127728,4.82732374,10.4857106,0.6095968,0.03406399,21.9638482
191,0.1861198,4.80271617,56.534238,2.03276291,0.03349844,697.396496
192,0.49286754,5.89584111,46.1911474,2.59408962,0.0349794,75.1279213
193,0.29243229,5.20046507,38.5490686,1.15783672,0.03057412,134.599199
194,0.30724704,3.99052892,22.5257244,0.83408474,0.03516103,6326.34366
195,0.27097458,3.89857949,15.932106,0.88663517,0.02984899,3422.56986
196,0.30436642,4.72889485,14.1963371,0.52628053,0.01464326,566.532868
197,0.16286263,4.75833752,23.5995791,2.18283878,0.08234466,54300.3769
198,0.30414705,6.09398262,24.4989058,2.32429133,0.039985,35356.9717
199,0.23014583,5.45450649,28.7545899,1.35034754,0.0227618,7620.78441
200,0.32172333,3.93565848,371.212988,0.82769199,0.00185451,220.31498
201,0.21310631,3.94512647,155.030423,0.68954926,0.00206624,511.219464
202,0.39964199,4.66824901,134.11485,0.5122053,0.0030511,162.398669
203,0.17753199,4.53064717,332.684845,2.44411932,0.0079004,187.534267
204,0.43768147,6.12935523,139.353231,2.11339862,0.00486324,59.2691847
205,0.44416643,5.72585124,209.51016,1.12315308,0.0035542,42.4625663
206,0.33325466,4.12494507,30.6639962,0.77142245,0.01970184,2027.13028
207,0.19857084,3.92564345,17.1193635,0.89447802,0.01950406,3644.952
208,0.37941399,4.83146375,18.6353042,0.58119154,0.0245788,4098.60948
209,0.20777895,4.66281861,29.3026635,2.07671067,0.05960813,1183.9689
210,0.33537808,6.06832781,26.4289496,2.09740603,0.0430054,1856.2201
211,0.34736324,5.40747829,9.20362763,1.06741317,0.03773833,6631.6931
212,0.27808002,4.14380472,55.6557195,0.68349359,0.01335112,37.101337
213,0.30229282,3.89069705,58.671098,0.77897378,0.01193299,554.773667
214,0.42468531,4.99674811,56.0223422,0.45364796,0.00445813,203.397773
215,0.2872929,4.65969972,64.2408848,2.05045889,0.04189289,1835.75026
216,0.34171132,5.96741337,63.939305,2.26333555,0.01588348,1007.3579
217,0.35678777,5.57981772,60.1755881,1.39679814,0.0104189,29.7506957
218,0.25878219,4.02418334,4.36246038,0.95561351,0.12937624,4785.31784
219,0.36378206,4.04499041,7.7540356,0.73675585,0.12045286,542.692843
220,0.35241636,4.81742463,4.57293125,0.49490457,0.04089088,5488.83754
221,0.21257237,4.79204801,23.6195206,1.95867088,0.08936059,1146.8836
222,0.51624784,6.28192971,8.53613097,1.84770258,0.10687761,1901.53457
223,0.32543468,5.70194919,10.9726183,0.85996186,0.04312677,251.680613
224,0.27138361,4.09181193,4.32292722,0.645238,0.13044506,3877.82637
225,0.41258427,4.00377253,9.46893223,0.83184035,0.07422638,1090.98458
226,0.36875814,4.70407665,4.15098378,0.7436486,0.04780798,11.9809832
227,0.14517449,4.83665075,10.0780892,2.06305859,0.20162074,293.3421
228,0.37573881,6.08325429,13.2405721,1.98416908,0.08171897,1999.959
229,0.30293878,5.51538741,7.37237898,1.16344282,0.10487646,729.938129
230,0.31918966,4.00949789,28.8261743,0.70971477,0.02891971,1454.01296
231,0.3172928,4.03823917,28.0250115,0.84802328,0.02291924,763.516522
232,0.41857161,4.82493124,28.2311621,0.43739821,0.01632842,1271.64977
233,0.23232512,4.68874962,32.2463473,1.90635035,0.06955102,628.939569
234,0.50800911,5.98994423,20.843157,1.75287188,0.04284886,1506.32024
235,0.3700196,5.58838981,23.2596125,0.98988303,0.03403257,10231.8908
236,0.30496657,3.91740491,21.611421,0.72870241,0.02978611,822.797198
237,0.25172241,3.89250108,18.3819899,0.80222061,0.02592477,706.268232
238,0.36750804,4.65998789,17.7793319,0.57475787,0.03240733,7483.93489
239,0.17942093,4.58387269,66.1122067,1.55879037,0.02377296,2021.96908
240,0.42734521,5.82154735,59.2357429,2.39533021,0.03146133,557.236889
241,0.34746563,5.54881138,15.8728058,1.15340677,0.03054342,1662.83857
242,0.26082197,3.98624426,18.7349083,0.93443969,0.05676188,1345.20929
243,0.19333453,3.9963,5.96869106,0.84770264,0.05420273,900.746471
244,0.33682498,4.81109549,1.72599353,0.35287487,0.13685643,540.986103
245,0.17830758,4.5888727,32.9525479,1.84479251,0.06968272,496.182083
246,0.34705064,6.05214429,53.4847079,2.19449215,0.02367008,678.541799
247,0.29319185,5.50767097,10.7604413,1.12514156,0.0358264,748.557597
248,0.26111773,3.98989712,12.133058,0.90392567,0.05039187,489.010902
249,0.35685536,3.83257432,20.3454995,0.86264872,0.04937896,131.783982
250,0.4327203,4.77846095,3.99803988,0.4526721,0.03277537,61.814385
251,0.22899448,4.3744304,48.0614143,2.26304057,0.05253675,285.711247
252,0.34628005,5.96143606,20.2315426,1.88307273,0.0468092,240.971473
253,0.32477059,5.64701138,17.9378159,0.87718216,0.02309546,143.440205
254,0.46151126,3.93777931,51.4710457,0.85921041,0.02103089,81.5987763
255,0.24388092,3.75992167,26.483826,0.94479584,0.01693333,41.5796979
256,0.48333251,4.73090293,32.8969312,0.50958969,0.01040056,69.1534093
257,0.26579843,4.62178472,83.0450055,1.95289595,0.03879912,178.835034
258,0.40557536,6.09289273,38.6876239,1.76135214,0.02079443,153.567281
259,0.20076005,5.60020822,21.8697019,1.4449366,0.01782261,30.6881393
260,0.34020336,4.00845876,10.7121786,0.78732941,0.0507306,10167.6065
261,0.25036514,3.86853102,27.8618772,0.81394226,0.01816969,5903.0178
262,0.35097101,4.7031521,6.3311178,0.5616563,0.04165044,12948.3539
263,0.18105715,4.64734805,34.2937567,2.21626033,0.04944433,15973.5286
264,0.35909763,6.17770481,15.3589729,1.80795504,0.06557691,11402.4841
265,0.30426227,5.53679434,14.507244,1.17547162,0.0226823,3033.27008
266,0.31153083,4.05428814,10.0649356,0.78237743,0.03204791,301.262965
267,0.30332994,3.8953075,9.59398437,0.78066234,0.05547996,172.599088
268,0.33991256,4.76554573,9.19681808,0.5484422,0.02350343,69.3358469
269,0.18815157,4.56986215,8.78155847,2.29721036,0.20854721,105.960834
270,0.33320916,6.11266443,10.055815,2.11966463,0.07647653,240.52871
271,0.33171848,5.53101426,8.35535114,1.1925682,0.05597698,126.381607
272,0.35439202,4.01683029,5.7404158,0.79493601,0.14979071,131.843716
273,0.25345077,3.99821701,2.93473361,0.91773315,0.1360534,64.4373042
274,0.29022883,4.6422331,2.33761198,0.69024741,0.15077499,106.677718
275,0.28388695,4.68599574,18.4432327,1.90397439,0.13776206,1728.45238
276,0.40774818,6.06456975,10.2278036,1.90986558,0.1683532,7427.30799
277,0.36650703,5.50960791,2.88841445,1.049176,0.17227026,98.7230676
278,0.2929797,3.89956246,460.369588,0.98430504,0.00219432,828.841511
279,0.35062514,3.98005517,138.865632,0.78401188,0.00302881,109.646881
280,0.35600906,4.72794042,269.802995,0.44377636,0.00183741,756.948913
281,0.19053332,4.85484908,515.530477,2.07309146,0.0033692,868.963629
282,0.38685779,6.11321031,143.011973,1.71787653,0.00523262,345.061624
283,0.29762381,5.42823843,247.227799,1.2183044,0.00314036,333.555313
284,0.27046928,3.97945822,5.89040149,0.79375365,0.13791154,1149.52527
285,0.34840789,3.71179362,15.3364366,0.93383996,0.0830069,174.13449
286,0.33778782,4.76149283,7.88268972,0.62036479,0.0158368,80.1834553
287,0.23953427,4.48326115,5.99734462,2.13695181,0.56095834,9241.47131
288,0.38296326,6.06093398,4.77516853,1.73715233,0.14043319,7617.58912
289,0.37603588,5.55019905,6.37548055,0.90469313,0.05071314,391.686338
290,0.34880314,4.01328652,14.0455008,0.9299879,0.05788746,1125.97123
291,0.29269108,3.85586682,16.4317128,0.50154197,0.02176273,974.252827
292,0.36983572,4.72059109,15.1359498,0.42172845,0.01928054,886.869538
293,0.1926189,4.5192185,16.661869,2.12712063,0.11145897,829.634914
294,0.46685635,5.9621659,11.4992096,1.89599059,0.07027105,2629.44376
295,0.27917767,5.57931773,16.1682304,0.85847572,0.01647957,1371.37745
296,0.21718107,4.03634932,60.863204,0.9332074,0.00884852,94.8553955
297,0.35996634,3.95972607,72.6108446,0.81990633,0.00937932,314.626288
298,0.39308058,4.852716,65.5817846,0.4422649,0.00510142,364.772305
299,0.28699644,4.57570356,110.619159,2.05192128,0.02186002,370.416851
300,0.36789266,6.00261191,66.1529445,1.88847046,0.01634086,122.711116
301,0.30865057,5.53487306,53.9161143,1.10353505,0.0121277,62.8549542
302,0.19717749,3.94352386,11.3157889,0.77274881,0.03795379,4337.91903
303,0.34670133,3.95409046,13.6606621,0.81520726,0.04051421,1358.51324
304,0.34479687,4.78522763,7.00774555,0.38287874,0.03963019,4606.52166
305,0.18651712,4.59125076,51.2140766,2.02448209,0.03937045,6746.94007
306,0.433109,6.05444724,27.5737317,1.97375722,0.04289905,138.830515
307,0.30152179,5.52032241,12.8710866,1.02411988,0.04062134,16056.2747
308,0.35198541,3.93742043,27.7477126,0.72787925,0.02766831,1005.74338
309,0.22386469,3.88035124,19.2835452,0.94995745,0.01738484,10656.1482
310,0.36382179,4.91949676,21.1689269,0.48157543,0.0115463,3719.78019
311,0.31361642,4.45524569,17.7073354,2.01932107,0.22692333,1746.03046
312,0.39212891,6.08975174,20.4799659,1.91961233,0.0356123,22258.523
313,0.37532756,5.54517791,24.9779299,0.87957857,0.01526581,44836.58
314,0.31682153,3.92362194,13.7222897,0.79455402,0.07385603,307.312616
315,0.42264013,4.10708012,12.9397132,0.69890994,0.04035323,58.5164011
316,0.40866092,4.90801026,9.55928925,0.57453813,0.01971989,28.4066416
317,0.18485352,4.65070216,31.770762,2.16286237,0.05891206,54.1163932
318,0.3418172,6.33646842,37.083013,2.17639577,0.03744456,65.4852206
319,0.30063716,5.40021937,29.3595202,0.956282,0.02250802,125.338128
320,0.18405882,4.00543688,32.0931051,1.07524049,0.01625102,1482.61275
321,0.34735135,4.05365804,43.8624364,0.75204093,0.01189106,351.82612
322,0.31825989,4.71444823,42.5743032,0.46915752,0.00672132,125.037012
323,0.23350331,4.55343223,46.6579077,2.14453792,0.04337048,3605.85814
324,0.41018358,6.08179211,61.6369552,1.71761386,0.01974999,1717.07929
325,0.36777229,5.39423162,57.3761535,1.28399233,0.01592533,486.239513
326,0.32323996,3.99360325,5.18433636,0.84323199,0.1386141,275.37387
327,0.42395113,4.10709671,17.6447321,0.67942326,0.02836784,1004.76389
328,0.32294545,4.8331209,3.54352933,0.5133288,0.0579814,243.444741
329,0.18394153,4.6549795,9.5185938,2.28751579,0.21718911,841.157681
330,0.37689617,6.19710231,5.55900803,1.88564402,0.15027773,601.391376
331,0.30176777,5.41753602,7.09792814,1.18781692,0.08196132,640.491449
332,0.29478083,4.05538407,29.5072308,0.83313936,0.02986499,1548.19881
333,0.34139477,3.98714918,25.1848836,0.99731845,0.02708524,303.352008
334,0.36118245,4.97125997,9.19224573,0.47319831,0.02632242,672.532627
335,0.22573905,4.71834945,62.928817,1.60177998,0.02910723,4629.29037
336,0.52878922,6.20463823,28.3340455,1.68913373,0.0339401,143.258519
337,0.3801956,5.53294369,15.9164469,0.96083232,0.03650642,348.448862
338,0.38444751,3.82910248,16.8930495,0.81097048,0.05752574,222.379117
339,0.30562659,4.02586316,13.8249143,0.72745577,0.06336827,161.538366
340,0.39078376,4.7665782,4.21056641,0.41008828,0.05483206,164.738519
341,0.15619126,4.53198795,28.9158917,2.26691544,0.0695544,1160.93056
342,0.42028052,6.12879792,12.6959542,1.58256337,0.05517182,300.320543
343,0.31524001,5.39226668,20.091015,1.06323316,0.05537749,3611.60495
344,0.26475562,4.02106043,6.58170781,0.77384071,0.07277741,964.581801
345,0.28459162,3.84063276,4.41884134,0.84397488,0.14709495,601.235802
346,0.38920568,4.89638693,1.18111811,0.45197074,0.24374285,701.933991
347,0.19083817,4.59582585,20.1016894,2.19012168,0.12478001,330.765246
348,0.43852627,6.03896179,21.1726498,2.17724928,0.07836299,368.807905
349,0.24949148,5.43891029,1.86882739,1.19505095,0.23041904,1045.24033
350,0.20334755,4.03050128,25.0344378,0.99899508,0.01927723,354.162112
351,0.40687439,4.00454073,19.4284359,0.83447348,0.02859989,502.009253
352,0.38012008,5.08868442,7.69133596,0.48216063,0.03903652,356.419476
353,0.3137356,4.68206628,28.9589099,1.93691616,0.1164657,355.798063
354,0.29130654,6.01430364,16.7746774,1.75967341,0.06312331,350.530358
355,0.26987102,5.60040038,5.4073133,1.13764716,0.07512384,1580.30875
356,0.37738182,3.96019777,46.2455161,0.75812205,0.02588042,113.969228
357,0.32268441,3.91739537,17.7770488,0.68319718,0.04128351,28.3554822
358,0.32781301,4.76021971,12.8742665,0.68624255,0.02113836,14.9874523
359,0.17835098,4.48126065,150.693499,2.85656622,0.02795642,33.1329609
360,0.28602471,6.03630296,48.0079824,2.03589376,0.02138833,59.1555275
361,0.23221255,5.68263192,37.9481167,1.17840321,0.01277903,35.1645566
362,0.32642425,3.92358309,15.3700081,0.89051335,0.06067234,3515.60519
363,0.37791815,3.94162407,6.29586141,0.84597498,0.11483905,3916.06973
364,0.43017394,4.77373429,8.31748907,0.457498,0.04558621,926.985276
365,0.25490559,4.53758517,10.8315451,1.77974044,0.32094212,2304.19988
366,0.39666515,6.09197469,10.775789,1.85775789,0.06299156,1529.48707
367,0.3241002,5.44392719,11.0559155,1.04936904,0.02862606,4226.10966
368,0.27295586,4.09407142,12.9682297,0.84604456,0.05329857,2743.57668
369,0.38886903,3.86130948,8.26852506,0.78969286,0.11617612,1954.43709
370,0.39251548,4.76108844,7.28635594,0.49433394,0.03750849,1835.70146
371,0.22290557,4.60149024,19.7130394,2.1318589,0.18378513,318.803072
372,0.4954896,6.26529986,27.7640158,1.94351993,0.06222764,383.237569
373,0.45000656,5.57186909,6.31937035,1.06592326,0.08452653,1624.67891
