"","max_fitness"
"1",8.70649614548954
"2",8.09433053403953
"3",8.50576830473016
"4",7.78690868041722
"5",8.34421495196485
"6",7.01515239273867
"7",8.27213034238383
"8",8.59297327732861
"9",8.49799162896672
"10",8.45742376995958
"11",8.69587254460991
"12",8.33595188134962
"13",8.6464883040489
"14",7.56833563809659
"15",8.50300420224131
"16",8.70127809839529
"17",8.20671890513678
"18",8.06928448497225
"19",8.48594195870762
"20",8.70260565734071
"21",8.14232293092135
"22",8.07240627523494
"23",8.63518456475236
"24",8.35163520488447
"25",8.38268539864828
"26",8.64885559233652
"27",8.68619585381562
"28",8.0816491835089
"29",8.61463269999212
"30",8.49851470393499
"31",7.81294315711274
"32",7.42320372319934
"33",8.70323307953284
"34",5.95117187439257
"35",8.69871761466018
"36",8.4408446705319
"37",7.16157910629959
"38",8.7038865582058
"39",8.66530824922453
"40",8.51002295879893
"41",8.49938398749888
"42",8.46816003347089
"43",8.37348144099296
"44",8.01466363132424
"45",8.2905795953468
"46",8.64368730962037
"47",8.49222031244798
"48",8.62757140268486
"49",8.65756417602402
"50",8.04979173116036
"51",8.67802985190395
"52",8.29943861743289
"53",7.02087552185986
"54",8.30554682812803
"55",8.60661637373208
"56",8.70190398009542
"57",8.45694678794585
"58",8.51838340222413
"59",8.32394444163442
"60",8.43731986651273
"61",8.70684336859886
"62",8.10740078267145
"63",7.639197539563
"64",7.04065170067699
"65",8.50225923227818
"66",8.65595131186711
"67",8.49956049342602
"68",8.65197317371548
"69",8.69257490011203
"70",7.59934258820945
"71",7.91716617625108
"72",8.39037384657663
"73",8.45695194566529
"74",8.6976224734531
"75",8.56865419631743
"76",8.55125049017641
"77",8.69402089729627
"78",8.48471278729411
"79",8.65451515958999
"80",8.66012415779009
"81",8.704800168748
"82",8.54501614864959
"83",8.54014251358115
"84",6.44428436272307
"85",7.47846449341621
"86",7.20568078153708
"87",8.35550861918001
"88",8.51347670989559
"89",8.68488371472738
"90",8.0632788771931
"91",8.23491578371059
"92",8.08505141096367
"93",8.04069745314293
"94",8.60557376536464
"95",6.28481101102725
"96",7.48205783514131
"97",8.17440403693615
"98",8.58483352250192
"99",7.75008724283983
"100",8.50716189747385
"101",7.74393686331194
"102",8.49984747778913
"103",5.50489346420117
"104",8.49799914849936
"105",8.63279123969431
"106",6.2340165384681
"107",8.57588189217066
"108",8.706248000311
"109",8.52416197224199
"110",8.57382327872499
"111",7.3646187146138
"112",8.4991826125465
"113",7.63676230328272
"114",8.55614139667596
"115",6.70687968269035
"116",8.16301072938288
"117",8.58202132749991
"118",8.27053074535477
"119",7.85862884589936
"120",8.68493671844886
"121",8.58958222851182
"122",8.69261362389781
"123",8.53828766154639
"124",8.49908903645928
"125",7.90707579460716
"126",7.99032714614341
"127",6.12321250348614
"128",7.0732002689487
"129",8.53796316655588
"130",7.58681837822555
"131",7.00897691737364
"132",8.65759087833923
"133",8.41278226184895
"134",8.70326305301706
"135",8.51894336241963
"136",8.58151679973085
"137",8.24490426950763
"138",7.83773891392244
"139",8.70137612586913
"140",8.50074342337664
"141",8.7044716937598
"142",8.69812335985678
"143",8.58223597312374
"144",7.97427228288605
"145",8.47593551102121
"146",8.6549654585626
"147",7.9640116404884
"148",8.51647426876709
"149",8.55258551748831
"150",8.33065848255802
"151",8.53473323390655
"152",8.54988760032191
"153",7.56812371476774
"154",8.4307806053262
"155",8.70690369043034
"156",6.92259452178882
"157",7.6723873280707
"158",8.59333235782533
"159",7.76024257200925
"160",8.18448920998614
"161",8.51577123361237
"162",8.6844606256123
"163",8.49896174647252
"164",7.69413194299179
"165",8.5048896520181
"166",7.24893999502798
"167",8.50024655531904
"168",6.98948549743487
"169",7.97582696056032
"170",8.64065603785565
"171",8.69809889361066
"172",8.61148535529793
"173",8.58122219946515
"174",8.58574763526877
"175",8.64956537117408
"176",7.39033337602672
"177",8.70584463830723
"178",7.89833540438456
"179",7.89013392403171
"180",8.68446622331263
"181",8.5571927364596
"182",6.16292811299151
