V1,label
4.157612,Total sexual iRBC
1.565426,Total sexual iRBC
3.181654,Total sexual iRBC
1.959184,Total sexual iRBC
4.044617,Total sexual iRBC
3.196397,Total sexual iRBC
1.803438,Total sexual iRBC
3.684656,Total sexual iRBC
4.084679,Total sexual iRBC
4.131557,Total sexual iRBC
2.597403,Total sexual iRBC
4.131744,Total sexual iRBC
4.085222,Total sexual iRBC
4.153319,Total sexual iRBC
2.971469,Total sexual iRBC
2.881605,Total sexual iRBC
3.99711,Total sexual iRBC
4.175081,Total sexual iRBC
3.957841,Total sexual iRBC
3.997902,Total sexual iRBC
1.983855,Total sexual iRBC
3.896998,Total sexual iRBC
3.610792,Total sexual iRBC
3.715746,Total sexual iRBC
4.186683,Total sexual iRBC
2.191625,Total sexual iRBC
0.2073837,Total sexual iRBC
2.190886,Total sexual iRBC
2.435378,Total sexual iRBC
4.126649,Total sexual iRBC
1.485277,Total sexual iRBC
4.173095,Total sexual iRBC
4.186716,Total sexual iRBC
2.739204,Total sexual iRBC
4.160622,Total sexual iRBC
2.13279,Total sexual iRBC
2.549584,Total sexual iRBC
3.443522,Total sexual iRBC
2.502185,Total sexual iRBC
4.18256,Total sexual iRBC
3.654408,Total sexual iRBC
4.050181,Total sexual iRBC
1.220232,Total sexual iRBC
4.183713,Total sexual iRBC
2.177369,Total sexual iRBC
2.424072,Total sexual iRBC
3.89597,Total sexual iRBC
2.453923,Total sexual iRBC
4.097419,Total sexual iRBC
3.693799,Total sexual iRBC
1.647301,Total sexual iRBC
2.850749,Total sexual iRBC
2.633285,Total sexual iRBC
4.135286,Total sexual iRBC
4.064365,Total sexual iRBC
2.889708,Total sexual iRBC
2.765969,Total sexual iRBC
2.272478,Total sexual iRBC
2.800396,Total sexual iRBC
4.12339,Total sexual iRBC
2.359959,Total sexual iRBC
4.01455,Total sexual iRBC
2.810109,Total sexual iRBC
4.167805,Total sexual iRBC
2.107607,Total sexual iRBC
2.239327,Total sexual iRBC
3.844247,Total sexual iRBC
3.773607,Total sexual iRBC
2.298831,Total sexual iRBC
3.656992,Total sexual iRBC
3.269826,Total sexual iRBC
2.396023,Total sexual iRBC
4.188467,Total sexual iRBC
1.787723,Total sexual iRBC
2.840542,Total sexual iRBC
3.808235,Total sexual iRBC
2.36929,Total sexual iRBC
2.68755,Total sexual iRBC
3.053769,Total sexual iRBC
4.149318,Total sexual iRBC
1.353158,Total sexual iRBC
2.125627,Total sexual iRBC
2.485603,Total sexual iRBC
2.198785,Total sexual iRBC
2.854383,Total sexual iRBC
3.41232,Total sexual iRBC
2.789278,Total sexual iRBC
4.10939,Total sexual iRBC
3.925749,Total sexual iRBC
2.709134,Total sexual iRBC
4.088395,Total sexual iRBC
2.222904,Total sexual iRBC
2.733815,Total sexual iRBC
4.164028,Total sexual iRBC
2.188161,Total sexual iRBC
2.298001,Total sexual iRBC
2.622685,Total sexual iRBC
3.22619,Total sexual iRBC
1.394202,Total sexual iRBC
3.009592,Total sexual iRBC
3.828596,Total sexual iRBC
4.169848,Total sexual iRBC
4.174184,Total sexual iRBC
3.566054,Total sexual iRBC
3.847136,Total sexual iRBC
3.254878,Total sexual iRBC
3.790962,Total sexual iRBC
3.798967,Total sexual iRBC
1.972439,Total sexual iRBC
1.328905,Total sexual iRBC
4.135312,Total sexual iRBC
2.950915,Total sexual iRBC
3.421214,Total sexual iRBC
2.981264,Total sexual iRBC
4.179444,Total sexual iRBC
2.238175,Total sexual iRBC
3.084141,Total sexual iRBC
3.93118,Total sexual iRBC
3.867287,Total sexual iRBC
2.20598,Total sexual iRBC
1.700525,Total sexual iRBC
4.183274,Total sexual iRBC
4.181012,Total sexual iRBC
3.923796,Total sexual iRBC
3.31893,Total sexual iRBC
2.123863,Total sexual iRBC
2.981284,Total sexual iRBC
4.158442,Total sexual iRBC
2.321781,Total sexual iRBC
4.149278,Total sexual iRBC
3.372297,Total sexual iRBC
2.90627,Total sexual iRBC
1.393539,Total sexual iRBC
3.469955,Total sexual iRBC
2.158762,Total sexual iRBC
2.529485,Total sexual iRBC
4.137171,Total sexual iRBC
0.8795438,Total sexual iRBC
2.407573,Total sexual iRBC
4.185756,Total sexual iRBC
3.798373,Total sexual iRBC
4.161017,Total sexual iRBC
2.239682,Total sexual iRBC
4.166246,Total sexual iRBC
3.006992,Total sexual iRBC
2.267238,Total sexual iRBC
4.16963,Total sexual iRBC
4.187567,Total sexual iRBC
2.88224,Total sexual iRBC
3.860164,Total sexual iRBC
3.312055,Total sexual iRBC
1.158008,Total sexual iRBC
4.075883,Total sexual iRBC
4.076556,Total sexual iRBC
4.012194,Total sexual iRBC
1.069891,Total sexual iRBC
1.528105,Total sexual iRBC
2.894755,Total sexual iRBC
3.507827,Total sexual iRBC
4.071425,Total sexual iRBC
3.925076,Total sexual iRBC
3.656402,Total sexual iRBC
3.294736,Total sexual iRBC
2.738847,Total sexual iRBC
4.028996,Total sexual iRBC
2.535796,Total sexual iRBC
2.122428,Total sexual iRBC
3.209711,Total sexual iRBC
1.077754,Total sexual iRBC
4.049848,Total sexual iRBC
4.086205,Total sexual iRBC
4.134924,Total sexual iRBC
3.995257,Total sexual iRBC
3.295553,Total sexual iRBC
2.766073,Total sexual iRBC
2.473104,Total sexual iRBC
4.172929,Total sexual iRBC
3.724999,Total sexual iRBC
4.151876,Total sexual iRBC
2.528875,Total sexual iRBC
1.993826,Total sexual iRBC
3.771696,Total sexual iRBC
4.167289,Total sexual iRBC
3.029229,Total sexual iRBC
4.141957,Total sexual iRBC
4.188455,Total sexual iRBC
1.918711,Total sexual iRBC
3.973277,Total sexual iRBC
3.820304,Total sexual iRBC
4.173133,Total sexual iRBC
2.744383,Total sexual iRBC
4.154146,Total sexual iRBC
3.952622,Total sexual iRBC
4.109657,Total sexual iRBC
2.898327,Total sexual iRBC
3.912561,Total sexual iRBC
1.036209,Total sexual iRBC
2.666458,Total sexual iRBC
2.939098,Total sexual iRBC
1.4307,Total sexual iRBC
2.022707,Total sexual iRBC
3.274811,Total sexual iRBC
2.930317,Total sexual iRBC
3.917541,Total sexual iRBC
2.204317,Total sexual iRBC
3.841569,Total sexual iRBC
1.560443,Total sexual iRBC
