time	parameter_1	parameter_2	parameter_3	parameter_4	parameter_5	parameter_6	parameter_7	parameter_8	parameter_9	objective_function	worker
2022-06-22 18:42:55	-8.66787723801099	-292.742433957756	468.998512020335	367.238942999393	-67.1429364010692	394.114436814561	-160.417129751295	-27.0091845653951	40.1901443488896	-2.40436599388059e-07	-1
2022-06-22 18:42:55	-1.41666671563871	210.234273923561	-390.552589902654	228.279701201245	50.1021894626319	-231.991815613583	-46.8800854869187	-79.9393102992326	-36.3565998151898	-2.45038301744562e-07	-1
2022-06-22 18:42:55	-2.99716949928552	-318.324517458677	-248.889548471197	441.657326649874	-18.6987805180252	58.4419292863458	187.856255564839	-74.4991394691169	23.9273338578641	-2.50205760962497e-08	-1
2022-06-22 18:42:55	-8.19951429893263	-16.0000012256205	-378.884793957695	113.729501608759	62.329740030691	103.232160210609	-81.9284275639802	59.734549978748	-25.0691223889589	-2.40436599388059e-07	-1
2022-06-22 18:46:34	-0.649505494903038	68.3382072822976	-334.621760048672	184.789541344487	91.6185992416409	-24.8782459701832	-64.9732179840322	-87.1885990730632	-85.8578811533531	-2.40436481937387e-07	0
2022-06-22 18:46:52	-1.52174080970243	168.491317885555	-443.571103709179	387.893855314652	9.53417391132992	-415.723301981898	440.748489294371	-80.398038341153	-17.7076130200634	-2.50205760962497e-08	0
2022-06-22 18:48:17	-1.41666671563871	491.301947868037	-441.088309461201	228.279701201245	54.0700298665699	-194.058189108454	93.1807630234395	-79.9393102992326	-36.3565998151898	-2.50205760962497e-08	0
2022-06-22 18:49:41	-3.57587581866005	317.496580929489	-155.308713002148	354.098441713411	59.3345444912649	-294.809574344532	14.7314866648634	-75.1757806582416	-58.3910066819742	-2.50205760962497e-08	0
2022-06-22 18:51:05	-0.509775524875573	210.234273923561	-390.552589902654	-75.3631017076714	94.1011488135416	54.8817888773254	206.633538790024	-91.4601069306394	-36.3565998151898	-2.50205760962497e-08	0
2022-06-22 18:52:30	-3.90567884382013	372.516296142274	-417.142701965173	431.551064933423	64.6079654920802	-410.982286451958	30.2659863358426	-77.6100224671402	15.8136312786335	-2.50205760962497e-08	0
2022-06-22 18:53:55	-1.41666671563871	260.006176639233	-393.330049631318	49.5051277667303	76.29112659662	-237.193431057194	10.6110390755253	-83.236146419762	-93.2697566333607	-2.50205760962497e-08	0
2022-06-22 18:55:23	0.446208764530509	210.234273923561	-390.552589902654	228.279701201245	79.9777514987954	-399.787894943533	-264.387269291417	-56.1110334545225	-40.0921294657606	-2.40436599388059e-07	0
2022-06-22 18:55:42	-1.41666671563871	210.234273923561	-390.552589902654	228.279701201245	59.373834111723	-280.986256356787	-19.4056312890315	-94.4866010340203	-56.3582297619049	-2.50205760962497e-08	0
2022-06-22 18:57:10	-1.41666671563871	-230.649266856675	-171.91967805245	134.7434188338	50.1021894626319	-231.991815613583	-60.4228364705724	-79.9393102992326	-36.3565998151898	-2.40436476052929e-07	0
2022-06-22 18:57:30	-3.81227793117394	279.876910293927	-390.552589902654	228.279701201245	22.3451913051577	-410.653981476381	-46.8800854869187	-76.9353365333085	-36.3565998151898	-2.40523108698192e-07	0
2022-06-22 18:57:49	0.714636198381367	102.137963750925	-284.758485217429	-88.9433358059405	50.1021894626319	-231.991815613583	205.682429685664	-77.2200847404922	-36.3565998151898	-2.50205760962497e-08	0
2022-06-22 18:59:16	0.42777194600275	210.234273923561	-266.869770108141	369.225334135824	50.1021894626319	-348.426994415187	-46.8800854869187	-64.041822150778	-36.3565998151898	-2.50205760962497e-08	0
2022-06-22 19:00:44	-2.73870087843784	-241.841394326085	-297.81257506129	228.279701201245	50.1021894626319	-487.259435843362	-46.8800854869187	-79.9393102992326	-36.3565998151898	-2.40465806976515e-07	0
