time	parameter_1	parameter_2	parameter_3	parameter_4	parameter_5	parameter_6	parameter_7	parameter_8	parameter_9	objective_function	worker
2022-06-22 08:33:05	-1.83635818469338	-374.740985920653	407.247402239591	-489.54118671827	50.743489805609	-240.331699838862	486.081746872514	-61.7952664848417	-62.5816457904875	0	-1
2022-06-22 08:33:05	-6.25184660381638	-236.284987535328	150.448438478634	312.666578451172	-43.1432606186718	-24.8496916610748	425.53475825116	-52.2384501062334	-23.8331994507462	0	-1
2022-06-22 08:33:05	-9.12469730642624	-257.991077844054	175.345360999927	285.940730245784	-8.3517893217504	496.695469832048	334.217965835705	-16.3007442839444	13.0576206836849	0	-1
2022-06-22 08:33:05	0.273980365134776	-200.172615237534	18.3824189007282	-107.546056853607	41.882639657706	328.908148454502	-262.180607998744	-36.4819278474897	65.6299189198762	0	-1
2022-06-22 08:33:09	-1.63455112510039	-471.640328387564	484.555489598913	-361.231295642813	7.95472745490665	-120.837296305676	463.101266659615	-66.7577018061914	-60.9834980174291	0	0
2022-06-22 08:33:10	-0.820432180062928	-263.896634592165	258.248705311951	-280.637716369306	35.5426219915974	-163.801651212263	494.519463600319	-90.1061001268689	-23.1215496661958	0	0
2022-06-22 08:33:10	-1.43920691086452	-456.481977316047	415.961907753345	-268.687917951696	53.2052754923311	-479.953852469522	484.891649256733	-45.6384530205677	-53.2115473136348	0	0
2022-06-22 08:33:11	-1.90261015958864	-314.607857144999	345.376801063687	-482.680443476263	67.4992111136251	-349.243762134646	246.064553501973	-61.7952664848417	-67.4277927676292	0	0
2022-06-22 08:33:11	-4.89913613548813	-377.62062353925	427.427302149604	-314.13516171016	-7.64769686994563	-240.331699838862	486.081746872514	-92.2898420324581	-52.7255962760293	0	0
2022-06-22 08:33:12	0.00212859614504501	-369.758792996261	460.179020017725	-457.67998803448	50.743489805609	-145.871908586886	3.1259490311877	-20.329816360582	-47.0579737817212	0	0
2022-06-22 08:33:12	-1.83635818469338	-350.446844843418	267.70250607327	-375.021050379188	50.743489805609	-213.089261196229	339.722422842225	19.0273883441791	-93.0497708497833	0	0
2022-06-22 08:33:12	-2.7729932796232	143.156920401575	407.247402239591	-419.321329492864	20.5853722104982	-423.140434635474	236.332346842692	-61.7952664848417	-77.196121429481	0	0
2022-06-22 08:33:13	0.879317176995284	-374.740985920653	407.247402239591	-489.54118671827	5.47797137479886	-193.789876183268	486.081746872514	-61.7952664848417	-74.7820889348316	0	0
2022-06-22 08:33:13	0.304457770725551	-159.541249396055	279.450511945037	-410.119272783421	50.743489805609	-240.331699838862	232.825959642827	-31.504724193516	-62.5816457904875	0	0
2022-06-22 08:33:13	-4.04729382129468	-374.740985920653	321.812050339343	-367.160723976922	91.3698856557434	-321.549825438471	155.763938257184	-53.7163003353801	-57.633934873954	0	0
2022-06-22 08:33:14	-2.60168394892952	-374.740985920653	136.687606518432	-489.54118671827	56.5445002959981	-240.331699838862	251.963437493657	-61.7952664848417	-88.4016132723616	0	0
2022-06-22 08:33:14	-2.99842358658586	-263.728415293973	403.137742837456	-469.477798323319	50.743489805609	-240.331699838862	486.081746872514	-61.7952664848417	-83.5685836871611	0	0
2022-06-22 08:33:14	0.95352088752964	-259.481428435942	413.468897384247	-409.024740050023	45.2066447661636	-305.99033259533	486.081746872514	-91.0626080914769	-62.5816457904875	0	0
2022-06-22 08:33:15	-1.83635818469338	-374.740985920653	499.352372421518	-420.896080697824	47.1296748748652	-437.953058039946	385.551644380143	-81.6373680409982	23.1657464085807	0	0
