time	parameter_1	parameter_2	parameter_3	parameter_4	parameter_5	parameter_6	parameter_7	parameter_8	parameter_9	objective_function	worker
2022-06-22 08:33:05	-0.343465687241405	-465.727888979018	376.28305121325	26.9158310256898	14.0463747084141	-50.8107449859381	-322.634543292224	-51.0857979301363	15.8639432862401	-2.01034021571279	-1
2022-06-22 08:33:05	-9.48326732870191	-190.349151613191	59.9483933765441	-272.501523606479	18.127129971981	-413.979734759778	-358.718909556046	35.1031795609742	-17.1814480796456	-1.56025089571481	-1
2022-06-22 08:33:05	-9.6428638456855	47.7776017505676	179.365239338949	-281.817674869671	-88.9581728260964	-253.053781809285	205.432066461071	25.4117786418647	-59.2320310417563	0	-1
2022-06-22 08:33:05	-3.20875456859358	-15.5401311349124	-32.7161415480077	-300.329347839579	-59.7852029372007	346.275748685002	144.23247706145	-28.5718770232052	10.2216960862279	0	-1
2022-06-22 08:35:20	-1.36040405678721	-392.507273071991	285.346408597231	131.917383917626	69.2510056598758	-424.638219168286	-64.1850213623077	-61.2726846858893	60.2240913631602	-2.83800894100315	0
2022-06-22 08:36:16	-2.15977097156698	-321.05227549826	358.010469806664	198.524338336625	71.4961747100744	-497.225202465188	-148.293901850254	-16.4573308580533	31.8546624837671	-2.91338479664404	0
2022-06-22 08:37:08	-2.15977097156698	-486.735544693525	402.505903593158	186.107252358238	71.4961747100744	-370.011921186977	-190.552595299702	30.3146268019572	75.832480350167	-2.49438632827192	0
2022-06-22 08:37:45	-2.5333636268745	-262.33965192113	358.010469806664	196.614864617143	71.61325447421	-91.2601685816958	-148.293901850254	-28.6044585688252	9.55075176669454	-0.00443990971228562	0
2022-06-22 08:38:04	-6.79358465327053	-295.472708790517	358.010469806664	286.247226913831	52.1340153769943	-339.172186611219	-0.55972894553085	-16.8942252329428	39.7336498759562	-2.87721605329515	0
2022-06-22 08:38:57	-2.40672856056684	-321.362933575423	201.401280551971	198.524338336625	-34.2670565681915	-403.683258979285	-207.98675430104	-16.4573308580533	30.3681471352232	-1.70004142865585	0
2022-06-22 08:39:25	-5.2465485386201	-390.239368214154	358.010469806664	198.524338336625	67.2354582623175	-310.405616425065	-131.499084476851	-35.0479672842015	31.8546624837671	-2.44691668595083	0
2022-06-22 08:40:04	-3.43680571241713	-190.9859315588	453.04077968574	154.055420583902	22.9786837146563	-497.225202465188	-453.840197951546	-31.3895668396292	19.5061532262457	-2.06295159790066	0
2022-06-22 08:40:35	-2.27052677441571	-344.659128838616	232.562906739738	198.524338336625	32.3610850470307	-497.225202465188	-148.293901850254	-35.4443099398281	36.5147925572007	-2.08304986977031	0
2022-06-22 08:41:04	-2.36929460807284	-321.05227549826	358.010469806664	15.4263725976233	70.3968702982706	-497.225202465188	-148.293901850254	3.16150852976915	14.4827747676802	-2.09117248914609	0
2022-06-22 08:41:32	-4.87076679607552	-359.473319110869	284.86250238597	198.524338336625	33.0236110003458	-489.031493743676	349.880958713927	-16.4573308580533	-23.2211744660861	-1.60230301149107	0
2022-06-22 08:42:17	-3.79253274915423	-89.4658715022026	358.010469806664	461.930566169107	57.1371617179598	-497.225202465188	-148.293901850254	-56.8158219883846	-39.0736291200295	-0.00450129135686151	0
2022-06-22 08:42:44	-2.23423397865408	173.475089504234	481.315368718772	146.435190908506	71.4961747100744	-396.50180334998	-183.948517444569	-16.4573308580533	23.2512336800534	-0.00441661425658461	0
2022-06-22 08:43:05	-2.15977097156698	-460.501739794509	392.197553540905	487.068566063267	97.3198758804168	-497.225202465188	-148.293901850254	60.3626749936199	31.8546624837671	-0.00447389985330228	0
2022-06-22 08:43:29	-0.540200745375963	-158.240305643159	358.010469806664	68.1707776668062	71.4961747100744	-497.225202465188	-148.293901850254	-20.3471711185592	31.8546624837671	-2.45001235741378	0
2022-06-22 08:44:02	-1.71299795356565	-321.05227549826	358.010469806664	-144.251414978743	70.6183705931933	-252.088743874031	-155.38244955383	-16.4573308580533	26.4739624314603	-1.70342790884605	0
2022-06-22 08:44:28	-3.76273437966896	-230.817070621298	376.590949177639	127.27888061429	71.4961747100744	-497.225202465188	-148.293901850254	-16.4573308580533	31.8546624837671	-2.50492193950451	0
2022-06-22 08:44:59	-6.19471057540909	-486.550352406801	358.010469806664	464.872212354366	60.6642096802208	-335.512509933839	-53.5171239389602	44.8692739342003	77.3000968470475	-0.00447805781000018	0
2022-06-22 08:45:24	0.61579972103087	-321.05227549826	367.994647588807	85.1822282628753	20.3267958738752	-497.225202465188	-183.474131691772	-16.4573308580533	31.8546624837671	-1.85539627861175	0
2022-06-22 08:45:55	-2.237291401077	-321.05227549826	367.72264953562	427.356017579898	71.4961747100744	-497.225202465188	-109.879604840771	-57.148566392093	31.8546624837671	-0.00723464245278704	0
2022-06-22 08:46:33	-3.45214079500098	-321.05227549826	358.010469806664	327.129984702679	71.4961747100744	-382.709494608863	-148.293901850254	-16.4573308580533	31.8546624837671	-0.00448466947110158	0
2022-06-22 08:46:59	-2.07687756602823	-438.543520000073	458.979920633714	198.524338336625	71.4961747100744	-343.03598754258	-148.293901850254	-16.4573308580533	31.8546624837671	-2.84228874467306	0
2022-06-22 08:47:55	-3.67244995684719	-321.05227549826	358.010469806664	198.524338336625	71.2726767026754	-497.225202465188	72.0840068479502	-16.4573308580533	-36.4879933954286	-1.67776933795132	0
2022-06-22 08:48:43	-1.86373477528875	-198.659476084142	358.010469806664	384.55798304911	14.9582520237943	-497.225202465188	-148.293901850254	-16.4573308580533	91.899529871824	-2.87273390342023	0
