time	parameter_1	parameter_2	parameter_3	parameter_4	parameter_5	parameter_6	parameter_7	parameter_8	parameter_9	objective_function	worker
2022-06-22 18:42:55	-7.66668897122145	478.50120253861	-135.719648795202	204.662198899314	-13.1920650601387	-106.634513475001	40.0038207881153	11.3701132126153	-28.7795828655362	-0.0047894381841595	-1
2022-06-22 18:42:55	-3.37127506919205	-218.634857330471	-322.766877477989	324.883829103783	-18.0296530481428	-238.680568290874	-57.5306341052055	-76.8242509104311	-44.3220652639866	0	-1
2022-06-22 18:42:55	-5.58857705816627	220.499339513481	2.10154638625681	469.840968726203	8.56201662681997	-113.469601143152	71.1078536696732	89.5162413828075	-9.462954942137	-0.00445033409678831	-1
2022-06-22 18:42:55	-5.55946880043484	-85.0881296209991	473.218429833651	-396.686535095796	75.4932428244501	-282.502230256796	-206.825319444761	-21.5211318805814	4.15887339040637	0	-1
2022-06-22 18:45:45	-8.82021941455621	374.281335563647	-413.334101449437	356.829990149145	-44.343271313496	96.4836101519567	209.265090092668	56.8011577558948	-18.9511410904516	-0.00467015364163482	0
2022-06-22 18:46:13	-1.72577292368036	246.614523789662	-393.687721575276	196.841783734118	-9.85284756852736	99.5423797971184	-124.874460771515	3.02450797764201	22.6433336006362	-0.00454036929740588	0
2022-06-22 18:46:41	-4.83026303847324	470.136248976784	-135.719648795202	334.561593072442	-27.9874718121458	182.105521679463	40.0038207881153	37.4846604243012	-12.3133806564238	-0.00462234703517373	0
2022-06-22 18:47:10	-9.87624520823051	478.50120253861	-460.20859890866	454.575495719488	3.79229932827752	69.7635415901348	-121.974704170962	11.3701132126153	-35.9396425008467	-0.00454435571606985	0
2022-06-22 18:47:38	-7.66668897122145	418.8216622378	-151.73709433508	204.662198899314	-13.1920650601387	131.216383442178	116.401822880388	61.8274200399569	-36.1501647916269	-0.00464988738666554	0
2022-06-22 18:48:05	-9.40283371952453	222.751888045231	-368.797562427919	276.210628307399	-89.6446962461589	-111.440797516164	306.905342788662	11.3701132126153	-11.6582304512598	0	0
2022-06-22 18:48:38	-7.66668897122145	416.333667160505	-135.719648795202	204.662198899314	-63.0741523556341	58.5754762387605	44.1335585116345	66.8983746611792	22.2082551477336	-0.00480276734541097	0
2022-06-22 18:49:06	-7.66668897122145	478.50120253861	-315.610478329497	401.62244744571	7.23934766186585	-176.091517919061	133.428832319278	11.3701132126153	-28.7795828655362	-0.00466326972138678	0
2022-06-22 18:49:34	-7.79275801282805	478.50120253861	-103.15244284956	144.046390701876	-10.6358091295552	253.346193852198	-200.856260784159	50.368376298869	16.0640948275263	-0.00456306890659076	0
2022-06-22 18:50:02	-8.11041504687029	497.2174524824	-437.011014250832	204.662198899314	33.5403000554856	-106.634513475001	40.0038207881153	-1.01041244075441	-28.7795828655362	-0.00463437944743848	0
2022-06-22 18:50:30	-7.25029180003219	478.50120253861	-38.6428091763764	79.1146152962216	-13.1920650601387	-184.944603251043	72.7718753246371	11.3701132126153	40.3653115497758	-0.00484811243247614	0
2022-06-22 18:50:57	-7.3078895105306	483.931741459071	127.806844364434	204.662198899314	41.1562982700201	251.353917494979	38.5923497653677	-21.4662700303679	2.18263233990871	-0.00450274853702142	0
2022-06-22 18:51:24	-9.69749703106103	88.6168599392396	-212.382128890719	289.030237240158	-65.9158252485676	80.432252426246	167.978265058967	11.3701132126153	-25.5085279710761	-0.362415334289056	0
2022-06-22 18:52:20	-4.92287543448045	478.50120253861	-135.719648795202	76.8178658999864	-37.0714569680943	47.3370494116707	85.8867938878709	43.5415905959677	-34.6472583679531	-0.00488958384616726	0
