time	parameter_1	parameter_2	parameter_3	parameter_4	parameter_5	parameter_6	parameter_7	parameter_8	parameter_9	objective_function	worker
2022-06-22 18:42:55	-7.85316389193758	-87.8578445408493	-140.558156650513	-385.787204606459	52.4395868182182	363.060872070491	109.187948750332	63.2581073325127	-43.9829858951271	-0.00439204162155048	-1
2022-06-22 18:42:55	0.457511453423649	-262.291315710172	-62.4993913806975	403.15497899428	43.0159321520478	260.527467355132	-235.402249265462	-32.0261111482978	39.4561022985727	-0.00439204210805875	-1
2022-06-22 18:42:55	-2.76737376442179	-90.0791781023145	420.871128328145	-141.918268054724	27.5290661025792	34.243133617565	78.1011953949928	24.4514331221581	15.6734372023493	-0.00439204124834101	-1
2022-06-22 18:42:55	-8.0265695170965	453.140057390556	435.613123700023	41.8136939406395	38.4131114464253	-6.86654727905989	422.519816085696	93.3788225520402	7.30692837387323	0	-1
2022-06-22 18:45:11	-1.20477369716692	17.5285083363762	-370.563315260357	205.797674988186	-14.2222497141322	367.980241893991	-359.545296742483	-96.2922562625578	28.3285941659067	-0.923304109009887	0
2022-06-22 18:45:46	0.803534462496778	-205.227230972337	2.26603079848464	428.839775852677	71.1077029118021	351.312896713631	-307.781783465085	8.80462650742707	33.5112039097879	-0.00439204160707963	0
2022-06-22 18:46:07	0.560557256461901	-467.679635878977	-8.44189034077385	249.052314956848	33.4576256686569	111.62268107509	-210.006328146032	-12.6568035639323	94.6704180951422	-0.00439204082045718	0
2022-06-22 18:46:27	-1.4474579795163	-211.954198647573	-14.4434398634666	410.914569073464	24.9829800744122	-162.258933563409	-209.360438388912	0.650408632083852	-23.7513090951184	-0.00439204175319132	0
2022-06-22 18:46:47	-0.488436949242836	-451.293671342644	405.30844519703	467.398791282888	9.29026404887362	37.7147779232374	-41.6727386763118	-32.0261111482978	23.3418626612576	-0.00439204172513008	0
2022-06-22 18:47:07	-2.87025434962105	-356.29112446719	181.751930231693	243.965721539329	-74.263708857255	326.135331219159	-40.1157147469709	-96.0356226834879	39.4561022985727	-0.00439204088900025	0
2022-06-22 18:47:28	0.952028564805227	-262.291315710172	-62.4993913806975	176.50953245283	-16.6344542992719	199.103826229963	-229.836257647569	-61.235849912306	39.4561022985727	-0.00439204395425797	0
2022-06-22 18:47:48	0.794970002187668	-231.795352001232	188.518501454923	57.1738990369679	78.3908459803502	342.284992199002	-489.53389101588	-74.4466931512382	72.9462757045793	-0.0043920381294154	0
2022-06-22 18:48:09	-1.77220921207672	-237.602105443914	-322.736746418506	443.934893911928	21.6511141557483	300.659438658018	-235.402249265462	-94.4419807676093	39.4561022985727	-0.00439204138692096	0
2022-06-22 18:48:29	0.994637666202907	-235.888398336362	17.8714659762673	403.15497899428	-36.7173595868391	260.527467355132	-241.960397657565	-43.3506141146506	-64.1441303588737	-0.00439204142157328	0
2022-06-22 18:48:49	-0.395370711866834	-220.224557770053	-62.4993913806975	499.167193201542	65.8563033588462	260.527467355132	-232.421175502322	-27.6863582290597	69.695127498165	-0.00439204066604432	0
2022-06-22 18:49:10	-2.14020087154373	-262.291315710172	-62.4993913806975	321.991632525075	75.740080892665	408.168446247942	-235.402249265462	-64.364752932314	30.7780635499134	-0.00439204069488488	0
