time	parameter_1	parameter_2	parameter_3	parameter_4	parameter_5	parameter_6	parameter_7	parameter_8	parameter_9	objective_function	worker
2022-06-22 18:42:55	-8.19484927481972	432.342271320522	-199.752415530384	476.838247384876	-75.7324343547225	223.444010131061	435.420132242143	84.7168410662562	-2.86103547550738	-2.40436599388059e-07	-1
2022-06-22 18:42:55	-8.52425232785754	-138.479414395988	-114.672672236338	-60.1444353815168	-18.041187338531	360.757057089359	447.250954341143	52.5855894666165	-52.9858621768653	-2.50205760962497e-08	-1
2022-06-22 18:42:55	-6.95239902404137	-449.497827561572	274.980072397739	-281.736496370286	31.2602139078081	-400.129894260317	-451.870487304404	-90.0715165771544	60.2519393432885	-2.50205760962497e-08	-1
2022-06-22 18:42:55	0.331017786869779	-497.843918390572	356.909669470042	-78.4080089069903	-33.4916514810175	-26.2741311453283	-242.018960416317	-83.4946129471064	-3.38949747383595	-2.50205760962497e-08	-1
2022-06-22 18:47:59	-6.44680759468559	499.977978163408	-180.784388723339	459.755947388327	-32.7273859908402	201.564895433837	462.204479593886	71.3485344721719	18.3393587258145	-2.40436599388059e-07	0
2022-06-22 18:48:18	-9.92685756146492	410.549971118797	-471.891949614926	282.63876891876	-70.9710778040833	491.345496412737	351.510075114234	93.4067889591435	-14.7781030846652	-2.40436599388059e-07	0
2022-06-22 18:48:37	-8.42083955122648	365.966362337165	-349.937058534914	271.014131155396	-38.9164482435243	287.200307078112	340.891981744968	91.1668950878346	23.7802655789298	-2.40436599388059e-07	0
2022-06-22 18:48:55	-7.41418342976482	368.993119715652	-199.752415530384	399.719910984335	-88.8818081549758	314.570241251819	275.437389166424	31.4405421686603	-44.140336170187	-2.40436599388059e-07	0
2022-06-22 18:49:14	-6.26661345413049	367.157854812635	225.500849110465	345.435930588649	-24.4632510030388	341.005825837295	371.509246584888	86.1945021749757	-21.2709110392245	-2.40436599388059e-07	0
2022-06-22 18:49:32	-5.30017833458544	143.197306567339	-199.752415530384	97.9925182964469	-61.9343421616935	24.7689896769195	91.7213464580435	73.0863303825904	40.9350752067332	-2.40488246583701e-07	0
2022-06-22 18:49:50	-8.90485436507522	444.872546928303	-201.559693339851	459.892028246446	-91.8249480520089	223.444010131061	241.860882249494	98.7636328410834	13.3132946756193	-2.40436599388059e-07	0
2022-06-22 18:50:09	-8.19484927481972	456.678290664614	-211.504787372712	291.543580274834	-58.4314089495582	249.008927431666	175.573626905436	70.3009118439847	-21.4062692012165	-2.40436599388059e-07	0
2022-06-22 18:50:28	-8.19484927481972	456.375853064489	-89.4417891589898	338.956327198009	-66.1870908098801	223.444010131061	298.666072578827	79.1709366684337	27.3474779696443	-2.40436599388059e-07	0
2022-06-22 18:50:47	-7.68596414809585	398.453501752478	-211.978794231372	386.769303094361	-81.2954944789429	223.444010131061	435.420132242143	14.0436447664362	-77.9148617824979	-2.40436477552152e-07	0
2022-06-22 18:51:06	-9.38134009580826	150.084438075897	-495.556456427062	476.838247384876	-94.7257330351142	186.605940001401	162.330992867108	84.7168410662562	-2.86103547550738	-2.40436599388059e-07	0
2022-06-22 18:51:24	-9.92653311973017	432.342271320522	-199.752415530384	476.838247384876	-60.9770991250859	386.82465273815	418.688242251474	84.7168410662562	25.1470653835249	-2.40436599388059e-07	0
2022-06-22 18:51:42	-9.86202164957941	334.388062785652	-448.067589262744	452.624852189894	-75.7324343547225	223.444010131061	435.420132242143	78.0300376014123	-29.105617507871	-2.40436599388059e-07	0
