"","mut_id","res_id","fitness_final","mut_var1_opt","mut_var2_opt","mut_var3_opt","mut_var4_opt","res_var1","res_var2","res_var3","res_var4","mut_cue","mut_log","res_cue","res_log","mut_label","res_label"
"31","G1+G2_log","G1+G2_none",0.813671508299232,13.5126152413775,-24.5751450395615,-3.90691381663806,-20.7360664544236,1,-21.911779,338.36246,-4999.99966,"G1+G2","log","G1+G2","none","G1+G2 log","G1+G2"
"32","G1+G2_log","I-i_log",0.157927340997869,1.76605416516092,-4.3108065781329,2.09651536133113,-5.23757818215173,381.7701,-528.2317,-324.5508,-403.8235,"G1+G2","log","I","log","G1+G2 log","I log"
"33","G1+G2_log","I-i_none",0.282791117307276,1.81259522484501,-4.18937358964705,1.72446192029056,-5.45990362429461,1.931059,-63.78682,1295.819775,-31.58044,"G1+G2","log","I","none","G1+G2 log","I"
"34","G1+G2_log","I1+I2_log",0.18912549400586,1.76735740988396,-4.42928030208006,2.04081774661833,-5.30161017642662,404.617,-529.2684,-365.0516,-417.0552,"G1+G2","log","I1+I2","log","G1+G2 log","I1+I2 log"
"35","G1+G2_log","I1+I2_none",0.962826331852764,10.5298896221597,-18.054445950154,-4.40946804953635,-14.8037112739363,0.9999999,-9.1650326,-71.7214007,4998.79439,"G1+G2","log","I1+I2","none","G1+G2 log","I1+I2"
"36","G1+G2_log","Ig-i_log",0.0209394677918815,1.77210802235373,-4.48207474166687,2.37236695742007,-5.6240082598183,2.189146,-5.450051,4.543525,-9.356682,"G1+G2","log","Ig","log","G1+G2 log","Ig log"
"37","G1+G2_log","Ig-i_none",0.718042069615011,9.54088876750026,-17.3300795264595,-2.60776955691574,-14.9631005483786,1.096857,-80.496897,1412.461014,3.463079,"G1+G2","log","Ig","none","G1+G2 log","Ig"
"38","G1+G2_log","Ig1+Ig2_none",0.925607655711382,13.2252671257055,-23.6477165782715,-5.70065370165612,-17.4231499413232,1,-32.831645,378.108931,-4999.999969,"G1+G2","log","Ig1+Ig2","none","G1+G2 log","Ig1+Ig2"
"39","G1+G2_log","R_log",0.153886763018815,1.9113200524728,-4.63789189570094,2.45284443649357,-6.8410770740699,-971.1975,1175.9801,931.5406,978.087,"G1+G2","log","R","log","G1+G2 log","R log"
"40","G1+G2_log","R_none",0.121895337426698,1.91177268575508,-4.5518441375604,2.16645622420465,-6.35475569821244,-88.36793,136.04925,65.44548,98.14261,"G1+G2","log","R","none","G1+G2 log","R"
"41","G1+G2_log","sum_log",0.099595721697737,1.7648399805622,-4.54582264047701,2.35199890027191,-5.43412951560346,435.1835,-565.3985,-395.7242,-446.595,"G1+G2","log","sum","log","G1+G2 log","sum log"
"42","G1+G2_log","sum_none",0.24121438629276,1.85202056700231,-4.46749891208696,2.00822531246918,-5.88281885867185,1.86014,-25.61573,257.60126,-2823.09564,"G1+G2","log","sum","none","G1+G2 log","sum"
"43","G1+G2_none","G-i_log",-0.635826395747257,1.1303347006266,-32.9469427319774,432.308223904335,-4997.62032589357,1.762225,-4.329505,2.548675,-6.726894,"G1+G2","none","G","log","G1+G2","G log"
"44","G1+G2_none","G-i_none",0.0792681355774947,1.11291535382682,-32.5651343957729,447.963499753713,-4997.3818709768,1.352967,-165.891572,61.230266,-7.374788,"G1+G2","none","G","none","G1+G2","G"
"45","G1+G2_none","G1+G2_log",0.00088887064112465,1.98110376393479,-21.9264183092442,338.361943502285,-4999.99967122924,12.106219,-21.043524,-5.010265,-16.928459,"G1+G2","none","G1+G2","log","G1+G2","G1+G2 log"
"46","G1+G2_none","I-i_log",-0.382821122254268,1.2100593909187,-64.6960650329062,1118.31039531027,-14748.3268909605,381.7701,-528.2317,-324.5508,-403.8235,"G1+G2","none","I","log","G1+G2","I log"
"47","G1+G2_none","I-i_none",-0.258934738555646,1.13034113289337,-34.7865279381166,473.174529381723,-4991.26769270651,1.931059,-63.78682,1295.819775,-31.58044,"G1+G2","none","I","none","G1+G2","I"
"48","G1+G2_none","I1+I2_log",-0.460349700019268,1.09168376343518,-37.450499529379,481.407709803724,-4995.0432380446,404.617,-529.2684,-365.0516,-417.0552,"G1+G2","none","I1+I2","log","G1+G2","I1+I2 log"
"49","G1+G2_none","I1+I2_none",0.586799235369036,1.31168089269339,-25.5007779859828,358.339187933737,-5000.00668237437,0.9999999,-9.1650326,-71.7214007,4998.79439,"G1+G2","none","I1+I2","none","G1+G2","I1+I2"
"50","G1+G2_none","Ig-i_log",-0.613718676678109,1.11379587345244,-34.6215576803687,450.97954084508,-4996.2375412365,2.189146,-5.450051,4.543525,-9.356682,"G1+G2","none","Ig","log","G1+G2","Ig log"
"51","G1+G2_none","Ig-i_none",0.209950473449663,1.31712576425674,-43.665772202172,485.355932457339,-4998.15453983159,1.096857,-80.496897,1412.461014,3.463079,"G1+G2","none","Ig","none","G1+G2","Ig"
"52","G1+G2_none","Ig1+Ig2_none",0.345846672659287,1.45174752442567,-46.7523040002217,502.871491512813,-5000.14959967109,1,-32.831645,378.108931,-4999.999969,"G1+G2","none","Ig1+Ig2","none","G1+G2","Ig1+Ig2"
"53","G1+G2_none","R_log",-0.441968432149952,1.20375114491668,-50.3490725629113,337.331108923053,-5000.02492441481,-971.1975,1175.9801,931.5406,978.087,"G1+G2","none","R","log","G1+G2","R log"
