"","max_fitness"
"1",9.49994991432614
"2",9.48811466573151
"3",9.51195750512718
"4",9.48451851677779
"5",9.49132835284273
"6",9.47552996412531
"7",9.49035155366333
"8",9.50585369841742
"9",9.51553074298331
"10",9.49300799856312
"11",9.50174404513707
"12",9.49121331158835
"13",9.49682250343571
"14",9.48201574971158
"15",9.51262459567885
"16",9.50131551974859
"17",9.48950555227703
"18",9.48781304861827
"19",9.49347221097894
"20",9.50118253375453
"21",9.48870096708285
"22",9.48785036621936
"23",9.4965064613848
"24",9.49143236094148
"25",9.491875479991
"26",9.50386751778216
"27",9.50231446369553
"28",9.48796177845042
"29",9.50507132735964
"30",9.51468909877812
"31",9.48481719137771
"32",9.48034519934527
"33",9.50111282919356
"34",9.46173660768453
"35",9.49899861031845
"36",9.4927470832536
"37",9.4772820391633
"38",9.49948614699207
"39",9.49741753179929
"40",9.51118543987391
"41",9.51816452118197
"42",9.4931802213939
"43",9.49174257899231
"44",9.48716240743809
"45",9.49059606674084
"46",9.49674182700449
"47",9.49357764563962
"48",9.5046193067068
"49",9.50354552527312
"50",9.4875795074448
"51",9.5027090214133
"52",9.49071488391614
"53",9.47559921788871
"54",9.49079747719436
"55",9.49579588842957
"56",9.49927006080358
"57",9.49300037344324
"58",9.49403009713832
"59",9.4910478108866
"60",9.49269216823728
"61",9.50042168714942
"62",9.48827337864296
"63",9.48282743814345
"64",9.47583742164059
"65",9.51284328678658
"66",9.49710864137681
"67",9.51831384427588
"68",9.49698542957793
"69",9.49859489859935
"70",9.48237153199787
"71",9.48602019377526
"72",9.49198733247738
"73",9.49300020854929
"74",9.50161910636463
"75",9.50683589712952
"76",9.49463573022452
"77",9.4986808366351
"78",9.49345191712243
"79",9.50365991338511
"80",9.50344830814704
"81",9.49960911837427
"82",9.50802561582238
"83",9.4944256581859
"84",9.46838865334051
"85",9.48098308086131
"86",9.47780389496782
"87",9.49148684916596
"88",9.51068739143178
"89",9.5023817595712
"90",9.48774106752275
"91",9.48986611423387
"92",9.4880028822729
"93",9.48747118611765
"94",9.49577204306351
"95",9.46629335469599
"96",9.48102459364714
"97",9.48909863015091
"98",9.5061656178177
"99",9.48409627487273
"100",9.52320071577435
"101",9.48402598591931
"102",9.49370733910379
"103",9.45518473471537
"104",9.51550394626414
"105",9.5044374374157
"106",9.46561533692642
"107",9.49512541230922
"108",9.4998800849164
"109",9.49413305920694
"110",9.49508336943887
"111",9.47966567266929
"112",9.51415834062647
"113",9.48279993847659
"114",9.49473019910554
"115",9.47173896673026
"116",9.48895669285902
"117",9.50627646410908
"118",9.49033028048122
"119",9.48534270764224
"120",9.50237902310112
"121",9.4954150163523
"122",9.50195461777801
"123",9.50844252327109
"124",9.51789813693845
"125",9.48590342354662
"126",9.48687489126972
"127",9.46411743964089
"128",9.47622813755435
"129",9.50846379642024
"130",9.48222789367519
"131",9.4754553806544
"132",9.4971608396652
"133",9.4923189269092
"134",9.49941233097885
"135",9.51003842983094
"136",9.49524310249147
"137",9.4899950190521
"138",9.48510202321693
"139",9.50130601728252
"140",9.51337487343302
"141",9.50095589041591
"142",9.49895429356237
"143",9.50626796286767
"144",9.48668669564782
"145",9.49330703638593
"146",9.49707787874673
"147",9.48656642388977
"148",9.51031420553185
"149",9.50760624785234
"150",9.49114010696357
"151",9.50868404259531
"152",9.50775062419434
"153",9.4820134280686
"154",9.49259170717283
"155",9.5003819451483
"156",9.47440687604417
"157",9.48320732715123
