"","V1","label"
"146","4.15007646277978","Total asexual iRBC"
"147","2.3240739564177","Total asexual iRBC"
"148","4.75023438059248","Total asexual iRBC"
"149","4.71344465277796","Total asexual iRBC"
"150","3.1307363972953","Total asexual iRBC"
"151","4.74628209295533","Total asexual iRBC"
"152","4.72590201969713","Total asexual iRBC"
"153","2.5343511367157","Total asexual iRBC"
"154","3.13476238919614","Total asexual iRBC"
"155","4.48851521460404","Total asexual iRBC"
"156","1.52187611211084","Total asexual iRBC"
"157","2.11217847074309","Total asexual iRBC"
"158","4.71327831027928","Total asexual iRBC"
"159","2.1407783980261","Total asexual iRBC"
"160","3.43795409152112","Total asexual iRBC"
"161","4.72487368342578","Total asexual iRBC"
"162","4.66642201303057","Total asexual iRBC"
"163","4.74985555184056","Total asexual iRBC"
"164","2.2096611313749","Total asexual iRBC"
"165","3.80876519078908","Total asexual iRBC"
"166","1.30164467801408","Total asexual iRBC"
"167","4.74873790458881","Total asexual iRBC"
"168","1.91624786463736","Total asexual iRBC"
"169","2.40196378942907","Total asexual iRBC"
"170","4.63431158302425","Total asexual iRBC"
"171","4.39598373635522","Total asexual iRBC"
"172","4.69774323456151","Total asexual iRBC"
"173","4.16146764701261","Total asexual iRBC"
"174","4.68191872906102","Total asexual iRBC"
"175","4.62731969334208","Total asexual iRBC"
"176","2.02010337077028","Total asexual iRBC"
"177","4.56709026201964","Total asexual iRBC"
"178","2.51549494377741","Total asexual iRBC"
"179","2.29810858336634","Total asexual iRBC"
"180","4.37018500679257","Total asexual iRBC"
"181","4.68571714868776","Total asexual iRBC"
"182","1.87346619651999","Total asexual iRBC"
"183","4.27680673163559","Total asexual iRBC"
"184","4.2794735090011","Total asexual iRBC"
"185","3.96249545383893","Total asexual iRBC"
"186","3.176870910388","Total asexual iRBC"
"187","4.46268527168053","Total asexual iRBC"
"188","2.35056388877324","Total asexual iRBC"
"189","4.45190669930355","Total asexual iRBC"
"190","3.00708888603727","Total asexual iRBC"
"191","3.48332548004944","Total asexual iRBC"
"192","3.44089925512","Total asexual iRBC"
"193","4.30455728375318","Total asexual iRBC"
"194","2.36765108996309","Total asexual iRBC"
"195","3.49405015184864","Total asexual iRBC"
"196","2.61400766965318","Total asexual iRBC"
"197","1.88367485238575","Total asexual iRBC"
"198","1.89414632944842","Total asexual iRBC"
"199","2.02845346029145","Total asexual iRBC"
"200","4.69385878974653","Total asexual iRBC"
"201","2.88686704173813","Total asexual iRBC"
"202","1.88148539709346","Total asexual iRBC"
"203","2.57586327308305","Total asexual iRBC"
"204","4.00792102698145","Total asexual iRBC"
"205","2.25379595484771","Total asexual iRBC"
"206","3.14410846724438","Total asexual iRBC"
"207","4.66847003154553","Total asexual iRBC"
"208","3.97499383848338","Total asexual iRBC"
"209","3.76222318047934","Total asexual iRBC"
"210","4.70921041481506","Total asexual iRBC"
"211","2.07609251694632","Total asexual iRBC"
"212","4.60888088054746","Total asexual iRBC"
"213","4.65227549682317","Total asexual iRBC"
"214","2.84390719653204","Total asexual iRBC"
"215","2.15544794518814","Total asexual iRBC"
"216","4.4724725538497","Total asexual iRBC"
"217","4.70597026359663","Total asexual iRBC"
"218","4.6449243809343","Total asexual iRBC"
"219","1.70462738312191","Total asexual iRBC"
"220","2.46196521551802","Total asexual iRBC"
"221","4.53024488351824","Total asexual iRBC"
"222","4.48000999601035","Total asexual iRBC"
"223","2.17359367760829","Total asexual iRBC"
"224","4.26765732152086","Total asexual iRBC"
"225","4.73898130435025","Total asexual iRBC"
"226","4.16737532085643","Total asexual iRBC"
"227","1.9998724489321","Total asexual iRBC"
"228","4.70706829469519","Total asexual iRBC"
"229","4.58115357278087","Total asexual iRBC"
"230","1.87390852702004","Total asexual iRBC"
"231","4.63722175567822","Total asexual iRBC"
"232","4.76477579446904","Total asexual iRBC"
"233","2.33874866424862","Total asexual iRBC"
"234","3.9392333546804","Total asexual iRBC"
"235","2.47261726069419","Total asexual iRBC"
"236","2.86209874682205","Total asexual iRBC"
"237","4.72538975831154","Total asexual iRBC"
"238","2.03139414602702","Total asexual iRBC"
"239","4.53752740951722","Total asexual iRBC"
"240","4.04555816562156","Total asexual iRBC"
"241","3.26842188931179","Total asexual iRBC"
"242","4.75764790695206","Total asexual iRBC"
"243","4.45004089276802","Total asexual iRBC"
"244","4.66273315105355","Total asexual iRBC"
"245","4.08147699407249","Total asexual iRBC"
"246","4.68610200711194","Total asexual iRBC"
"247","4.51819402497596","Total asexual iRBC"
"248","1.32805649276202","Total asexual iRBC"
"249","1.96764112493373","Total asexual iRBC"
"250","2.12319176705552","Total asexual iRBC"
"251","4.72487921350384","Total asexual iRBC"
"252","4.66117109056706","Total asexual iRBC"
"253","2.13907011636003","Total asexual iRBC"
"254","2.54866833471855","Total asexual iRBC"
"255","4.53532184612633","Total asexual iRBC"
"256","3.21655564415157","Total asexual iRBC"
"257","2.44221149892924","Total asexual iRBC"
"258","4.55319357042821","Total asexual iRBC"
"259","3.57595901512838","Total asexual iRBC"
"260","2.03482120146455","Total asexual iRBC"
"261","2.05546094133019","Total asexual iRBC"
"262","1.99337552699836","Total asexual iRBC"
"263","4.75390085320061","Total asexual iRBC"
"264","3.77086449768155","Total asexual iRBC"
"265","2.06006827650307","Total asexual iRBC"
"266","2.53249341905373","Total asexual iRBC"
"267","4.40180778141996","Total asexual iRBC"
"268","2.0034455134275","Total asexual iRBC"
"269","3.15739421437972","Total asexual iRBC"
"270","4.28773620107568","Total asexual iRBC"
"271","3.19889522063501","Total asexual iRBC"
"272","3.2415081943538","Total asexual iRBC"
"273","4.68269024827159","Total asexual iRBC"
"274","4.67678835916303","Total asexual iRBC"
"275","2.03527845001789","Total asexual iRBC"
"276","4.47713134928739","Total asexual iRBC"
"277","4.76707979240095","Total asexual iRBC"
"278","1.8976372869716","Total asexual iRBC"
"279","4.29626151665291","Total asexual iRBC"
"280","2.49774611252159","Total asexual iRBC"
"281","2.54113683701772","Total asexual iRBC"
"282","3.37504728415952","Total asexual iRBC"
"283","3.46745538882186","Total asexual iRBC"
"284","4.71385605553728","Total asexual iRBC"
"285","4.32391955515688","Total asexual iRBC"
"286","2.05217970761316","Total asexual iRBC"
"287","4.61919724500001","Total asexual iRBC"
"288","2.7429925214371","Total asexual iRBC"
"289","4.73383056468265","Total asexual iRBC"
"290","2.15727868397693","Total asexual iRBC"
"291","2.77274084864722","Total asexual iRBC"
"292","0.764711668258337","Total asexual iRBC"
"293","4.7086019374396","Total asexual iRBC"
"294","2.88163775351176","Total asexual iRBC"
"295","3.65942076182592","Total asexual iRBC"
"296","3.07025896510016","Total asexual iRBC"
"297","4.73162981116761","Total asexual iRBC"
"298","2.03154750559272","Total asexual iRBC"
"299","2.96034540464017","Total asexual iRBC"
"300","3.52943982489909","Total asexual iRBC"
"301","4.6962949536342","Total asexual iRBC"
"302","4.3171624085235","Total asexual iRBC"
"303","4.36619552906489","Total asexual iRBC"
"304","4.72494787465031","Total asexual iRBC"
"305","4.62927300206988","Total asexual iRBC"
"306","1.84561533884735","Total asexual iRBC"
"307","4.62502857281423","Total asexual iRBC"
"308","2.00524548689207","Total asexual iRBC"
"309","4.23394848400267","Total asexual iRBC"
"310","2.42670816522594","Total asexual iRBC"
"311","3.86112086142812","Total asexual iRBC"
"312","4.288270286635","Total asexual iRBC"
"313","2.18834034595182","Total asexual iRBC"
"314","4.38434835580481","Total asexual iRBC"
"315","2.35650591379471","Total asexual iRBC"
"316","2.18729089503438","Total asexual iRBC"
"317","2.53979513078478","Total asexual iRBC"
"318","3.23751316962024","Total asexual iRBC"
"319","1.87450965577818","Total asexual iRBC"
"320","1.9679492590267","Total asexual iRBC"
"321","2.79046775562324","Total asexual iRBC"
"322","4.75355298978299","Total asexual iRBC"
"323","4.76491358303059","Total asexual iRBC"
"324","3.71364611185927","Total asexual iRBC"
"325","4.61223312379857","Total asexual iRBC"
"326","4.71808121951257","Total asexual iRBC"
"327","4.70603758289373","Total asexual iRBC"
"328","4.50582918518895","Total asexual iRBC"
"329","2.53395273604273","Total asexual iRBC"
"330","3.09885294753934","Total asexual iRBC"
"331","2.99919478398343","Total asexual iRBC"
"332","1.89600461943109","Total asexual iRBC"
"333","1.73496115180527","Total asexual iRBC"
"334","2.86369983703487","Total asexual iRBC"
"335","2.37779186191213","Total asexual iRBC"
"336","3.27698253537344","Total asexual iRBC"
"337","4.73909487857673","Total asexual iRBC"
"338","2.00185028193604","Total asexual iRBC"
"339","1.89345083947737","Total asexual iRBC"
"340","4.75170142109519","Total asexual iRBC"
"341","4.65716552172204","Total asexual iRBC"
"342","4.34383298663158","Total asexual iRBC"
"343","4.37958130614701","Total asexual iRBC"
"344","4.23021809195613","Total asexual iRBC"
"345","4.41620382380088","Total asexual iRBC"
"346","1.09861038076607","Total asexual iRBC"
"347","2.08259753778268","Total asexual iRBC"
"348","2.90340896077923","Total asexual iRBC"
"349","2.36942797557889","Total asexual iRBC"
"350","2.04456357410352","Total asexual iRBC"
"351","2.45841167830475","Total asexual iRBC"
"352","4.1355142027312","Total asexual iRBC"
"353","2.07884122456765","Total asexual iRBC"
"354","4.53657840765528","Total asexual iRBC"
"355","3.01638639576754","Total asexual iRBC"
"356","1.91271795130277","Total asexual iRBC"
"357","4.36840231055876","Total asexual iRBC"
"358","4.50561811967082","Total asexual iRBC"
"359","4.70640044311993","Total asexual iRBC"
"360","2.01756351751934","Total asexual iRBC"
"361","3.8036342396213","Total asexual iRBC"
"362","4.60363988533633","Total asexual iRBC"
"363","4.08807978624211","Total asexual iRBC"
"364","2.05052288771885","Total asexual iRBC"
"365","2.10730560580294","Total asexual iRBC"
"366","1.39220605219687","Total asexual iRBC"
"367","1.86468142613201","Total asexual iRBC"
"368","4.50829614969252","Total asexual iRBC"
"369","4.62226402117166","Total asexual iRBC"
"370","2.45380050528866","Total asexual iRBC"
"371","2.62124681954419","Total asexual iRBC"
"372","3.89051447364396","Total asexual iRBC"
"373","2.7460677500216","Total asexual iRBC"
"374","2.69593249499342","Total asexual iRBC"
"375","1.7905647884087","Total asexual iRBC"
"376","4.75132171285403","Total asexual iRBC"
"377","4.72940016278703","Total asexual iRBC"
"378","4.2920701324351","Total asexual iRBC"
"379","4.19234556345066","Total asexual iRBC"
"380","2.0417073160235","Total asexual iRBC"
"381","3.98672429506356","Total asexual iRBC"
"382","4.52067721550346","Total asexual iRBC"
"383","4.19017869149491","Total asexual iRBC"
"384","4.71558829055719","Total asexual iRBC"
"385","1.49382453107578","Total asexual iRBC"
"386","4.70058931201533","Total asexual iRBC"
"387","4.72395670902524","Total asexual iRBC"
"388","4.49845128273155","Total asexual iRBC"
"389","3.2243812186632","Total asexual iRBC"
"390","4.43754222367788","Total asexual iRBC"
